Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	3	, uh ,	47	M	13, 59
3	2	, i	51	M	13, 17, 63
3	2	uh ,	59	M	1, 13, 59
2	2	, i'm	7	M	21, 27
2	2	. uh	49	M	13, 61
2	2	a job	9	M	55, 63
2	2	from the	9	M	21, 29
2	2	get a	27	M	29, 55
2	2	i have	27	M	37, 63
2	2	right .	3	M	45, 47
9	1	i	63	M	13, 17, 25, 37, 41, 43, 63, 65, 75
8	1	a	67	M	7, 11, 29, 35, 55, 61, 63, 73
8	1	you	47	M	5, 13, 19, 29, 31, 43, 47, 51
7	1	the	69	M	5, 21, 23, 29, 35, 43, 73
5	1	what	73	M	3, 15, 47, 65, 75
3	1	and	25	M	11, 31, 35
3	1	are	33	M	5, 11, 37
3	1	for	51	M	23, 37, 73
3	1	from	19	M	11, 21, 29
3	1	i'm	47	M	21, 27, 67
3	1	you're	37	M	11, 23, 47
2	1	about	41	M	3, 43
2	1	good	5	M	29, 33
2	1	he's	11	M	59, 69
2	1	is	39	M	23, 61
2	1	it	19	M	19, 37
2	1	it's	25	M	49, 73
2	1	know	19	M	47, 65
2	1	no	11	M	27, 37
2	1	not	15	M	55, 69
2	1	of	25	M	35, 59
2	1	see	5	M	13, 17
2	1	that's	43	M	33, 75
2	1	think	25	M	19, 43
2	1	us	19	M	3, 21
2	1	uuh	11	M	51, 61
2	1	yeah	21	M	1, 21
2	1	yes	19	M	53, 71

