Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	5	, I don't know .	57	M	120, 176
2	4	, but I'm not	53	M	96, 148
2	4	I , uh ,	87	M	90, 176
5	3	, uh ,	139	M	38, 44, 90, 140, 176
3	3	, I don't	81	M	96, 120, 176
3	3	I live in	77	M	4, 8, 80
3	3	don't know .	87	M	90, 120, 176
2	3	, I ,	3	M	176, 178
2	3	, I think	21	M	150, 170
2	3	, I'm in	89	M	10, 98
2	3	, I've been	13	M	88, 100
2	3	, what ?	87	M	74, 160
2	3	, you know	147	M	42, 188
2	3	Uhh , I	135	M	16, 150
2	3	a lot of	27	M	46, 72
2	3	is it ?	43	M	26, 68
6	2	live in	167	M	4, 8, 80, 86, 98, 170
6	2	uh ,	139	M	38, 40, 44, 90, 140, 176
5	2	, but	77	M	72, 96, 108, 142, 148
5	2	Well ,	161	M	12, 118, 120, 124, 172
5	2	in the	135	M	8, 60, 64, 76, 142
4	2	, I'm	169	M	10, 96, 98, 178
4	2	, you	147	M	42, 172, 178, 188
4	2	I ,	91	M	90, 176, 178, 180
4	2	I don't	89	M	88, 96, 120, 176
4	2	I think	63	M	108, 142, 150, 170
4	2	I'm not	67	M	82, 96, 102, 148
4	2	Uhh ,	135	M	16, 102, 134, 150
4	2	in a	127	M	44, 98, 106, 170
4	2	know .	87	M	90, 98, 120, 176
3	2	, it's	169	M	22, 56, 190
3	2	, that's	131	M	48, 156, 178
3	2	, what	87	M	74, 134, 160
3	2	Are you	61	M	0, 14, 60
3	2	I was	75	M	88, 116, 162
3	2	I'm in	89	M	10, 76, 98
3	2	have a	59	M	38, 86, 96
3	2	is a	55	M	70, 112, 124
3	2	it ?	109	M	26, 68, 134
3	2	lot of	93	M	46, 72, 138
3	2	place .	87	M	70, 98, 156
3	2	we have	129	M	38, 108, 166
3	2	what ?	127	M	34, 74, 160
2	2	, and	9	M	180, 188
2	2	, is	115	M	26, 140
2	2	, we	61	M	38, 98
2	2	, yes	69	M	84, 152
2	2	... and	107	M	38, 144
2	2	I do	155	M	16, 170
2	2	I'm sorry	21	M	128, 148
2	2	It's ,	15	M	140, 154
2	2	It's a	17	M	78, 94
2	2	Oh ,	131	M	26, 156
2	2	Texas .	153	M	10, 162
2	2	That is	41	M	70, 110
2	2	This is	51	M	112, 162
2	2	Uh ,	33	M	42, 74
2	2	You can't	103	M	28, 130
2	2	a big	21	M	112, 132
2	2	a house	13	M	86, 98
2	2	a place	71	M	100, 170
2	2	do ,	149	M	22, 170
2	2	do you	13	M	114, 126
2	2	from the	65	M	32, 96
2	2	in Pittsburgh	3	M	2, 4
2	2	in it	3	M	86, 88
2	2	living in	17	M	44, 60
2	2	of the	15	M	174, 188
2	2	right .	77	M	104, 180
2	2	the people	115	M	60, 174
2	2	think it's	83	M	88, 170
2	2	think they're	83	M	60, 142
2	2	to do	21	M	22, 42
2	2	you ,	129	M	50, 178
2	2	you can	3	M	186, 188
2	2	you mean	35	M	114, 148
23	1	a	173	M	20, 28, 38, 44, 46, 70, 72, 78, 86, 94, 96, 98, 100, 106, 112, 122, 124, 132, 156, 162, 170, 172, 192
