Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	7	do you , uh , get ?	4	2	1	A	3, 4
3	1	3	, uh ,	4	4	2	A	1, 3, 4
2	2	3	i don't know	41	10	1	M	32, 41
2	2	3	yeah , i	46	38	1	A	9, 46
9	7	2	, i	9	49	1	M	0, 9, 13, 25, 27, 32, 43, 46, 48
6	3	2	, uh	8	42	2	A	1, 3, 4, 8, 24, 42
6	3	2	uh ,	27	44	2	A	1, 3, 4, 27, 43, 44
5	3	2	i don't	13	34	1	M	10, 13, 32, 41, 43
5	5	2	you know	14	33	1	A	13, 14, 15, 25, 45
4	4	2	. i	20	13	2	A	13, 15, 20, 25
4	2	2	do you	12	20	1	A	3, 4, 12, 22
4	4	2	know ,	32	33	2	A	13, 25, 32, 45
4	4	2	that .	20	25	2	A	1, 9, 20, 25
3	3	2	know .	46	32	2	A	15, 25, 46
3	1	2	yeah ,	46	38	2	A	9, 25, 46
3	3	2	yeah .	44	34	2	A	11, 13, 44
2	2	2	, that's	25	24	1	M	2, 25
2	2	2	, yeah	44	36	1	A	9, 44
2	2	2	. uh	27	20	1	M	8, 27
2	2	2	i guess	48	2	1	A	47, 48
2	2	2	i read	15	6	1	M	10, 15
2	2	2	i think	34	8	1	A	27, 34
2	2	2	interesting .	32	6	1	A	27, 32
2	2	2	it was	25	6	1	M	20, 25
2	2	2	newspaper .	16	2	1	A	15, 16
2	2	2	read it	13	4	1	M	10, 13
2	2	2	the newspaper	16	2	1	A	15, 16
23	12	1	i	1	49	1	M	0, 1, 2, 8, 9, 10, 13, 15, 16, 17, 20, 25, 26, 27, 32, 34, 36, 40, 41, 43, 46, 47, 48
13	5	1	you	6	43	1	A	3, 4, 6, 12, 13, 14, 15, 22, 25, 34, 37, 41, 45
10	10	1	to	12	41	2	A	1, 9, 12, 13, 15, 16, 17, 25, 37, 41
9	6	1	that	20	47	4	A	1, 9, 13, 17, 20, 25, 37, 43, 47
8	6	1	it	10	40	1	A	9, 10, 13, 17, 20, 25, 47, 48
7	1	1	yeah	44	38	5	A	9, 11, 13, 25, 29, 44, 46
6	2	1	do	3	23	1	M	0, 3, 4, 12, 18, 22
6	4	1	get	4	25	2	A	1, 3, 4, 15, 17, 25
5	5	1	a	8	20	1	A	1, 8, 10, 13, 20
5	4	1	the	16	20	1	A	15, 16, 17, 25, 34
5	3	1	think	27	21	2	M	14, 22, 27, 32, 34
5	5	1	well	48	24	4	A	25, 37, 41, 47, 48
5	5	1	what	3	24	1	M	2, 3, 4, 22, 25
4	4	1	are	37	6	3	M	32, 34, 36, 37
4	1	1	read	16	7	1	M	10, 13, 15, 16
3	3	1	i'm	16	13	1	A	13, 16, 25
3	3	1	is	48	40	2	A	9, 25, 48
3	3	1	like	12	13	1	A	1, 12, 13
3	3	1	really	20	13	1	A	13, 20, 25
3	3	1	than	36	31	1	A	13, 36, 43
2	2	1	any	41	36	1	M	6, 41
2	2	1	books	8	8	1	A	1, 8
2	2	1	huh	42	24	1	A	19, 42
2	2	1	if	36	24	1	A	13, 36
2	2	1	just	32	32	1	A	1, 32
2	2	1	more	37	2	1	M	36, 37

