Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	6	, uh , that , uh	56	20	1	B	37, 56
2	2	5	you know , I think	56	8	1	B	49, 56
13	13	4	, you know ,	80	60	12	B	21, 35, 37, 41, 43, 45, 47, 49, 51, 61, 63, 65, 80
6	6	4	, I , I	56	33	3	B	29, 41, 49, 56, 57, 61
3	3	4	, well , I	50	61	1	B	1, 50, 61
3	3	4	But , uh ,	78	50	2	B	29, 63, 78
3	2	4	you know , I	56	13	1	B	49, 56, 61
2	2	4	, yeah , I	56	8	1	B	49, 56
2	2	4	I mean , I	57	4	1	M	54, 57
20	17	3	, uh ,	56	70	15	B	9, 11, 13, 17, 19, 21, 29, 31, 33, 35, 37, 39, 41, 43, 49, 56, 57, 61, 63, 78
14	3	3	you know ,	56	60	9	B	21, 35, 37, 41, 43, 45, 47, 49, 51, 56, 61, 63, 65, 80
8	5	3	, I ,	56	43	4	B	19, 29, 41, 49, 56, 57, 59, 61
6	5	3	, I think	56	21	4	B	39, 47, 49, 51, 56, 59
5	5	3	, yeah .	34	40	1	B	27, 34, 38, 49, 66
4	1	3	know , I	59	13	1	B	49, 56, 59, 61
4	2	3	that , uh	56	25	2	B	37, 41, 56, 61
3	3	3	, I mean	54	13	1	B	45, 54, 57
3	3	3	And , uh	70	60	2	B	11, 35, 70
2	2	3	, I am	82	82	1	B	1, 82
2	2	3	. Right .	77	26	1	M	52, 77
2	1	3	I mean ,	57	4	1	M	54, 57
2	2	3	So , I	82	44	1	B	39, 82
2	2	3	and , uh	72	54	1	B	19, 72
2	2	3	pretty good .	80	70	1	B	11, 80
2	2	3	to , uh	56	36	1	B	21, 56
27	6	2	, uh	16	70	3	B	9, 11, 13, 16, 17, 19, 21, 29, 31, 33, 35, 37, 39, 41, 42, 43, 46, 49, 54, 56, 57, 61, 63, 65, 70, 72, 78
21	3	2	uh ,	16	70	3	B	9, 11, 13, 16, 17, 19, 21, 29, 31, 33, 35, 37, 39, 41, 43, 49, 56, 57, 61, 63, 78
17	5	2	, I	50	82	9	B	1, 13, 19, 29, 39, 41, 45, 47, 49, 50, 51, 54, 56, 57, 59, 61, 82
15	3	2	know ,	56	60	9	B	21, 35, 37, 41, 43, 45, 47, 49, 51, 56, 59, 61, 63, 65, 80
8	8	2	Uh ,	46	65	4	B	1, 5, 13, 17, 46, 50, 61, 65
8	8	2	Uh-huh .	69	78	5	M	4, 30, 32, 58, 62, 69, 71, 81
6	6	2	, it	54	55	3	B	3, 9, 33, 54, 55, 57
6	1	2	I think	56	21	4	B	39, 47, 49, 51, 56, 59
6	4	2	and ,	72	72	5	B	1, 11, 17, 19, 65, 72
5	5	2	, that's	12	45	1	B	5, 12, 24, 47, 49
5	4	2	Right .	75	34	3	M	44, 52, 60, 75, 77
5	3	2	So ,	74	74	3	B	9, 33, 39, 74, 82
5	5	2	Yeah .	77	60	3	M	20, 36, 40, 77, 79
5	3	2	that ,	56	25	3	B	37, 39, 41, 56, 61
4	2	2	, that	37	75	1	M	6, 37, 56, 80
4	1	2	And ,	70	60	3	B	11, 35, 59, 70
4	2	2	But ,	78	50	3	B	29, 49, 63, 78
4	4	2	my mother's	50	41	2	B	21, 29, 50, 61
4	4	2	of that	48	31	2	B	33, 37, 48, 63
4	3	2	to ,	56	48	3	B	9, 21, 55, 56
4	1	2	well ,	50	61	2	B	1, 7, 50, 61
3	3	2	. I	54	18	1	B	39, 54, 56
3	1	2	I am	82	82	2	B	1, 21, 82
3	3	2	I know	50	18	1	B	39, 50, 56
3	3	2	Yeah ,	56	50	2	B	7, 49, 56
3	3	2	family .	51	10	1	M	50, 51, 59
3	1	2	good .	24	70	1	B	11, 24, 80
3	3	2	so ,	80	42	2	B	39, 65, 80
3	3	2	was ,	80	80	2	B	1, 9, 80
2	2	2	I really	57	4	1	M	54, 57
2	2	2	and I	50	6	1	B	45, 50
2	2	2	have a	50	32	1	B	19, 50
2	2	2	it is	50	4	1	B	47, 50
2	2	2	think that	56	16	1	B	41, 56
27	1	1	uh	16	70	3	B	9, 11, 13, 16, 17, 19, 21, 29, 31, 33, 35, 37, 39, 41, 42, 43, 46, 49, 54, 56, 57, 61, 63, 65, 70, 72, 78
21	5	1	I	50	82	11	B	1, 13, 19, 21, 23, 29, 39, 41, 45, 47, 49, 50, 51, 54, 56, 57, 59, 61, 63, 65, 82
19	12	1	that	11	77	1	M	6, 11, 29, 33, 37, 39, 41, 45, 48, 49, 51, 55, 56, 57, 61, 63, 67, 80, 82
18	1	1	know	54	60	9	B	21, 35, 37, 39, 41, 43, 45, 47, 49, 50, 51, 54, 56, 59, 61, 63, 65, 80
17	15	1	a	50	65	12	B	9, 11, 19, 21, 29, 31, 33, 35, 37, 39, 41, 45, 50, 51, 55, 65, 73
17	16	1	to	50	74	9	B	9, 11, 13, 15, 19, 21, 39, 45, 49, 50, 51, 55, 56, 57, 63, 67, 82
16	15	1	of	48	57	8	B	9, 19, 21, 33, 35, 37, 39, 45, 48, 49, 51, 55, 57, 59, 63, 65
15	1	1	you	67	60	9	B	21, 35, 37, 41, 43, 45, 47, 49, 51, 56, 61, 63, 65, 67, 80
14	10	1	and	50	72	10	B	1, 7, 11, 17, 19, 31, 35, 41, 43, 45, 50, 51, 65, 72
13	5	1	Uh	2	65	1	B	1, 2, 5, 8, 10, 13, 17, 22, 46, 50, 53, 61, 65
13	8	1	it	18	55	3	B	3, 7, 9, 18, 33, 37, 39, 47, 49, 50, 54, 55, 57
10	8	1	was	18	80	5	B	1, 3, 7, 9, 13, 18, 33, 47, 65, 80
9	6	1	so	80	80	8	B	1, 9, 21, 23, 29, 39, 45, 65, 80
8	3	1	Right	44	51	2	B	27, 29, 44, 52, 55, 60, 75, 77
8	6	1	family	50	55	5	B	5, 21, 31, 45, 49, 50, 51, 59
8	6	1	have	50	49	6	B	13, 19, 23, 35, 37, 49, 50, 61
8	8	1	it's	56	41	5	B	19, 39, 45, 47, 49, 56, 57, 59
8	5	1	that's	12	49	3	B	1, 5, 11, 12, 24, 29, 47, 49
8	1	1	think	56	21	6	B	39, 41, 45, 47, 49, 51, 56, 59
7	3	1	And	70	60	6	B	11, 35, 37, 39, 45, 59, 70
7	5	1	is	29	45	1	M	6, 29, 37, 45, 47, 49, 50
7	7	1	just	54	43	5	B	17, 19, 41, 47, 49, 54, 59
7	6	1	really	54	44	1	B	39, 54, 57, 61, 63, 67, 82
5	1	1	But	78	58	4	B	21, 29, 49, 63, 78
5	1	1	mother's	50	41	3	B	21, 29, 31, 50, 61
5	1	1	well	51	61	2	B	1, 7, 50, 51, 61
4	1	1	good	73	70	1	B	11, 24, 73, 80
4	1	1	my	50	41	2	B	21, 29, 50, 61
4	4	1	with	56	27	2	B	37, 51, 56, 63
2	2	1	how	50	4	1	B	47, 50
2	2	1	like	54	10	1	B	45, 54
2	2	1	out	80	70	1	B	11, 80
2	2	1	very	56	6	1	B	51, 56

