Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	4	, uh , I	73	14	1	A	60, 73
6	5	3	, uh ,	43	74	2	A	0, 6, 43, 52, 60, 73
3	3	3	, um ,	47	63	1	A	12, 47, 74
3	3	3	. I think	23	35	1	A	10, 23, 44
3	3	3	I think it's	41	28	1	A	28, 41, 55
2	2	3	, I ,	51	52	1	A	0, 51
2	2	3	, I don't	73	30	1	A	44, 73
2	2	3	, I'm not	53	44	1	A	10, 53
2	2	3	, it ,	51	46	1	A	6, 51
2	2	3	I don't know	44	28	1	M	17, 44
2	2	3	I think ,	71	60	1	A	12, 71
2	2	3	I'm not sure	79	70	1	A	10, 79
2	2	3	Well , it's	77	66	1	A	12, 77
9	1	2	I think	60	62	2	A	10, 12, 23, 28, 41, 44, 55, 60, 71
8	8	2	, you	51	75	3	A	0, 10, 28, 51, 63, 66, 68, 74
8	8	2	know ,	17	73	1	A	10, 17, 28, 53, 66, 68, 74, 82
7	2	2	, I	51	74	4	A	0, 12, 42, 44, 51, 60, 73
6	1	2	, uh	73	74	2	A	0, 6, 43, 52, 60, 73
5	3	2	, I'm	29	44	1	A	10, 29, 33, 51, 53
5	5	2	, that's	51	62	2	A	20, 24, 51, 74, 81
5	2	2	. I	23	35	2	A	10, 12, 23, 29, 44
5	3	2	I ,	51	74	3	A	0, 6, 12, 51, 73
5	3	2	Well ,	77	66	4	A	12, 24, 60, 74, 77
4	4	2	, and	22	42	1	M	3, 22, 28, 44
4	2	2	, it's	77	72	3	A	6, 10, 12, 77
4	3	2	it ,	51	47	2	A	6, 34, 51, 52
4	4	2	it's a	46	37	1	M	41, 46, 55, 77
3	3	2	, yeah	81	30	2	A	52, 70, 81
3	3	2	and ,	22	50	1	M	3, 22, 52
3	3	2	for a	45	13	1	A	40, 45, 52
3	3	2	it .	43	34	2	A	10, 24, 43
3	3	2	of the	28	9	1	M	27, 28, 35
2	1	2	, it	51	46	1	A	6, 51
2	2	2	Is that	18	14	1	M	5, 18
2	2	2	Right .	62	42	1	M	21, 62
2	2	2	a good	42	2	1	M	41, 42
2	2	2	a little	77	18	1	A	60, 77
