Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	6	about an inch away from the	31	g	98, 128
2	5	do you have carved stones	17	g	14, 30
2	5	of the sheet of paper	31	g	98, 128
6	4	do you have a	97	g	4, 10, 48, 76, 82, 100
3	4	the side of the	31	g	64, 68, 94
2	4	the end of the	11	g	98, 108
2	4	to the left of	65	g	46, 110
2	4	to the right-hand side	79	g	18, 96
2	4	to the trout farm	9	g	80, 88
2	4	underneath the totem pole	3	g	76, 78
11	3	do you have	109	g	4, 10, 14, 30, 46, 48, 70, 76, 82, 100, 112
6	3	the indian country	21	g	40, 46, 52, 54, 56, 60
5	3	the gold mine	19	g	52, 60, 66, 68, 70
4	3	side of the	77	g	18, 64, 68, 94
4	3	the side of	57	g	64, 68, 94, 120
4	3	the trout farm	15	g	80, 86, 88, 94
3	3	about an inch	103	g	26, 98, 128
3	3	down to the	61	g	60, 104, 120
3	3	the bandit territory	13	g	112, 120, 124
3	3	the cattle stockade	13	g	104, 108, 116
3	3	the diamond mine	15	g	10, 18, 24
3	3	the totem pole	5	g	74, 76, 78
2	3	a great rock	17	g	46, 62
2	3	along to the	87	g	22, 108
2	3	and then go	21	g	100, 120
2	3	go straight down	97	g	8, 104
2	3	level with the	71	g	52, 122
2	3	right beside it	11	g	8, 18
2	3	the carved stones	3	g	34, 36
2	3	the great rock	27	g	52, 78
2	3	to the right	59	g	22, 80
2	3	to the side	57	g	64, 120
2	3	trying to avoid	5	g	56, 60
2	3	you're trying to	19	g	56, 74
12	2	to the	103	g	18, 22, 46, 60, 64, 80, 88, 96, 104, 108, 110, 120
9	2	of the	111	g	18, 46, 64, 68, 94, 98, 108, 122, 128
7	2	underneath the	97	g	24, 70, 76, 78, 86, 116, 120
6	2	gold mine	23	g	48, 52, 60, 66, 68, 70
5	2	cattle stockade	17	g	100, 104, 108, 112, 116
5	2	great rock	33	g	46, 52, 62, 64, 78
5	2	the gold	19	g	52, 60, 66, 68, 70
5	2	trout farm	19	g	76, 80, 86, 88, 94
4	2	above the	43	g	36, 42, 66, 78
4	2	and then	43	g	80, 100, 120, 122
4	2	diamond mine	21	g	4, 10, 18, 24
4	2	from the	119	g	10, 60, 98, 128
4	2	go straight	97	g	8, 86, 100, 104
3	2	a graveyard	9	g	10, 16, 18
3	2	go along	19	g	90, 94, 108
3	2	the right	59	g	22, 78, 80
3	2	underneath it	115	g	8, 62, 122
2	2	'til you're	81	g	42, 122
2	2	a little	63	g	56, 118
2	2	along the	17	g	94, 110
2	2	along to	87	g	22, 108
2	2	and ehm	19	g	34, 52
2	2	and the	59	g	54, 112
2	2	at the	125	g	0, 124
2	2	avoid the	15	g	60, 74
2	2	back down	81	g	40, 120
2	2	back up	57	g	66, 122
2	2	below it	75	g	32, 106
2	2	curve above	83	g	36, 118
2	2	down below	29	g	4, 32
2	2	it and	3	g	120, 122
2	2	just go	111	g	8, 118
2	2	no i	13	g	16, 28
2	2	of it	11	g	110, 120
2	2	right well	85	g	34, 118
2	2	so come	39	g	22, 60
2	2	so you're	73	g	56, 128
2	2	sort of	29	g	88, 116
2	2	the bottom	51	g	60, 110
2	2	the top	123	g	0, 122
2	2	the wigwams	23	g	42, 64
2	2	towards the	7	g	34, 40
2	2	yeah well	27	g	52, 78
2	2	you're going	9	g	62, 70
39	1	the	129	g	0, 4, 10, 18, 22, 24, 28, 34, 36, 40, 42, 46, 52, 54, 56, 60, 64, 66, 68, 70, 74, 76, 78, 80, 86, 88, 94, 96, 98, 104, 108, 110, 112, 116, 120, 122, 124, 126, 128
15	1	a	119	g	4, 10, 16, 18, 36, 46, 48, 56, 62, 70, 76, 82, 100, 118, 122
15	1	right	115	g	8, 18, 22, 34, 40, 42, 46, 72, 74, 78, 80, 86, 114, 118, 122
15	1	to	103	g	18, 22, 34, 46, 56, 60, 64, 74, 80, 88, 96, 104, 108, 110, 120
14	1	of	111	g	18, 46, 60, 64, 68, 88, 94, 98, 108, 110, 116, 120, 122, 128
13	1	and	97	g	34, 40, 52, 54, 66, 80, 98, 100, 110, 112, 120, 122, 130
13	1	underneath	115	g	8, 24, 56, 62, 64, 70, 76, 78, 80, 86, 116, 120, 122
13	1	you	109	g	4, 8, 10, 14, 30, 46, 48, 62, 70, 76, 82, 100, 112
12	1	do	109	g	4, 10, 14, 30, 46, 48, 70, 74, 76, 82, 100, 112
12	1	go	113	g	8, 34, 56, 76, 86, 90, 94, 100, 104, 108, 118, 120
12	1	have	109	g	4, 10, 14, 28, 30, 46, 48, 70, 76, 82, 100, 112
11	1	down	117	g	4, 8, 32, 40, 56, 60, 64, 68, 70, 104, 120
11	1	it	123	g	8, 18, 32, 62, 106, 110, 116, 118, 120, 122, 130
10	1	you're	125	g	4, 42, 56, 60, 62, 70, 74, 78, 122, 128
8	1	just	123	g	8, 10, 12, 56, 68, 118, 122, 130
