Freq.	Size	Surface Form	Spanning	First Speaker	Turns
3	4	the bottom of the	153	M	7, 41, 159
2	4	do you have any	33	M	135, 167
3	3	do you have	77	M	135, 167, 211
2	3	and the other	141	M	53, 193
2	3	for a while	99	M	115, 213
2	3	i'm just a	143	M	59, 201
2	3	is this ?	35	M	181, 215
2	3	just a little	13	M	47, 59
2	3	left and right	93	M	25, 117
2	3	of the line	165	M	7, 171
2	3	on the right	153	M	55, 207
2	3	so do i	153	M	21, 173
2	3	to the left	25	M	65, 89
2	3	where is the	57	M	149, 205
2	3	you can get	91	M	51, 141
2	3	you got anything	9	M	41, 49
11	2	to the	211	M	3, 15, 21, 47, 57, 65, 89, 107, 143, 171, 213
6	2	do you	177	M	35, 89, 123, 135, 167, 211
6	2	in the	123	M	41, 77, 119, 147, 151, 163
6	2	of the	165	M	7, 41, 101, 159, 163, 171
5	2	is the	199	M	7, 55, 149, 179, 205
5	2	you have	121	M	91, 135, 167, 191, 211
4	2	, but	209	M	5, 61, 173, 213
4	2	and the	141	M	53, 159, 163, 193
4	2	i don't	47	M	133, 141, 173, 179
4	2	i have	159	M	45, 115, 197, 203
4	2	i'm just	173	M	29, 59, 151, 201
4	2	you can	123	M	19, 51, 59, 141
3	2	for a	99	M	115, 179, 213
3	2	going to	65	M	5, 29, 69
3	2	have a	175	M	37, 45, 211
3	2	have to	103	M	13, 39, 115
3	2	i think	191	M	23, 195, 213
3	2	in a	101	M	57, 81, 157
3	2	left and	185	M	25, 117, 209
3	2	on the	185	M	23, 55, 207
3	2	the bottom	153	M	7, 41, 159
3	2	the right	153	M	55, 91, 207
3	2	where is	57	M	149, 181, 205
3	2	you go	99	M	3, 89, 101
3	2	you mean	179	M	35, 127, 213
2	2	, i	137	M	5, 141
2	2	, i'm	73	M	59, 131
2	2	, left	25	M	1, 25
2	2	a hill	5	M	57, 61
2	2	but i'm	91	M	61, 151
2	2	down the	49	M	15, 63
2	2	go down	15	M	1, 15
2	2	go right	121	M	89, 209
2	2	go up	167	M	3, 169
2	2	i am	63	M	99, 161
2	2	i just	121	M	21, 141
2	2	i'm in	19	M	77, 95
2	2	is a	35	M	153, 187
2	2	it's not	147	M	75, 221
2	2	just go	7	M	15, 21
2	2	know where	33	M	141, 173
2	2	right ,	157	M	1, 157
2	2	the corner	83	M	107, 189
2	2	the diamond	119	M	77, 195
2	2	the pine	185	M	15, 199
2	2	the same	109	M	23, 131
2	2	to stop	87	M	29, 115
2	2	what is	63	M	153, 215
2	2	yes ,	41	M	91, 131
41	1	the	215	M	3, 5, 7, 15, 21, 23, 39, 41, 47, 51, 53, 55, 57, 63, 65, 67, 77, 89, 91, 93, 97, 101, 107, 119, 131, 143, 147, 149, 151, 159, 163, 171, 179, 189, 193, 195, 199, 205, 207, 213, 217
27	1	a	209	M	5, 13, 19, 37, 43, 45, 47, 57, 59, 61, 69, 81, 109, 115, 121, 123, 145, 153, 157, 179, 183, 185, 187, 191, 201, 211, 213
24	1	you	211	M	3, 17, 19, 31, 35, 41, 49, 51, 59, 61, 71, 89, 91, 101, 119, 123, 127, 135, 141, 167, 171, 191, 211, 213
