,Speaker,Utterance,Unified
5,M,They're both very pretty.,M|They're both very pretty.
6,A,"I haven't had my oldest one quite nine years, I've had him probably five years.","A|I haven't had my oldest one quite nine years, I've had him probably five years."
7,M,How old is your oldest one?,M|How old is your oldest one?
8,A,"Oh yes, I love my cats. I lost one, one time, uh,","A|Oh yes, I love my cats. I lost one, one time, uh,"
9,M,You must be so sad.,M|You must be so sad.
10,A,"the first one I got. He jumped off the balcony actually, of a second story apartment.","A|the first one I got. He jumped off the balcony actually, of a second story apartment."
11,M,Ah. I didn't get that.,M|Ah. I didn't get that.
12,A,"And he'd never been outside, like, you know, by himself outside.","A|And he'd never been outside, like, you know, by himself outside."
13,M,I think he was the one who made the cat out of his own heart.,M|I think he was the one who made the cat out of his own heart.
14,A,"And it started raining and I was hysterical. I was, I was, I mean, you would have thought a child had died.","A|And it started raining and I was hysterical. I was, I was, I mean, you would have thought a child had died."
15,M,He jumped off a balcony and I had to laugh at that,M|He jumped off a balcony and I had to laugh at that
16,A,"I called everyone I knew, I had every friend I knew in the apartment searching for this cat.","A|I called everyone I knew, I had every friend I knew in the apartment searching for this cat."
17,M,"Uhhh, you had a friend?","M|Uhhh, you had a friend?"
18,A,"And they laughed at me, they thought that was so hysterical.","A|And they laughed at me, they thought that was so hysterical."
19,M,"No, I told them that was the funniest cat ever.","M|No, I told them that was the funniest cat ever."
20,A,Oh yeah.,A|Oh yeah.
21,M,"Well, they did the same thing with the cat.","M|Well, they did the same thing with the cat."
22,A,"The cat was here first so I know, it's hard.","A|The cat was here first so I know, it's hard."
23,M,I think we need to talk,M|I think we need to talk
24,A,"Oh, how funny.","A|Oh, how funny."
25,M,I am.,M|I am.
26,A,"That's sweet, I have the two, the other two cats I have are outdoor cats.","A|That's sweet, I have the two, the other two cats I have are outdoor cats."
27,M,I'm going to say it. The cats.,M|I'm going to say it. The cats.
28,A,"And they didn't used to be actually, but they got kind of wild and weren't doing very well inside, so I put them outside once I got a house and they're doing great out there, they love it. But the other one, the first one I got he doesn't want anything to do with outside unless you're there.","A|And they didn't used to be actually, but they got kind of wild and weren't doing very well inside, so I put them outside once I got a house and they're doing great out there, they love it. But the other one, the first one I got he doesn't want anything to do with outside unless you're there."
29,M,You're a big guy.,M|You're a big guy.
30,A,Other than that he gets scared to death. If you shut that door he goes into hiding.,A|Other than that he gets scared to death. If you shut that door he goes into hiding.
31,M,He's,M|He's
32,A,I think it's from the time he jumped off the balcony,A|I think it's from the time he jumped off the balcony
33,M,When did he die?,M|When did he die?
34,A,And Lord knows what happened to him. He's probably been through all kinds of nightmares.,A|And Lord knows what happened to him. He's probably been through all kinds of nightmares.
35,M,He's probably dead,M|He's probably dead
36,A,Probably.,A|Probably.
37,M,"So, how many times is this gonna be posted?","M|So, how many times is this gonna be posted?"
38,A,Are they.,A|Are they.
39,M,I bet they are,M|I bet they are
40,A,Oh no.,A|Oh no.
41,M,I am going to be so sad if we have to see any of my cats in the future.,M|I am going to be so sad if we have to see any of my cats in the future.
42,A,Oh my gosh.,A|Oh my gosh.
43,M,"I know it's crazy, I'm a vet tech.","M|I know it's crazy, I'm a vet tech."
44,A,"Oh, I imagine.","A|Oh, I imagine."
45,M,"I think he was a dog, he was the most loving, the most obedient cat I ever had.","M|I think he was a dog, he was the most loving, the most obedient cat I ever had."
46,A,"I wonder how many of his lives he missed, when that happened.","A|I wonder how many of his lives he missed, when that happened."
47,M,"My cat's name is Tom, and he loves to play with the kids.","M|My cat's name is Tom, and he loves to play with the kids."
48,A,"Oh, I can imagine, what did he shoot him with.","A|Oh, I can imagine, what did he shoot him with."
49,M,... I don't think I've ever seen a picture of him in my life.,M|... I don't think I've ever seen a picture of him in my life.
50,A,Oh my gosh. People are crazy.,A|Oh my gosh. People are crazy.
51,M,What did he do?,M|What did he do?
52,A,Oh Lord.,A|Oh Lord.
53,M,"I'm not gonna lie, I cried.","M|I'm not gonna lie, I cried."
54,A,Oh man.,A|Oh man.
55,M,He is a kitten!,M|He is a kitten!
56,A,I imagine. They usually are after something like that happens to them. It seems to mellow them or something.,A|I imagine. They usually are after something like that happens to them. It seems to mellow them or something.
57,M,How is the cat getting so much food?,M|How is the cat getting so much food?
58,A,No.,A|No.
59,M,And you know that they are cats.,M|And you know that they are cats.
60,A,"Oh yeah, I I keep talking about getting rid of my outdoor cats because I feel like I don't, I can't take care of them as well because they're outside,","A|Oh yeah, I I keep talking about getting rid of my outdoor cats because I feel like I don't, I can't take care of them as well because they're outside,"
61,M,I think you're thinking of the cats.,M|I think you're thinking of the cats.
62,A,"and it worries me that one day one of them won't come back,","A|and it worries me that one day one of them won't come back,"
63,M,"I have a cat, it's okay.","M|I have a cat, it's okay."
64,A,"and I feel like they need a big home, a nice place where someone can have the time to play with them and things. But I can't give them up.","A|and I feel like they need a big home, a nice place where someone can have the time to play with them and things. But I can't give them up."
65,M,You should just get a cat.,M|You should just get a cat.
66,A,"I just, I go hysterical when they don't come home.","A|I just, I go hysterical when they don't come home."
67,M,This is so confusing,M|This is so confusing
68,A,"Oh, oh yeah, and every time you see one hit on the side of the road you say is that my cat.","A|Oh, oh yeah, and every time you see one hit on the side of the road you say is that my cat."
69,M,But you don't need to worry about the cat.,M|But you don't need to worry about the cat.
70,A,And you go crazy thinking it might be yours.,A|And you go crazy thinking it might be yours.
71,M,I'm going crazy,M|I'm going crazy
72,A,Uh-huh.,A|Uh-huh.
73,M,"What? I'm just saying, I've never had a cat that was just that.","M|What? I'm just saying, I've never had a cat that was just that."
74,A,Ugh!,A|Ugh!
75,M,"I don't want to make any promises, but I'm going to take a bath with a bath.","M|I don't want to make any promises, but I'm going to take a bath with a bath."
76,A,Really.,A|Really.
77,M,"Oh, my.","M|Oh, my."
78,A,"It's here now, we have to keep it. Yeah, my, my first one that I got, I had just moved away from home and got my own apartment. It took me about two weeks to realize, that was real lonely.","A|It's here now, we have to keep it. Yeah, my, my first one that I got, I had just moved away from home and got my own apartment. It took me about two weeks to realize, that was real lonely."
79,M,You're not alone.,M|You're not alone.
80,A,"So I found this one and, uh, actually it was on a sign at Taco Bell drive-thru that said free kittens.","A|So I found this one and, uh, actually it was on a sign at Taco Bell drive-thru that said free kittens."
81,M,I'll take the free kitten,M|I'll take the free kitten
82,A,"And I thought well that's interesting, I'll call them.","A|And I thought well that's interesting, I'll call them."
83,M,Yup. I'm from there.,M|Yup. I'm from there.
84,A,And he was the only one left and his mother had been killed coming back across the road to make sure she'd gotten all her kittens.,A|And he was the only one left and his mother had been killed coming back across the road to make sure she'd gotten all her kittens.
85,M,"He was the last one, but he was only there for a couple of days.","M|He was the last one, but he was only there for a couple of days."
86,A,"And he was the last one she carried across, you know, the whole big sad story.","A|And he was the last one she carried across, you know, the whole big sad story."
87,M,"I don't think he was a baby, he was just the last person she had on the street.","M|I don't think he was a baby, he was just the last person she had on the street."
88,A,"So of course, I had to take him. I felt so sorry for him after that.","A|So of course, I had to take him. I felt so sorry for him after that."
89,M,I didn't know he was so cruel.,M|I didn't know he was so cruel.
90,A,"And he is, uh, you can tell he was weaned too young because he'll nurse on your ears and your fingers.","A|And he is, uh, you can tell he was weaned too young because he'll nurse on your ears and your fingers."
91,M,"I mean, he was born with a head.","M|I mean, he was born with a head."
92,A,"Yeah, he, I asked the vet why he did that and he said he was probably weaned too young, which he was, because his mom was killed, so.","A|Yeah, he, I asked the vet why he did that and he said he was probably weaned too young, which he was, because his mom was killed, so."
93,M,I'm sorry for your loss. I hope you get better soon.,M|I'm sorry for your loss. I hope you get better soon.
94,A,"But he is the lovingest cat. Everybody, people who don't even like cats, like him.","A|But he is the lovingest cat. Everybody, people who don't even like cats, like him."
95,M,I'm sorry to hear that.,M|I'm sorry to hear that.
96,A,"He never meows, he, he doesn't have any front claws, I had him declawed,","A|He never meows, he, he doesn't have any front claws, I had him declawed,"
97,M,"He's adorable, what happened to him?","M|He's adorable, what happened to him?"
98,A,"but he doesn't bite anybody he's just, he's just kind of there, real friendly and docile.","A|but he doesn't bite anybody he's just, he's just kind of there, real friendly and docile."
99,M,But he doesn't bite anyone.,M|But he doesn't bite anyone.
