Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	7	i turn right by the abandoned cottage	9	f	117, 125
4	4	by the abandoned cottage	35	f	117, 125, 139, 151
2	4	edge of the map	3	f	129, 131
2	4	no i don't have	9	f	179, 187
2	4	to the abandoned cottage	37	f	109, 145
7	3	the abandoned cottage	71	f	81, 109, 117, 125, 139, 145, 151
3	3	no i don't	33	f	179, 187, 211
3	3	of the map	97	f	35, 129, 131
2	3	a fenced meadow	87	f	93, 179
2	3	a lake right	31	f	183, 213
2	3	the caravan park	9	f	21, 29
2	3	to the bottom	5	f	35, 39
2	3	up the map	81	f	59, 139
6	2	i don't	177	f	35, 99, 123, 179, 187, 211
5	2	by the	105	f	47, 117, 125, 139, 151
5	2	turn right	67	f	111, 117, 125, 141, 177
4	2	of the	105	f	35, 129, 131, 139
4	2	to the	111	f	35, 39, 109, 145
3	2	a lake	33	f	183, 213, 215
3	2	back down	163	f	13, 171, 175
3	2	fenced meadow	87	f	93, 105, 179
3	2	i've got	63	f	153, 183, 215
3	2	my left	199	f	3, 155, 201
3	2	right i've	75	f	79, 139, 153
3	2	right so	155	f	21, 101, 175
3	2	turn left	113	f	39, 123, 151
2	2	a forest	35	f	67, 101
2	2	and then	31	f	111, 141
2	2	aye but	87	f	69, 155
2	2	aye i'm	35	f	13, 47
2	2	aye right	87	f	15, 101
2	2	but there's	31	f	63, 93
2	2	come up	31	f	109, 139
2	2	got that	55	f	153, 207
2	2	have a	21	f	179, 199
2	2	i think	11	f	135, 145
2	2	i'm heading	5	f	125, 129
2	2	i've had	133	f	93, 225
2	2	left again	17	f	23, 39
2	2	left then	17	f	23, 39
2	2	past the	191	f	29, 219
2	2	right i	7	f	139, 145
2	2	right right	35	f	111, 145
2	2	should be	149	f	25, 173
2	2	so that's	81	f	95, 175
2	2	the maps	33	f	71, 103
2	2	the right	97	f	49, 145
2	2	then turn	73	f	39, 111
2	2	there's nae	13	f	93, 105
2	2	towards the	11	f	129, 139
38	1	right	209	f	9, 15, 19, 21, 23, 25, 33, 37, 41, 45, 49, 51, 59, 77, 79, 87, 101, 105, 111, 115, 117, 125, 135, 139, 141, 145, 149, 153, 157, 169, 175, 177, 183, 197, 203, 205, 213, 217
24	1	the	199	f	21, 29, 35, 39, 47, 49, 59, 63, 69, 71, 75, 81, 103, 109, 117, 125, 129, 131, 135, 139, 145, 151, 175, 219
21	1	uh-huh	217	f	5, 7, 17, 31, 37, 53, 55, 85, 117, 121, 137, 147, 159, 177, 181, 185, 193, 195, 209, 217, 221
18	1	i	201	f	25, 35, 99, 117, 123, 125, 127, 135, 139, 143, 145, 153, 179, 187, 199, 211, 213, 225
17	1	aye	227	f	1, 13, 15, 27, 47, 57, 65, 69, 81, 101, 135, 155, 161, 177, 191, 207, 227
12	1	a	149	f	67, 93, 101, 123, 165, 173, 179, 183, 199, 211, 213, 215
10	1	i've	153	f	73, 79, 93, 101, 139, 143, 153, 183, 215, 225
10	1	to	181	f	35, 39, 75, 79, 99, 109, 141, 145, 155, 215
9	1	no	119	f	93, 95, 97, 107, 127, 179, 187, 189, 211
8	1	left	199	f	3, 23, 39, 123, 135, 151, 155, 201
7	1	i'm	163	f	13, 47, 61, 99, 125, 129, 175
7	1	it	163	f	61, 79, 109, 143, 167, 205, 223
6	1	and	135	f	39, 111, 135, 141, 151, 173
6	1	by	105	f	47, 71, 117, 125, 139, 151
6	1	have	129	f	71, 75, 173, 179, 187, 199
6	1	so	155	f	21, 95, 101, 105, 117, 175
6	1	you	75	f	99, 127, 141, 153, 171, 173
5	1	but	93	f	63, 69, 93, 129, 155
5	1	come	133	f	39, 109, 139, 145, 171
5	1	that	109	f	99, 125, 127, 153, 207
4	1	again	153	f	23, 39, 165, 175
4	1	back	163	f	13, 145, 171, 175
4	1	go	123	f	23, 35, 75, 145
4	1	lake	37	f	183, 213, 215, 219
4	1	my	199	f	3, 131, 155, 201
4	1	that's	133	f	95, 157, 175, 227
4	1	there's	121	f	63, 93, 105, 183
4	1	up	107	f	59, 109, 139, 165
3	1	be	149	f	25, 127, 173
3	1	edge	5	f	129, 131, 133
3	1	fenced	87	f	93, 105, 179
3	1	forest	35	f	67, 75, 101
3	1	heading	15	f	125, 129, 139
3	1	it's	31	f	135, 155, 165
3	1	straight	33	f	139, 165, 171
3	1	through	27	f	75, 79, 101
3	1	uh	43	f	61, 89, 103
3	1	wrong	85	f	143, 225, 227
2	1	another	3	f	91, 93
2	1	been	31	f	71, 101
2	1	different	33	f	71, 103
2	1	get	41	f	39, 79
2	1	going	201	f	13, 213
2	1	if	27	f	99, 125
2	1	in	11	f	63, 73
2	1	is	199	f	25, 223
2	1	just	67	f	153, 219
2	1	know	127	f	99, 225
2	1	me	25	f	141, 165
2	1	mmhmm	153	f	11, 163
2	1	now	7	f	19, 25
2	1	okay	31	f	89, 119
2	1	out	19	f	21, 39
2	1	see	139	f	73, 211
2	1	should	149	f	25, 173
2	1	two	43	f	183, 225
2	1	well	117	f	19, 135

