Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	5	, you know , the	39	B	85, 123
2	5	Um , a lot of	9	B	13, 21
4	4	, you know ,	49	B	79, 85, 123, 127
4	4	, you know .	93	B	37, 91, 127, 129
3	4	, a lot of	75	B	13, 21, 87
2	4	, I , I	73	B	7, 79
2	4	, uh , it's	13	B	27, 39
2	4	Oh , really ?	51	B	43, 93
2	4	go to a seafood	3	B	89, 91
2	4	it's , uh ,	3	B	37, 39
7	3	, uh ,	101	B	11, 15, 21, 27, 37, 39, 111
7	3	, you know	93	B	37, 79, 85, 91, 123, 127, 129
3	3	, I think	25	B	11, 31, 35
3	3	I think ,	91	B	35, 69, 125
3	3	Oh , really	55	B	43, 93, 97
3	3	a lot of	75	B	13, 21, 87
2	3	, I really	61	B	7, 67
2	3	, we like	15	B	41, 55
2	3	. Yeah .	27	B	81, 107
2	3	And then they	3	B	115, 117
2	3	Kalachandji's . It's	3	B	25, 27
2	3	Yeah , I	7	B	79, 85
2	3	get away from	39	B	87, 125
2	3	place that we	7	B	15, 21
2	3	quality of food	5	B	7, 11
2	3	some of the	5	B	11, 15
2	3	the , the	75	B	11, 85
2	3	uh , I	61	B	11, 71
10	2	, I	119	B	3, 7, 11, 31, 35, 67, 71, 79, 85, 121
9	2	uh ,	101	B	11, 15, 21, 27, 37, 39, 55, 71, 111
8	2	Oh ,	109	B	3, 43, 45, 47, 93, 95, 97, 111
7	2	I think	117	B	11, 31, 35, 37, 69, 125, 127
6	2	Yeah .	91	B	17, 51, 81, 83, 87, 107
4	2	, a	79	B	9, 13, 21, 87
4	2	, really	87	B	11, 43, 93, 97
4	2	Well ,	47	B	7, 9, 41, 53
4	2	food .	45	B	11, 15, 39, 55
4	2	going to	51	B	79, 105, 115, 129
3	2	, I'm	115	B	15, 79, 129
3	2	, my	87	B	25, 47, 111
3	2	, we	41	B	15, 41, 55
3	2	. I	59	B	25, 37, 83
3	2	Oh .	93	B	25, 103, 117
3	2	Um ,	15	B	13, 21, 27
3	2	for the	73	B	7, 9, 79
3	2	in the	91	B	25, 37, 115
3	2	it .	35	B	3, 25, 37
3	2	like ,	113	B	15, 61, 127
3	2	like that	15	B	57, 67, 71
3	2	that we	113	B	15, 21, 127
3	2	the ,	75	B	11, 15, 85
3	2	to a	35	B	89, 91, 123
2	2	, and	99	B	25, 123
2	2	, five	33	B	79, 111
2	2	, it	9	B	25, 33
2	2	, that's	31	B	23, 53
2	2	, this	7	B	121, 127
2	2	. And	61	B	57, 117
2	2	. It	41	B	31, 71
2	2	Hari Krishna	3	B	25, 27
2	2	Huh .	39	B	65, 103
2	2	I could	5	B	79, 83
2	2	I don't	5	B	67, 71
2	2	I mean	97	B	25, 121
2	2	I was	105	B	15, 119
2	2	I'm not	49	B	15, 63
2	2	Kalachandji's .	3	B	25, 27
2	2	Really .	87	B	13, 99
2	2	Uh ,	3	B	31, 33
2	2	Uh-huh .	107	B	1, 107
2	2	Why ?	59	B	43, 101
2	2	and eat	39	B	91, 129
2	2	and it	11	B	15, 25
2	2	far as	31	B	11, 41
2	2	food goes	31	B	11, 41
2	2	it ,	61	B	25, 85
2	2	it was	11	B	15, 25
2	2	just fabulous	15	B	25, 39
2	2	of ,	91	B	21, 111
2	2	of the	5	B	11, 15
2	2	see that	29	B	83, 111
2	2	so ,	11	B	57, 67
2	2	that .	25	B	57, 81
2	2	the most	5	B	11, 15
2	2	them in	5	B	111, 115
2	2	things that	13	B	115, 127
2	2	this is	9	B	119, 127
2	2	to ,	43	B	37, 79
2	2	to be	93	B	37, 129
2	2	true .	23	B	87, 109
2	2	we like	15	B	41, 55
2	2	we went	7	B	15, 21
21	1	I	127	B	3, 7, 11, 15, 25, 31, 35, 37, 67, 69, 71, 79, 83, 85, 87, 111, 119, 121, 125, 127, 129
16	1	that	117	B	11, 13, 15, 21, 25, 57, 67, 71, 79, 81, 83, 85, 87, 111, 115, 127
13	1	to	109	B	21, 37, 45, 67, 79, 89, 91, 105, 115, 117, 123, 127, 129
12	1	Oh	115	B	3, 25, 43, 45, 47, 75, 93, 95, 97, 103, 111, 117
12	1	it	127	B	3, 15, 25, 33, 37, 67, 71, 85, 105, 113, 125, 129
12	1	the	117	B	7, 9, 11, 15, 25, 37, 79, 85, 87, 111, 115, 123
11	1	a	115	B	9, 13, 15, 21, 27, 33, 87, 89, 91, 111, 123
11	1	like	115	B	13, 15, 41, 55, 57, 61, 67, 71, 79, 85, 127
11	1	you	115	B	15, 37, 45, 79, 85, 87, 89, 91, 123, 127, 129
10	1	of	109	B	3, 7, 11, 13, 15, 21, 25, 87, 91, 111
9	1	and	115	B	15, 25, 79, 91, 111, 115, 123, 127, 129
9	1	in	113	B	15, 25, 37, 79, 111, 113, 115, 117, 127
9	1	know	93	B	37, 71, 79, 85, 87, 91, 123, 127, 129
8	1	food	73	B	7, 11, 15, 39, 41, 55, 59, 79
8	1	really	91	B	7, 11, 43, 67, 79, 87, 93, 97
8	1	think	117	B	11, 31, 35, 37, 69, 117, 125, 127
7	1	I'm	115	B	15, 19, 49, 63, 79, 105, 129
6	1	is	83	B	45, 95, 115, 119, 123, 127
6	1	they	73	B	45, 71, 85, 111, 115, 117
5	1	And	105	B	15, 57, 115, 117, 119
5	1	So	95	B	35, 113, 121, 127, 129
5	1	That's	87	B	23, 47, 91, 105, 109
5	1	be	99	B	31, 37, 69, 79, 129
5	1	for	121	B	7, 9, 49, 79, 127
5	1	get	93	B	37, 79, 87, 125, 129
5	1	just	109	B	21, 25, 39, 127, 129
5	1	my	103	B	25, 47, 91, 111, 127
5	1	not	113	B	15, 23, 63, 105, 127
5	1	one	91	B	21, 61, 73, 91, 111
5	1	so	95	B	31, 57, 67, 117, 125
5	1	we	113	B	15, 21, 41, 55, 127
4	1	going	51	B	79, 105, 115, 129
4	1	had	101	B	11, 15, 85, 111
4	1	probably	69	B	37, 71, 79, 105
4	1	some	117	B	11, 15, 125, 127
4	1	was	105	B	15, 21, 25, 119
4	1	would	23	B	69, 71, 89, 91
3	1	A	43	B	35, 59, 77
3	1	But	49	B	39, 55, 87
3	1	It	41	B	31, 69, 71
3	1	as	119	B	11, 41, 129
3	1	been	57	B	11, 45, 67
3	1	can't	41	B	87, 125, 127
3	1	don't	59	B	13, 67, 71
3	1	eat	41	B	89, 91, 129
3	1	go	41	B	89, 91, 129
3	1	or	115	B	15, 91, 129
3	1	place	77	B	15, 21, 91
3	1	radioactive	13	B	111, 113, 123
3	1	restaurant	65	B	25, 27, 89
3	1	seafood	7	B	85, 89, 91
3	1	that's	65	B	23, 53, 87
3	1	them	7	B	111, 115, 117
3	1	then	35	B	83, 115, 117
3	1	things	41	B	87, 115, 127
3	1	which	5	B	111, 113, 115
3	1	years	73	B	49, 111, 121
2	1	Arby's	9	B	41, 49
2	1	I've	57	B	11, 67
2	1	K	3	B	33, 35
2	1	all	23	B	3, 25
2	1	anything	61	B	7, 67
2	1	are	17	B	71, 87
2	1	at	87	B	25, 111
2	1	because	81	B	25, 105
2	1	before	67	B	53, 119
2	1	bit	69	B	9, 77
2	1	can	3	B	127, 129
2	1	chicken	3	B	89, 91
2	1	eating	91	B	15, 105
2	1	either	39	B	91, 129
2	1	even	103	B	13, 115
2	1	ever	53	B	15, 67
2	1	expensive	61	B	11, 71
2	1	five	33	B	79, 111
2	1	good	15	B	55, 69
2	1	guess	45	B	67, 111
2	1	happened	69	B	53, 121
2	1	have	53	B	15, 67
2	1	health	69	B	59, 127
2	1	maybe	3	B	81, 83
2	1	more	109	B	7, 115
2	1	name	37	B	25, 61
2	1	places	3	B	11, 13
2	1	point	15	B	111, 125
2	1	quite	77	B	3, 79
2	1	restaurants	31	B	7, 37
2	1	should	7	B	31, 37
2	1	taking	11	B	111, 121
2	1	there	65	B	15, 79
2	1	we're	67	B	55, 121
2	1	were	7	B	111, 117
2	1	what	17	B	47, 63
2	1	when	27	B	85, 111
2	1	why	3	B	89, 91
2	1	wonderful	81	B	15, 95

