Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	8	about a centimetre to the west of the	25	g	81, 105
3	7	a centimetre to the west of the	37	g	69, 81, 105
2	6	about an inch and a half	39	g	23, 61
2	5	and then go straight across	61	g	53, 113
2	5	and then straight across until	17	g	81, 97
2	5	now do you have a	7	g	15, 21
2	5	then straight across until you're	13	g	97, 109
2	5	two and a half inches	11	g	33, 43
2	5	until you're just below the	81	g	17, 97
5	4	do you have a	87	g	15, 21, 65, 89, 101
4	4	to the west of	37	g	69, 81, 99, 105
3	4	for about two inches	35	g	29, 47, 63
3	4	the bottom of the	39	g	31, 53, 69
3	4	the edge of the	11	g	9, 13, 19
3	4	you're just below the	81	g	17, 55, 97
2	4	do you have an	9	g	27, 35
2	4	maybe about an inch	13	g	11, 23
2	4	the top of the	41	g	47, 87
2	4	the western side of	75	g	19, 93
2	4	until you're at the	57	g	31, 87
2	4	until you're below the	3	g	107, 109
2	4	up the side of	29	g	43, 71
8	3	do you have	87	g	15, 21, 27, 33, 35, 65, 89, 101
4	3	of the pyramid	17	g	81, 87, 93, 97
4	3	straight across until	29	g	81, 83, 97, 109
4	3	the bottom of	59	g	11, 31, 53, 69
4	3	west of the	95	g	11, 69, 81, 105
3	3	and then go	101	g	13, 53, 113
3	3	side of the	73	g	21, 71, 93
3	3	the old temple	9	g	31, 33, 39
3	3	you're below the	15	g	95, 107, 109
2	3	a cobbled street	3	g	89, 91
2	3	a poisoned stream	3	g	21, 23
2	3	an inch and	39	g	23, 61
2	3	and maybe about	59	g	11, 69
2	3	in this one	73	g	3, 75
2	3	just about a	27	g	79, 105
2	3	mm go up	17	g	71, 87
2	3	of the footbridge	5	g	17, 21
2	3	right and then	9	g	13, 21
2	3	the other side	67	g	21, 87
2	3	until you're just	81	g	17, 97
2	3	up over the	45	g	43, 87
17	2	of the	97	g	9, 11, 13, 17, 19, 21, 31, 47, 53, 69, 71, 79, 81, 87, 93, 97, 105
16	2	and then	101	g	13, 19, 21, 25, 27, 31, 45, 51, 53, 63, 69, 73, 81, 87, 97, 113
9	2	below the	93	g	17, 55, 71, 91, 93, 95, 97, 107, 109
9	2	you have	87	g	15, 21, 23, 27, 33, 35, 65, 89, 101
8	2	at the	83	g	21, 23, 31, 51, 67, 87, 97, 103
7	2	until you're	93	g	17, 31, 71, 87, 97, 107, 109
6	2	the pyramid	19	g	79, 81, 87, 91, 93, 97
6	2	to the	105	g	1, 19, 69, 81, 99, 105
5	2	about two	51	g	13, 29, 33, 47, 63
5	2	and a	51	g	11, 23, 33, 43, 61
5	2	go up	71	g	17, 33, 47, 71, 87
5	2	the the	103	g	1, 17, 19, 23, 103
4	2	an inch	61	g	11, 23, 61, 71
4	2	for about	45	g	29, 47, 63, 73
4	2	just below	81	g	17, 51, 55, 97
4	2	old temple	13	g	27, 31, 33, 39
3	2	abandoned truck	19	g	35, 51, 53
3	2	an angle	89	g	11, 45, 99
3	2	cobbled street	13	g	89, 91, 101
3	2	draw a	39	g	69, 95, 107
3	2	inch and	91	g	23, 61, 113
3	2	right go	83	g	17, 29, 99
3	2	the footbridge	7	g	17, 21, 23
3	2	the western	79	g	19, 93, 97
3	2	until about	69	g	13, 71, 81
3	2	up the	37	g	43, 71, 79
2	2	"and then	99	g	11, 109
2	2	about half	3	g	69, 71
2	2	and the	29	g	39, 67
2	2	crest falls	3	g	9, 11
2	2	due north	57	g	17, 73
2	2	due south	37	g	23, 59
2	2	due west	51	g	13, 63
2	2	go along	29	g	1, 29
2	2	go due	11	g	13, 23
2	2	is there	39	g	39, 77
2	2	past the	39	g	9, 47
2	2	remote village	3	g	101, 103
2	2	right now	13	g	59, 71
2	2	the same	35	g	51, 85
2	2	the side	29	g	43, 71
2	2	the thick	3	g	103, 105
2	2	there's a	69	g	23, 91
2	2	there's no	73	g	3, 75
2	2	to where	37	g	67, 103
2	2	up until	41	g	31, 71
2	2	well the	17	g	51, 67
2	2	where you	29	g	67, 95
2	2	white mountain	5	g	65, 69
35	1	the	113	g	1, 5, 9, 11, 13, 17, 19, 21, 23, 31, 33, 39, 43, 47, 51, 53, 55, 67, 69, 71, 79, 81, 85, 87, 91, 93, 95, 97, 99, 101, 103, 105, 107, 109, 113
28	1	and	109	g	5, 11, 13, 19, 21, 23, 25, 27, 31, 33, 39, 43, 45, 51, 53, 61, 63, 67, 69, 73, 81, 87, 91, 97, 101, 103, 105, 113
23	1	of	99	g	9, 11, 13, 17, 19, 21, 31, 43, 45, 47, 53, 67, 69, 71, 79, 81, 87, 93, 95, 97, 99, 105, 107
21	1	a	97	g	11, 15, 21, 23, 25, 33, 43, 61, 65, 67, 69, 77, 79, 81, 87, 89, 91, 95, 101, 105, 107
18	1	then	103	g	11, 13, 19, 21, 25, 27, 31, 45, 51, 53, 63, 69, 73, 81, 87, 97, 109, 113
16	1	you	91	g	11, 15, 21, 23, 27, 33, 35, 47, 51, 57, 65, 67, 79, 89, 95, 101
15	1	about	95	g	11, 13, 23, 29, 33, 35, 47, 61, 63, 69, 71, 73, 79, 81, 105
15	1	go	113	g	1, 7, 13, 17, 19, 23, 29, 33, 43, 47, 53, 71, 87, 99, 113
15	1	to	105	g	1, 11, 19, 23, 25, 51, 61, 67, 69, 73, 81, 99, 101, 103, 105
13	1	right	87	g	13, 17, 19, 21, 29, 35, 41, 59, 71, 77, 89, 91, 99
12	1	just	97	g	9, 11, 17, 23, 25, 51, 55, 79, 95, 97, 103, 105
12	1	until	101	g	9, 11, 13, 17, 31, 71, 81, 83, 87, 97, 107, 109
11	1	have	87	g	15, 21, 23, 27, 33, 35, 41, 57, 65, 89, 101
10	1	now	81	g	15, 17, 21, 33, 57, 59, 67, 71, 79, 95
10	1	up	71	g	17, 31, 33, 43, 47, 65, 67, 71, 79, 87
9	1	at	83	g	21, 23, 31, 51, 67, 87, 97, 99, 103
9	1	do	87	g	15, 21, 27, 33, 35, 65, 67, 89, 101
8	1	west	99	g	7, 11, 13, 63, 69, 81, 99, 105
7	1	pyramid	21	g	77, 79, 81, 87, 91, 93, 97
7	1	straight	61	g	53, 69, 81, 83, 97, 109, 113
7	1	there	87	g	19, 21, 33, 39, 77, 101, 105
6	1	inches	45	g	29, 33, 43, 47, 63, 73
5	1	footbridge	9	g	15, 17, 19, 21, 23
5	1	for	45	g	29, 47, 63, 71, 73
5	1	in	109	g	3, 33, 75, 87, 111
5	1	temple	17	g	27, 31, 33, 39, 43
4	1	angle	89	g	11, 45, 51, 99
4	1	come	57	g	11, 23, 59, 67
4	1	maybe	61	g	11, 23, 69, 71
4	1	south	89	g	11, 23, 59, 99
4	1	that	35	g	33, 41, 47, 67
4	1	truck	19	g	35, 39, 51, 53
4	1	uh-huh	45	g	5, 25, 37, 49
4	1	well	63	g	5, 23, 51, 67
3	1	be	55	g	25, 67, 79
3	1	down	77	g	11, 51, 87
3	1	from	83	g	13, 19, 95
3	1	level	75	g	11, 17, 85
3	1	line	37	g	69, 95, 105
3	1	mountain	7	g	65, 69, 71
3	1	no	81	g	3, 75, 83
3	1	north	69	g	5, 17, 73
3	1	over	69	g	19, 43, 87
3	1	past	39	g	9, 11, 47
3	1	this	73	g	3, 69, 75
3	1	village	11	g	101, 103, 111
2	1	"now	13	g	95, 107
2	1	anything	7	g	33, 39
2	1	are	9	g	95, 103
2	1	back	17	g	51, 67
2	1	between	31	g	39, 69
2	1	curve	77	g	31, 107
2	1	got	49	g	9, 57
2	1	it	9	g	43, 51
2	1	more	75	g	25, 99
2	1	point	29	g	69, 97
2	1	say	41	g	5, 45
2	1	slightly	89	g	11, 99
2	1	take	23	g	25, 47
2	1	three	13	g	61, 73
2	1	would	21	g	47, 67

