Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	, I mean ,	11	B	26, 36
2	4	And , uh ,	5	B	44, 48
5	3	, uh ,	41	B	8, 36, 44, 46, 48
3	3	, I mean	13	B	26, 36, 38
3	3	I , I	57	B	8, 10, 64
3	3	I mean ,	39	B	26, 36, 64
2	3	do you have	29	B	20, 48
2	3	the , the	3	B	36, 38
7	2	, I	57	B	8, 10, 18, 26, 36, 38, 64
6	2	, uh	41	B	8, 32, 36, 44, 46, 48
6	2	Yeah .	57	B	6, 14, 22, 24, 42, 62
6	2	uh ,	41	B	8, 32, 36, 44, 46, 48
4	2	Uh-huh .	51	B	0, 28, 30, 50
3	2	, that	39	B	8, 36, 46
3	2	I ,	57	B	8, 10, 64
2	2	, yeah	25	B	4, 28
2	2	. I	57	B	8, 64
2	2	That ,	29	B	8, 36
2	2	Yeah ,	31	B	10, 40
2	2	Yes ,	39	B	18, 56
2	2	it .	7	B	40, 46
2	2	that ,	39	B	8, 46
2	2	that .	17	B	36, 52
2	2	yeah .	21	B	8, 28
2	2	you know	7	B	32, 38
11	1	I	63	B	2, 8, 10, 18, 20, 26, 36, 38, 46, 52, 64
6	1	a	39	B	8, 10, 20, 32, 36, 46
6	1	uh	41	B	8, 32, 36, 44, 46, 48
5	1	Uh-huh	61	B	0, 28, 30, 50, 60
5	1	and	41	B	26, 32, 36, 46, 66
5	1	that	45	B	8, 10, 36, 46, 52
5	1	the	35	B	32, 36, 38, 46, 66
5	1	you	29	B	20, 32, 38, 44, 48
4	1	And	17	B	32, 44, 46, 48
4	1	have	39	B	10, 20, 32, 48
4	1	is	57	B	8, 46, 52, 64
4	1	it	25	B	40, 46, 48, 64
3	1	do	31	B	18, 20, 48
3	1	know	21	B	32, 38, 52
3	1	like	11	B	36, 44, 46
3	1	what	45	B	2, 20, 46
3	1	with	31	B	36, 46, 66
2	1	Oh	9	B	8, 16
2	1	That's	41	B	2, 42
2	1	difference	9	B	36, 44
2	1	dog	29	B	10, 38
2	1	for	13	B	46, 58
2	1	give	33	B	32, 64
2	1	he	41	B	26, 66
2	1	in	9	B	36, 44
2	1	me	27	B	38, 64
2	1	more	13	B	32, 44
2	1	right	47	B	8, 54
2	1	some	15	B	44, 58
2	1	take	17	B	32, 48
2	1	they're	3	B	36, 38
2	1	thing	35	B	32, 66
2	1	to	25	B	8, 32
2	1	was	41	B	26, 66
2	1	well	57	B	10, 66

