Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	10	due south to level at the bottom of crest falls	5	g	2, 6
3	7	south so that you're just underneath it	5	g	36, 38, 40
2	6	do you have the remote village	37	g	30, 66
3	5	about an inch above the	33	g	18, 34, 50
2	5	'til you're about an inch	25	g	26, 50
2	5	if you take a line	9	g	72, 80
7	4	do you have the	47	g	20, 30, 32, 56, 60, 64, 66
3	4	the end of the	33	g	8, 10, 40
2	4	clear the remote village	7	g	74, 80
2	4	go to your left	3	g	38, 40
2	4	i don't know if	7	g	26, 32
2	4	of the old temple	3	g	22, 24
2	4	past the remote village	5	g	100, 104
2	4	right do you have	51	g	14, 64
2	4	the edge of the	39	g	16, 54
9	3	do you have	53	g	14, 20, 30, 32, 42, 56, 60, 64, 66
9	3	the remote village	77	g	28, 30, 66, 68, 74, 80, 96, 100, 104
5	3	about an inch	43	g	8, 18, 26, 34, 50
4	3	so that you're	57	g	36, 38, 40, 92
4	3	the abandoned truck	9	g	32, 34, 36, 40
4	3	under the pyramid	29	g	62, 70, 72, 90
3	3	go to your	65	g	38, 40, 102
3	3	right do you	51	g	14, 48, 64
3	3	the old temple	5	g	20, 22, 24
3	3	the white mountain	37	g	56, 72, 92
3	3	to your left	15	g	38, 40, 52
2	3	a centimetre from	13	g	72, 84
2	3	about two inches	33	g	16, 48
2	3	across so that	19	g	74, 92
2	3	and go north	13	g	10, 22
2	3	and just go	23	g	40, 62
2	3	come due south	15	g	2, 16
2	3	of the footbridge	7	g	10, 16
2	3	of the old	3	g	22, 24
2	3	of the page	5	g	54, 58
2	3	so that you'll	23	g	74, 96
2	3	that you took	23	g	50, 72
2	3	to the west	23	g	0, 22
2	3	up to the	35	g	24, 58
2	3	you should be	5	g	34, 38
9	2	to the	63	g	0, 22, 24, 36, 40, 50, 54, 58, 62
8	2	of the	51	g	8, 10, 16, 22, 24, 40, 54, 58
7	2	so that	61	g	36, 38, 40, 72, 74, 92, 96
6	2	the pyramid	31	g	60, 62, 70, 72, 82, 90
5	2	and go	93	g	10, 22, 24, 52, 102
5	2	if you	71	g	26, 72, 80, 92, 96
4	2	and then	27	g	36, 38, 46, 62
4	2	at the	61	g	2, 6, 10, 62
4	2	due south	79	g	2, 6, 16, 80
3	2	'til you're	25	g	26, 38, 50
3	2	crest falls	5	g	2, 4, 6
3	2	from the	65	g	8, 16, 72
3	2	go north	15	g	10, 22, 24
3	2	go to	65	g	38, 40, 102
3	2	i don't	21	g	26, 32, 46
3	2	the footbridge	41	g	10, 16, 50
3	2	the page	9	g	54, 58, 62
3	2	you know	51	g	22, 48, 72
3	2	you should	37	g	34, 38, 70
2	2	'cause that's	65	g	40, 104
2	2	above it	41	g	38, 78
2	2	after you've	19	g	44, 62
2	2	ah yeah	25	g	0, 24
2	2	are you	17	g	70, 86
2	2	below the	57	g	26, 82
2	2	come down	3	g	98, 100
2	2	come south	61	g	36, 96
2	2	go down	3	g	46, 48
2	2	go right	51	g	8, 58
2	2	it and	23	g	40, 62
2	2	just right	27	g	44, 70
2	2	just you	13	g	70, 82
2	2	right along	55	g	8, 62
2	2	right come	57	g	16, 72
2	2	right go	37	g	22, 58
2	2	the just	19	g	44, 62
2	2	under it	19	g	44, 62
2	2	you are	11	g	72, 82
2	2	you go	7	g	40, 46
38	1	the	105	g	0, 2, 6, 8, 10, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 40, 44, 46, 50, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 80, 82, 90, 92, 96, 100, 104
26	1	you	83	g	14, 20, 22, 26, 28, 30, 32, 34, 38, 40, 42, 44, 46, 48, 50, 56, 60, 64, 66, 70, 72, 80, 82, 86, 92, 96
20	1	right	95	g	8, 14, 16, 22, 28, 34, 44, 46, 48, 50, 52, 58, 62, 64, 70, 72, 76, 90, 98, 102
16	1	to	103	g	0, 2, 6, 8, 22, 24, 36, 38, 40, 50, 52, 54, 58, 62, 80, 102
15	1	just	97	g	4, 10, 12, 18, 22, 36, 38, 40, 44, 62, 70, 74, 82, 96, 100
14	1	go	95	g	8, 10, 22, 24, 36, 38, 40, 46, 48, 52, 58, 62, 96, 102
11	1	and	95	g	10, 22, 24, 36, 38, 40, 46, 52, 62, 102, 104
11	1	do	67	g	14, 20, 30, 32, 42, 48, 56, 60, 64, 66, 80
11	1	that	91	g	6, 32, 34, 36, 38, 40, 50, 72, 74, 92, 96
10	1	have	57	g	14, 20, 30, 32, 42, 56, 60, 64, 66, 70
9	1	about	77	g	8, 16, 18, 26, 34, 48, 50, 68, 84
9	1	come	99	g	2, 16, 36, 62, 72, 84, 96, 98, 100
9	1	it	71	g	10, 36, 38, 40, 44, 62, 74, 78, 80
9	1	so	63	g	36, 38, 40, 62, 72, 74, 92, 96, 98
9	1	south	95	g	2, 6, 16, 36, 38, 40, 80, 92, 96
9	1	you're	67	g	26, 36, 38, 40, 50, 78, 80, 90, 92
7	1	a	99	g	6, 14, 72, 74, 80, 84, 104
7	1	then	95	g	0, 20, 36, 38, 46, 62, 94
6	1	ah	99	g	0, 14, 24, 34, 38, 98
6	1	due	79	g	2, 6, 10, 16, 52, 80
6	1	is	47	g	34, 40, 50, 68, 72, 80
6	1	yeah	91	g	0, 12, 24, 46, 60, 90
5	1	are	51	g	36, 70, 72, 82, 86
5	1	left	29	g	24, 38, 40, 46, 52
5	1	your	65	g	38, 40, 52, 72, 102
4	1	'til	47	g	26, 38, 50, 72
4	1	across	57	g	36, 72, 74, 92
4	1	ehm	53	g	8, 18, 48, 60
4	1	i	55	g	26, 32, 46, 80
4	1	okay	91	g	0, 44, 48, 90
4	1	stop	53	g	10, 12, 44, 62
4	1	up	49	g	24, 26, 58, 72
4	1	you've	41	g	44, 46, 62, 84
3	1	east	13	g	10, 14, 22
3	1	gone	49	g	44, 70, 92
3	1	inches	33	g	16, 32, 48
3	1	level	37	g	2, 6, 38
3	1	line	75	g	6, 72, 80
3	1	north	15	g	10, 22, 24
3	1	now	7	g	36, 40, 42
3	1	should	37	g	34, 38, 70
3	1	take	9	g	72, 74, 80
3	1	temple	5	g	20, 22, 24
3	1	that's	65	g	40, 94, 104
3	1	west	53	g	0, 22, 52
3	1	where	15	g	34, 40, 48
2	1	""x""	79	g	26, 104
2	1	after	19	g	44, 62
2	1	baboons	5	g	42, 46
2	1	but	21	g	72, 92
2	1	going	55	g	26, 80
2	1	hit	13	g	80, 92
2	1	keep	21	g	26, 46
2	1	see	7	g	28, 34
2	1	straight	21	g	16, 36
2	1	uh	9	g	38, 46
2	1	well	61	g	34, 94
2	1	yes	43	g	40, 82

