Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns	Span Lists
3	1	3	the rift valley	35	5	1	g	34,35,39	[[34, 35, 39]]
3	1	3	you have a	119	3	2	g	118,119,121	[[118, 119, 121]]
4	0	2	do you	113	11	2	g	108,113,114,119	[[108, 113], [114, 119]]
4	0	2	of the	27	23	2	g	26,27,46,49	[[26, 27], [46, 49]]
5	1	2	have a	79	47	3	g	74,79,118,119,121	[[74, 79], [118, 119, 121]]
5	1	2	rift valley	35	23	2	g	34,35,39,56,57	[[34, 35, 39], [56, 57]]
5	1	2	the rift	35	15	1	g	34,35,39,48,49	[[34, 35, 39], [48, 49]]
2	0	2	to the	155	1	2	g	154,155	[[154, 155]]
3	1	2	you have	119	3	2	g	118,119,121	[[118, 119, 121]]
2	0	2	stone creek	103	3	6	g	100,103	[[100, 103]]
4	0	2	above the	79	63	2	g	74,79,132,137	[[74, 79], [132, 137]]
6	0	2	you know	45	109	1	g	40,45,138,141,144,149	[[40, 45], [138, 141], [144, 149]]
2	0	2	a stone	67	3	1	g	64,67	[[64, 67]]
52	16	1	the	3	153	1	g	2,3,5,8,12,13,16,18,21,23,26,27,34,35,37,39,46,47,48,49,54,56,57,62,65,67,74,78,79,86,87,88,90,91,98,101,102,103,106,107,109,130,132,134,135,137,139,148,149,152,154,155	[[2, 3, 5], [8, 12, 13], [12, 13], [16, 18, 21], [18, 21, 23], [26, 27], [34, 35, 37, 39], [46, 47, 48, 49], [48, 49], [54, 56, 57], [56, 57], [62, 65, 67], [74, 78, 79], [78, 79], [86, 87, 88, 90, 91], [88, 90, 91], [90, 91], [98, 101, 102, 103], [102, 103, 106, 107], [106, 107, 109], [130, 132, 134, 135], [132, 134, 135, 137], [134, 135, 137, 139], [148, 149], [152, 154, 155]]
15	1	1	right	5	109	2	g	4,5,10,13,16,17,30,35,78,79,81,102,103,112,113	[[4, 5], [10, 13], [16, 17], [30, 35], [78, 79, 81], [102, 103], [112, 113]]
18	4	1	to	23	69	3	g	20,23,25,26,27,28,29,33,60,65,72,75,77,78,79,81,88,89	[[20, 23, 25], [26, 27, 28, 29], [28, 29, 33], [60, 65], [72, 75, 77], [78, 79, 81], [88, 89]]
20	2	1	a	7	135	2	g	4,6,7,64,67,70,73,74,75,76,77,79,118,119,120,121,124,127,134,139	[[4, 6, 7], [6, 7], [64, 67], [70, 73, 74, 75], [74, 75, 76, 77, 79], [76, 77, 79], [118, 119, 120, 121], [120, 121], [124, 127], [134, 139]]
9	1	1	yeah	9	59	1	g	4,6,9,10,15,36,39,62,63	[[4, 6, 9], [6, 9], [10, 15], [36, 39], [62, 63]]
7	1	1	have	79	71	3	g	74,79,118,119,121,144,145	[[74, 79], [118, 119, 121], [144, 145]]
4	0	1	do	113	11	2	g	108,113,114,119	[[108, 113], [114, 119]]
4	0	1	go	33	81	2	g	28,33,108,109	[[28, 33], [108, 109]]
5	1	1	no	81	25	3	g	80,81,100,101,105	[[80, 81], [100, 101, 105]]
2	0	1	down	105	1	10	g	104,105	[[104, 105]]
6	0	1	stone	67	39	1	g	64,67,98,99,100,103	[[64, 67], [98, 99, 100, 103], [100, 103]]
6	2	1	valley	35	23	2	g	34,35,39,54,56,57	[[34, 35, 39], [54, 56, 57]]
2	0	1	your	81	5	7	g	76,81	[[76, 81]]
5	1	1	above	79	63	3	g	74,76,79,132,137	[[74, 76, 79], [76, 79], [132, 137]]
2	0	1	going	87	3	4	g	84,87	[[84, 87]]
3	1	1	bar	155	3	2	g	152,154,155	[[152, 154, 155]]
