,response,context,context/0,context/1,context/2,context/3
0,"I'm sorry, I don't speak Spanish.",er go forward and then kind of down south,mmhmm,right now turn to the west,alright okay,right starts above the stony desert
1,u start the game and say where to go,west and then down south,er go forward and then kind of down south,mmhmm,right now turn to the west,alright okay
2,i guess we'll have to agree to disagree then.,mmhmm until you're like at the bottom of the kind of level with the bottom of the desert,west and then down south,er go forward and then kind of down south,mmhmm,right now turn to the west
3,the game is so far ahead it is almost like it is in the middle of the world,the map all right,mmhmm until you're like at the bottom of the kind of level with the bottom of the desert,west and then down south,er go forward and then kind of down south,mmhmm
4,you're going to be stuck in the desert for a while,right then travel west again,the map all right,mmhmm until you're like at the bottom of the kind of level with the bottom of the desert,west and then down south,er go forward and then kind of down south
5,move to the east,mmhmm,right then travel west again,the map all right,mmhmm until you're like at the bottom of the kind of level with the bottom of the desert,west and then down south
6,right where the bridge ends,right to the very end of paper,mmhmm,right then travel west again,the map all right,mmhmm until you're like at the bottom of the kind of level with the bottom of the desert
7,move to the end of a paper,the very end of the map,right to the very end of paper,mmhmm,right then travel west again,the map all right
8,i know but you know what the map is,map right,the very end of the map,right to the very end of paper,mmhmm,right then travel west again
9,we'll just have to wait for the next map,mmhmm,map right,the very end of the map,right to the very end of paper,mmhmm
10,and the end of it,and then up north,mmhmm,map right,the very end of the map,right to the very end of paper
11,map and then map,mmhmm,and then up north,mmhmm,map right,the very end of the map
12,now do it again and again and so forth and so again,now have you got anything down that side,mmhmm,and then up north,mmhmm,map right
13,and what side?,not in that corner,now have you got anything down that side,mmhmm,and then up north,mmhmm
14,now do the opposite,no well have you got a collapsed shelter,not in that corner,now have you got anything down that side,mmhmm,and then up north
15,i have a collapsed roof,fssss over a bit,no well have you got a collapsed shelter,not in that corner,now have you got anything down that side,mmhmm
16,not if i have anything to say about it,right go straight up north,fssss over a bit,no well have you got a collapsed shelter,not in that corner,now have you got anything down that side
17,a bit,mmhmm,right go straight up north,fssss over a bit,no well have you got a collapsed shelter,not in that corner
18,what do you mean?,until you get to a kind of level above the shelter,mmhmm,right go straight up north,fssss over a bit,no well have you got a collapsed shelter
19,it's just a shelter,alright,until you get to a kind of level above the shelter,mmhmm,right go straight up north,fssss over a bit
20,turn left,and turn east to and travel right along,alright,until you get to a kind of level above the shelter,mmhmm,right go straight up north
21,I'll do that.,alright,and turn east to and travel right along,alright,until you get to a kind of level above the shelter,mmhmm
22,turn right,past the the shelter that's over the top,alright,and turn east to and travel right along,alright,until you get to a kind of level above the shelter
23,the shelter is over the bottom,uh-huh,past the the shelter that's over the top,alright,and turn east to and travel right along,alright
24,i'll be there,right then south,uh-huh,past the the shelter that's over the top,alright,and turn east to and travel right along
25,... then what?,then south,right then south,uh-huh,past the the shelter that's over the top,alright
26,"in the shelter, above the shelter...",just to below the shelter below the level of the shelter,then south,right then south,uh-huh,past the the shelter that's over the top
27,South then,right,just to below the shelter below the level of the shelter,then south,right then south,uh-huh
28,north and east,in a kind of east and have you got a savannah,right,just to below the shelter below the level of the shelter,then south,right then south
29,the shelter is in the east,mmhmm,in a kind of east and have you got a savannah,right,just to below the shelter below the level of the shelter,then south
30,what are you talking about,there's a savannah right you want to travel east until you get to before the savannah,mmhmm,in a kind of east and have you got a savannah,right,just to below the shelter below the level of the shelter
31,yeah you can just walk south east,mmhmm,there's a savannah right you want to travel east until you get to before the savannah,mmhmm,in a kind of east and have you got a savannah,right
32,I'm in the east,then turn north up,mmhmm,there's a savannah right you want to travel east until you get to before the savannah,mmhmm,in a kind of east and have you got a savannah
33,you can go east,mmhmm,then turn north up,mmhmm,there's a savannah right you want to travel east until you get to before the savannah,mmhmm
34,turn around,don't go round about it just go up before it,mmhmm,then turn north up,mmhmm,there's a savannah right you want to travel east until you get to before the savannah
35,go roundabout,mmhmm,don't go round about it just go up before it,mmhmm,then turn north up,mmhmm
36,"the map says that the town is on the north side of the map, but I'm still on the west side of town",right on my map there's a slate mountain you're traveling north,mmhmm,don't go round about it just go up before it,mmhmm,then turn north up
