Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	, I mean ,	9	B	22, 30
2	4	Oh , really ?	17	B	18, 34
2	4	Uh , I think	33	B	22, 54
4	3	, uh ,	29	B	4, 22, 24, 32
3	3	, I think	33	B	22, 26, 54
2	3	, if you	11	B	42, 52
2	3	, then ,	13	B	42, 54
2	3	B M W	5	B	22, 26
6	2	, I	35	B	20, 22, 26, 30, 42, 54
5	2	, uh	39	B	4, 22, 24, 32, 42
5	2	kind of	29	B	14, 22, 30, 32, 42
4	2	Yeah ,	25	B	20, 30, 42, 44
3	2	, it's	23	B	32, 40, 54
3	2	I mean	11	B	22, 30, 32
3	2	Oh ,	33	B	18, 34, 50
2	2	, which	9	B	22, 30
2	2	, yeah	7	B	50, 56
2	2	, you	43	B	10, 52
2	2	I'm kind	35	B	22, 56
2	2	Um .	35	B	2, 36
2	2	if I	35	B	22, 56
2	2	of a	13	B	42, 54
2	2	you can	33	B	10, 42
2	2	you want	11	B	0, 10
9	1	of	51	B	4, 10, 14, 22, 30, 32, 42, 52, 54
8	1	a	47	B	8, 22, 24, 42, 44, 48, 52, 54
8	1	you	55	B	0, 10, 12, 16, 32, 42, 52, 54
5	1	Yeah	25	B	20, 30, 38, 42, 44
5	1	that	31	B	12, 14, 24, 32, 42
5	1	to	53	B	0, 22, 30, 32, 52
4	1	I'm	35	B	22, 44, 48, 56
4	1	have	43	B	10, 26, 30, 52
4	1	if	35	B	22, 42, 52, 56
4	1	it's	23	B	32, 40, 46, 54
4	1	the	39	B	16, 22, 30, 54
3	1	and	45	B	10, 12, 54
3	1	for	41	B	12, 48, 52
3	1	in	47	B	8, 32, 54
3	1	on	31	B	24, 44, 54
3	1	really	39	B	18, 34, 56
3	1	they're	23	B	30, 32, 52
3	1	up	39	B	16, 52, 54
3	1	want	57	B	0, 10, 56
2	1	German	5	B	22, 26
2	1	No	5	B	40, 44
2	1	Right	3	B	10, 12
2	1	So	11	B	46, 56
2	1	Uh	33	B	22, 54
2	1	about	3	B	6, 8
2	1	all	3	B	52, 54
2	1	brainwash	3	B	30, 32
2	1	buy	11	B	0, 10
2	1	get	33	B	22, 54
2	1	go	33	B	22, 54
2	1	guess	23	B	20, 42
2	1	into	23	B	30, 52
2	1	is	17	B	14, 30
2	1	just	9	B	44, 52
2	1	maybe	3	B	22, 24
2	1	not	17	B	40, 56
2	1	order	31	B	24, 54
2	1	so	13	B	8, 20
2	1	take	23	B	30, 52
2	1	three	31	B	24, 54
2	1	track	3	B	14, 16
2	1	what	35	B	14, 48
2	1	would	9	B	12, 20
2	1	you're	25	B	8, 32
2	1	your	29	B	26, 54

