Freq.	Size	Surface Form	Spanning	First Speaker	Turns
6	4	, you know ,	61	B	19, 53, 57, 67, 69, 79
2	4	And , uh ,	11	B	57, 67
6	3	, uh ,	59	B	17, 43, 45, 57, 67, 75
2	3	, and that's	57	B	19, 75
2	3	, but I	25	B	19, 43
2	3	, exactly .	5	B	15, 19
2	3	, for the	63	B	5, 67
2	3	. So ,	31	B	5, 35
2	3	it was ,	27	B	27, 53
2	3	them , you	13	B	55, 67
7	2	know ,	61	B	19, 29, 53, 57, 67, 69, 79
6	2	, and	71	B	5, 19, 51, 53, 57, 75
5	2	Uh-huh .	71	B	1, 17, 47, 61, 71
4	2	, but	43	B	17, 19, 43, 59
4	2	Yeah ,	41	B	19, 41, 51, 59
3	2	, I	19	B	5, 17, 23
3	2	Right .	23	B	13, 25, 35
3	2	Well ,	37	B	39, 69, 75
3	2	it was	27	B	27, 51, 53
3	2	that ,	67	B	19, 43, 85
2	2	, a	21	B	59, 79
2	2	, for	63	B	5, 67
2	2	, if	15	B	53, 67
2	2	, in	29	B	23, 51
2	2	, or	15	B	53, 67
2	2	. We	7	B	17, 23
2	2	I do	39	B	5, 43
2	2	I guess	15	B	3, 17
2	2	Uh ,	17	B	7, 23
2	2	Yeah .	45	B	33, 77
2	2	and her	19	B	57, 75
2	2	are ,	63	B	5, 67
2	2	as well	5	B	51, 55
2	2	have just	53	B	23, 75
2	2	in ,	9	B	59, 67
2	2	it ,	11	B	17, 27
2	2	kind of	9	B	19, 27
2	2	that are	25	B	43, 67
2	2	the ,	9	B	59, 67
2	2	there .	3	B	3, 5
2	2	well ,	47	B	5, 51
11	1	and	71	B	5, 17, 19, 43, 51, 53, 57, 59, 65, 67, 75
10	1	a	79	B	5, 23, 29, 37, 39, 59, 67, 75, 79, 83
9	1	I	43	B	3, 5, 11, 17, 19, 23, 29, 43, 45
9	1	you	71	B	9, 19, 39, 53, 55, 57, 67, 69, 79
8	1	that	67	B	19, 43, 53, 57, 59, 67, 69, 85
8	1	the	65	B	3, 5, 19, 23, 35, 59, 63, 67
7	1	it	43	B	17, 19, 27, 43, 51, 53, 59
7	1	know	61	B	19, 29, 53, 57, 67, 69, 79
7	1	to	63	B	5, 17, 19, 37, 55, 63, 67
6	1	in	49	B	19, 23, 51, 53, 59, 67
6	1	of	55	B	5, 19, 23, 27, 53, 59
5	1	are	65	B	3, 5, 23, 43, 67
5	1	for	63	B	5, 19, 37, 39, 67
4	1	And	63	B	5, 55, 57, 67
4	1	Right	23	B	13, 15, 25, 35
4	1	have	53	B	23, 43, 45, 75
4	1	if	27	B	53, 55, 67, 79
4	1	is	63	B	5, 35, 57, 67
4	1	just	53	B	23, 55, 59, 75
4	1	they	45	B	23, 53, 63, 67
3	1	So	39	B	5, 35, 43
3	1	an	33	B	27, 53, 59
3	1	can	49	B	19, 63, 67
3	1	do	39	B	5, 19, 43
3	1	get	37	B	17, 39, 53
3	1	like	49	B	19, 59, 67
3	1	my	71	B	5, 19, 75
3	1	on	29	B	39, 63, 67
3	1	them	31	B	37, 55, 67
3	1	there	21	B	3, 5, 23
3	1	up	73	B	3, 59, 75
3	1	we	51	B	17, 43, 67
2	1	A	39	B	35, 73
2	1	basically	33	B	5, 37
2	1	be	31	B	37, 67
2	1	doing	45	B	19, 63
2	1	find	49	B	19, 67
2	1	had	51	B	17, 67
2	1	it's	75	B	5, 79
2	1	live	19	B	5, 23
2	1	me	19	B	19, 37
2	1	not	23	B	29, 51
2	1	now	13	B	23, 35
2	1	old	21	B	43, 63
2	1	only	49	B	3, 51
2	1	or	15	B	53, 67
2	1	other	17	B	51, 67
2	1	people	49	B	19, 67
2	1	places	49	B	3, 51
2	1	put	17	B	43, 59
2	1	right	35	B	29, 63
2	1	see	45	B	11, 55
2	1	some	33	B	19, 51
2	1	something	35	B	19, 53
2	1	they're	31	B	23, 53
2	1	thing	21	B	63, 83
2	1	two	25	B	19, 43
2	1	what	17	B	19, 35
2	1	with	41	B	19, 59
2	1	years	39	B	5, 43
2	1	your	41	B	39, 79

