Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	3	, I don't	47	M	5, 51
2	3	I'm sorry ,	17	M	5, 21
3	2	I don't	47	M	5, 37, 51
3	2	Oh ,	39	M	27, 33, 65
2	2	, I'm	9	M	43, 51
2	2	Are you	31	M	23, 53
2	2	I'm not	37	M	7, 43
2	2	What ?	5	M	43, 47
2	2	don't ,	11	M	41, 51
2	2	for a	5	M	57, 61
2	2	from the	19	M	17, 35
2	2	not really	25	M	19, 43
2	2	you ?	27	M	13, 39
8	1	I'm	47	M	5, 7, 15, 17, 21, 43, 45, 51
8	1	a	53	M	9, 19, 37, 41, 45, 53, 57, 61
6	1	the	39	M	3, 11, 17, 35, 37, 41
6	1	you	41	M	13, 23, 33, 37, 39, 53
5	1	I	51	M	1, 5, 37, 41, 51
4	1	Oh	59	M	7, 27, 33, 65
4	1	in	33	M	11, 23, 37, 43
4	1	it	47	M	15, 37, 41, 61
4	1	not	37	M	7, 19, 31, 43
4	1	that	29	M	25, 31, 43, 53
3	1	What	23	M	25, 43, 47
3	1	for	9	M	53, 57, 61
3	1	of	31	M	11, 35, 41
2	1	be	26	M	41, 66
2	1	been	5	M	57, 61
2	1	got	64	M	3, 66
2	1	is	17	M	9, 25
2	1	know	9	M	33, 41
2	1	many	29	M	35, 63
2	1	to	26	M	41, 66
2	1	what	21	M	1, 21
2	1	with	25	M	37, 61

