Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	7	and you're going to come up and	41	M	112, 152
2	6	' !! "" !! rem !!	131	M	14, 144
3	5	the left-hand side of the	89	M	116, 136, 204
2	4	the concealed out of	43	M	70, 112
3	3	!! i !!	137	M	14, 144, 150
3	3	!! u !!	181	M	14, 150, 194
2	3	down to the	95	M	62, 156
2	3	i'm at the	103	M	44, 146
2	3	i'm going to	41	M	22, 62
2	3	of the page	87	M	26, 112
2	3	oh right okay	97	M	90, 186
2	3	so i'm going	53	M	22, 74
2	3	to the left	81	M	62, 142
2	3	you're just going	35	M	78, 112
13	2	right okay	165	M	38, 40, 46, 66, 76, 80, 90, 118, 120, 148, 186, 188, 202
9	2	of the	179	M	26, 70, 112, 114, 116, 136, 146, 156, 204
5	2	and then	159	M	26, 52, 56, 78, 184
4	2	at the	111	M	36, 44, 96, 146
4	2	going to	131	M	22, 62, 112, 152
4	2	side of	127	M	78, 116, 136, 204
4	2	to the	95	M	62, 136, 142, 156
3	2	oh right	97	M	90, 100, 186
3	2	the page	89	M	26, 112, 114
3	2	to go	123	M	62, 104, 184
2	2	!! okay	131	M	14, 144
2	2	a line	67	M	70, 136
2	2	about an	27	M	26, 52
2	2	and you're	41	M	112, 152
2	2	ehm no	91	M	86, 176
2	2	from the	91	M	26, 116
2	2	go down	45	M	62, 106
2	2	going up	35	M	78, 112
2	2	if you	23	M	114, 136
2	2	of it	9	M	70, 78
2	2	right ehm	105	M	100, 204
2	2	sort of	121	M	36, 156
2	2	straight up	63	M	52, 114
2	2	the old	37	M	116, 152
2	2	the top	71	M	44, 114
2	2	until you're	3	M	114, 116
2	2	up the	37	M	78, 114
2	2	with the	45	M	70, 114
2	2	you're about	91	M	26, 116
39	1	right	203	M	2, 16, 18, 24, 34, 38, 40, 44, 46, 48, 50, 54, 56, 64, 66, 72, 74, 76, 80, 82, 84, 90, 94, 100, 102, 106, 118, 120, 148, 152, 170, 172, 174, 186, 188, 192, 200, 202, 204
19	1	okay	189	M	14, 28, 38, 40, 46, 66, 68, 76, 78, 80, 90, 108, 118, 120, 144, 148, 186, 188, 202
18	1	the	195	M	10, 26, 36, 44, 62, 70, 78, 96, 112, 114, 116, 136, 142, 146, 152, 156, 184, 204
11	1	to	163	M	22, 56, 62, 104, 112, 136, 142, 152, 156, 158, 184
10	1	and	179	M	26, 36, 52, 56, 78, 112, 142, 152, 184, 204
10	1	mmhmm	167	M	0, 4, 6, 22, 110, 116, 124, 128, 138, 166
8	1	up	163	M	22, 52, 78, 112, 114, 136, 152, 184
8	1	you're	159	M	26, 70, 78, 112, 114, 116, 152, 184
7	1	just	107	M	78, 106, 112, 114, 136, 142, 184
6	1	down	143	M	62, 74, 106, 156, 184, 204
6	1	ehm	119	M	86, 100, 142, 176, 184, 204
6	1	i'm	157	M	22, 44, 62, 74, 146, 178
6	1	mm	169	M	14, 42, 122, 162, 168, 182
6	1	then	159	M	26, 52, 56, 62, 78, 184
6	1	yeah	161	M	30, 58, 60, 98, 164, 190
5	1	about	153	M	26, 52, 114, 116, 178
5	1	at	111	M	36, 44, 96, 114, 146
5	1	go	133	M	52, 62, 104, 106, 184
5	1	side	127	M	78, 116, 136, 152, 204
5	1	uh	69	M	62, 64, 104, 116, 130
5	1	you	111	M	26, 36, 104, 114, 136
4	1	a	127	M	52, 70, 136, 178
4	1	left-hand	89	M	116, 136, 156, 204
4	1	oh	97	M	90, 100, 150, 186
4	1	so	115	M	22, 70, 74, 136
3	1	from	111	M	26, 116, 136
3	1	it	109	M	70, 78, 178
3	1	now	91	M	114, 136, 204
3	1	straight	85	M	52, 114, 136
3	1	uh-huh	63	M	92, 134, 154
3	1	your	97	M	56, 114, 152
2	1	bottom	11	M	146, 156
2	1	curve	183	M	22, 204
2	1	eh	175	M	30, 204
2	1	got	145	M	8, 152
2	1	ok	93	M	88, 180
2	1	that's	11	M	104, 114
2	1	there	79	M	106, 184
2	1	uh-uh	177	M	20, 196
2	1	well	81	M	104, 184
2	1	what	95	M	10, 104
2	1	you've	145	M	8, 152

