,Speaker,Utterance,Unified
5,M,"uh, uh","M|uh, uh"
6,A,"Well, how do you, how do you feel about, uh, companies drug testing prior to hiring?","A|Well, how do you, how do you feel about, uh, companies drug testing prior to hiring?"
7,M,Oh yeah?,M|Oh yeah?
8,A,Uh-huh.,A|Uh-huh.
9,M,"I don't, uh, know, uh...","M|I don't, uh, know, uh..."
10,A,Uh-huh.,A|Uh-huh.
11,M,,M|
12,A,"Well, what about random testing, though.","A|Well, what about random testing, though."
13,M,I,M|I
14,A,Do you feel like that's an invasion of certain people's rights if not everyone is tested?,A|Do you feel like that's an invasion of certain people's rights if not everyone is tested?
15,M,It's not.,M|It's not.
16,A,"I don't know that you do. If it's random, then it's random","A|I don't know that you do. If it's random, then it's random"
17,M,"I know you do, I'm just asking how you know.","M|I know you do, I'm just asking how you know."
18,A,and that's not necessarily fair.,A|and that's not necessarily fair.
19,M,That's not how it works,M|That's not how it works
20,A,Uh-huh.,A|Uh-huh.
21,M,Do you know the difference between random and random.org?,M|Do you know the difference between random and random.org?
22,A,"Yeah. Well, I I know that, for instance, in the N C double A, they drug test and it's not random.","A|Yeah. Well, I I know that, for instance, in the N C double A, they drug test and it's not random."
23,M,It's random.,M|It's random.
24,A,"Uh, well, I think all college players have to do an initial drug test at a certain point prior to the season","A|Uh, well, I think all college players have to do an initial drug test at a certain point prior to the season"
25,M,I don't think,M|I don't think
26,A,"and from that point on, uh, at, the N C double A does have something to do with it, but it's almost discretionary on the coach's part of each individual institution to identify the ones that have the problem.","A|and from that point on, uh, at, the N C double A does have something to do with it, but it's almost discretionary on the coach's part of each individual institution to identify the ones that have the problem."
27,M,It,M|It
28,A,"And, and the ones that test positive have to retest after a certain period of time.","A|And, and the ones that test positive have to retest after a certain period of time."
29,M,"And, and, and","M|And, and, and"
30,A,"Well, not being a drug user I don't have a problem with that personally","A|Well, not being a drug user I don't have a problem with that personally"
31,M,I'm serious.,M|I'm serious.
32,A,but I think that might be a violation of someone's rights. If someone's having personal problems for some reason that's causing them to behave differently,A|but I think that might be a violation of someone's rights. If someone's having personal problems for some reason that's causing them to behave differently
33,M,It's a drug use test,M|It's a drug use test
34,A,"and their manager assumes they have a drug problem I mean if someone assumed that of me, I would be upset.","A|and their manager assumes they have a drug problem I mean if someone assumed that of me, I would be upset."
35,M,They do.,M|They do.
