f:	just past the antelopes it's finished
g:	uh-huh
f:	so i'm still at the parallel with the base
g:	yes you are just you are just below the pyramid
f:	right so i'm coming from a totem pole at a totem pole like in a dinai diagonal across to the trout farm
g:	ehm mm don't know yeah it could be could be
f:	no no no no
g:	oh no aye yeah you don't have like above the the rapids to its slightly to its right you don't have a stone creek
f:	no 'cause the ravine's on the right of the cottage
g:	right then travel west again
f:	so that's with the diamond mine on on your right
g:	and left back up into the map
f:	underneath the diamond mine
g:	uh-huh
f:	right
g:	and then go to your right
f:	right
g:	right that's perfect right so you're going to come down and follow that wee curve
f:	right
g:	yeah through the midpoint below your rift valley about four inches down do you have rocks
f:	right so between the ghost town and the wooden pole
g:	okay ehm have you got a starting point above the missionary camp
f:	eh oh right
g:	just about a centimetre to the west of the thick line and stop there
f:	which way do you want me to go round the left or the right-hand side of that
g:	uh-huh so we've made a mistake you
f:	towards the pebbled shore
g:	mmhmm right quite far down
f:	mmhmm mmhmm
g:	just just go down the left-hand side of the pine forest
f:	"an ""s"""
g:	yeah
f:	uh-huh uh-huh
g:	mmhmm
f:	you know like below that i should say i mean in the in the middle and to above them and the stone slabs
g:	right so we'll go straight down then straight down and don't hit the bay but but follow that curve in the bay so you're going to go straight down south
f:	erm no i've got the rocks i've got like two rocks
g:	no
f:	down or
g:	right okay so if you just go left from the missionary camp a bit and then down
f:	yeah right of the concealed hideout uh-huh
g:	mmhmm
f:	mm no i haven't got any wagon wheel
g:	and stone slabs
f:	no no graveyard
g:	right well just go a little curve above it
f:	no
g:	okay then so you're about so once right where are you now
f:	where is your wheatfields
g:	right okay right what you do then is you go south from the walled city
f:	mmhmm it's up a bit
g:	right right have you got the concealed hideout
f:	they're over to the west a bit
g:	right
f:	"right so will i do a ""u""-turn"
g:	okay uh-huh
f:	uh-huh
g:	okay so you're about eh three to four inches below start then directly underneath
f:	yeah
g:	an inch and a half if you draw that line down you'll be on the left-hand side of the forge you don't have a forge but there is one there
f:	no i haven't got that
g:	right
f:	and then down
g:	okay that's it
f:	so do i move to the left-hand or the right-hand side of the gazelles
g:	to the west of the antelopes
f:	comes back in yes
g:	on the left-hand side of it
f:	yeah
g:	cottage
f:	right aye well it's it's the difference between right and left i think
g:	right go straight up north
f:	right and i was supposed to start above it there and come down through it
g:	uh-huh
f:	mmhmm
g:	so you're trying to avoid that so go down a little bit 'til just underneath where the indian country is
f:	two inches right
g:	uh-huh and that's just situated above the ravine
f:	then south
g:	you don't have a trig point
f:	right right up over the pine
g:	okay i want you go down about three inches
f:	uh-huh so i go underneath the beach the pebbled shore again
g:	"go keep going up 'til you're about an inch below the ""x"" marks finish which i don't know if you have"
f:	right uh-huh
g:	an an inch or so above the rocket warehouse but to the left of it go round it the same way as you went round the igloo but on the other side okay just follow it round
f:	right okay
g:	do you have a diamond mine just below it
f:	so i'm going over stone creek
g:	aye
f:	yes uh-huh
g:	yeah probably yeah
f:	pass it yeah just slightly
g:	do you have concealed hideout
f:	well which which
g:	so that you want to come up the page and then just when you're about in line with the rope rope bridge just turn right so you're across it
f:	alright okay
g:	then go right underneath the cottage
f:	and it's down a wee bit
g:	yeah
f:	uh-huh
g:	you're drawing a nose right say this is the face you're drawing and then you've got to sort of do a sort of round bit for the nose
f:	below the buffalo right so turn to my left
g:	yeah
f:	okey-dokey
g:	right just go round enough so you're like in a above them
f:	right okay got that
g:	okay from where that line is that you've drawn go straight down 'til you pass the noose and you're passing the noose like on its right-hand side by a wee bit
f:	uh-huh
g:	is that just beside the flagship yeah
f:	but not ehm touching it or
g:	yeah over the top
f:	right
g:	uh-huh
f:	so right over to the end of the page
g:	now are go straight across to the abandoned truck and then come south so that you're just underneath it
f:	i'm above the fort at the base of the wooden
g:	ehm and go right underneath them
f:	well what side then
g:	and do you have a remote village
f:	right and then go under the fort
g:	you weren't meant to
f:	what from the concealed hideout to the boat house
g:	turning to your left then left again
f:	right
g:	right have you got the coconut palm
f:	sorry i've done it wrong i wasnae listening
g:	okay
f:	"above bay and above the ""c"" of crane right"
g:	mm
f:	uh-huh
g:	that's it finished
f:	so it's not much of a curve
g:	right now you should hopefully emerge at the cottage yeah
f:	right
g:	past it
f:	yes
g:	uh-huh you can go about a centimetre above the the ravine okay and then
f:	aye
g:	and then change to going due north for about three inches
f:	below it
g:	yes
f:	uh-huh
g:	route but eh
f:	right
g:	is there anything between the old temple and the truck
f:	mmhmm
g:	before you reach the fort
f:	right over to the east again
g:	and then slope the line right out to the side of the page
f:	yes
g:	and then
f:	right okay so is it well okay alright i think i've got this the first part of this is a total state
g:	okay
f:	beside the left-hand side of the page
g:	you go up past the the old mill keeping the old mill on your right-hand side okay you got eh you at the old mill yet
f:	uh-huh
g:	well that's okay just draw round it and past it
f:	no hold on a minute
g:	okay just going curving along down the side of the gold mine
f:	uh-huh
g:	well yeah that would be okay
f:	right
g:	right see see where the flagship is
f:	oh i've got a rift valley above that
g:	right okay ehm right you're going to start coming down but but as you come down you're you curve to the right
f:	but i i don't go along the bottom of the pine grove
g:	now do you have a walled city
f:	'cause i've got that interrupting er like almost directly below it slightly to the left i've got a manned fort
g:	yeah to the right after the old mill
