,Speaker,Utterance,Unified
5,f,yeah right on the right-hand side roughly just,f|yeah right on the right-hand side roughly just
6,M,ok,M|ok
7,f,right down there,f|right down there
8,M,"!!!""!!'!!()!!2008!!8!!2017!!7!!8000!!754!!2018!!6!!4!!84!!72!!88!!","M|!!!""!!'!!()!!2008!!8!!2017!!7!!8000!!754!!2018!!6!!4!!84!!72!!88!!"
9,f,right okay oops that was,f|right okay oops that was
10,M,"!!!!.!!'!!!'!!""!!':!!","M|!!!!.!!'!!!'!!""!!':!!"
11,f,no i've got a gallows to the left like below the left,f|no i've got a gallows to the left like below the left
12,M,right well you've got to go round the graveyard sort of thing,M|right well you've got to go round the graveyard sort of thing
13,f,right okay,f|right okay
14,M,right and then go straight up the page,M|right and then go straight up the page
15,f,oh no i have got a gold mine but it's it's a it's a good bit below that,f|oh no i have got a gold mine but it's it's a it's a good bit below that
16,M,ah right well i've i've also got a i've curved out bit from the gallows,M|ah right well i've i've also got a i've curved out bit from the gallows
17,f,oh sorry no oh no i,f|oh sorry no oh no i
18,M,"!!!'!!""!!911!!2!!4!!8!!7!!6!!88!!","M|!!!'!!""!!911!!2!!4!!8!!7!!6!!88!!"
19,f,no i haven't got that,f|no i haven't got that
20,M,right well if you could take your route straight down from where you are now about three inches,M|right well if you could take your route straight down from where you are now about three inches
21,f,okay,f|okay
22,M,right and then,M|right and then
23,f,underneath the diamond mine,f|underneath the diamond mine
24,M,yeah,M|yeah
25,f,right how far underneath the diamond mine,f|right how far underneath the diamond mine
26,M,about three centimetres,M|about three centimetres
27,f,right okay five inches right along up along to near a a ravine stuff thing,f|right okay five inches right along up along to near a a ravine stuff thing
28,M,right,M|right
29,f,i've got,f|i've got
30,M,right so you need to go along to like ehm to the right to about the middle of the page and then sort of curve round to the bottom of the word slate mountain,M|right so you need to go along to like ehm to the right to about the middle of the page and then sort of curve round to the bottom of the word slate mountain
31,f,i've got carved stones and then indian country,f|i've got carved stones and then indian country
32,M,right you want to curve round above the carved stones so you're going like ehm going left to go left and then right underneath indian above the ravn,M|right you want to curve round above the carved stones so you're going like ehm going left to go left and then right underneath indian above the ravn
33,f,bit underneath it and i've got a ravine right in the middle between they two,f|bit underneath it and i've got a ravine right in the middle between they two
34,M,right,M|right
35,f,right in a curve or a tight angle,f|right in a curve or a tight angle
36,M,well you're you're just going up the side of the carved slate mountain,M|well you're you're just going up the side of the carved slate mountain
37,f,above the carved stones,f|above the carved stones
38,M,well i've no got a carved stones here,M|well i've no got a carved stones here
39,f,right round the carved stones kind of thing,f|right round the carved stones kind of thing
40,M,round the carved,M|round the carved
41,f,right how far down do you want me to go,f|right how far down do you want me to go
42,M,ehm do you have indian above you,M|ehm do you have indian above you
43,f,okey-dokey,f|okey-dokey
44,M,right,M|right
45,f,uh-huh,f|uh-huh
46,M,right okay right now you want to go eh from left to right across the rope bridge,M|right okay right now you want to go eh from left to right across the rope bridge
47,f,no,f|no
48,M,no well just go down the side of the great rock and then draw a line through the centre of the map,M|no well just go down the side of the great rock and then draw a line through the centre of the map
49,f,yeah it's right it's it's on like the other side,f|yeah it's right it's it's on like the other side
50,M,it's to the right of the gold mine down,M|it's to the right of the gold mine down
51,f,and it's down a wee bit,f|and it's down a wee bit
52,M,yeah,M|yeah
53,f,uh-huh,f|uh-huh
54,M,so if you go along 'til you're underneath the great outlaws' hideout,M|so if you go along 'til you're underneath the great outlaws' hideout
55,f,right okay,f|right okay
56,M,so i go underneath the great the great i mean go underneath it and then up to the great again,M|so i go underneath the great the great i mean go underneath it and then up to the great again
57,f,how do you mean go down,f|how do you mean go down
58,M,go down to the left of it,M|go down to the left of it
59,f,do i go to the side of the indian country,f|do i go to the side of the indian country
60,M,yes,M|yes
61,f,right as if i was going underneath the gold rock if it if i had it there,f|right as if i was going underneath the gold rock if it if i had it there
62,M,ehm no,M|ehm no
63,f,right okay,f|right okay
64,M,so you're coming in at a slight up gradient to the left,M|so you're coming in at a slight up gradient to the left
65,f,uh-huh,f|uh-huh
66,M,right,M|right
67,f,right okay got that,f|right okay got that
68,M,and then you go along right you go up and round the top of the gold like a sort of a circle,M|and then you go along right you go up and round the top of the gold like a sort of a circle
69,f,right,f|right
70,M,and then have you got a totem pole no,M|and then have you got a totem pole no
71,f,i've i've got a gold mine a totem pole and then a great rock a really good bit down,f|i've i've got a gold mine a totem pole and then a great rock a really good bit down
72,M,!!!'!!!'!!there's a totem totem pole,M|!!!'!!!'!!there's a totem totem pole
73,f,and then bandit territory right at the bottom,f|and then bandit territory right at the bottom
74,M,uh-huh,M|uh-huh
75,f,uh-huh,f|uh-huh
76,M,right and you're underneath the totem there's a trout farm,M|right and you're underneath the totem there's a trout farm
77,f,eh aye but it's away over to the right-hand side,f|eh aye but it's away over to the right-hand side
78,M,right,M|right
79,f,uh-huh,f|uh-huh
80,M,ehm you're going down about three inches,M|ehm you're going down about three inches
81,f,right okay,f|right okay
82,M,you're going to go up the left-hand end of the trout,M|you're going to go up the left-hand end of the trout
83,f,no,f|no
