Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	2	I'm sure	5	M	21, 25
2	2	it .	9	M	17, 25
2	2	of the	17	M	11, 27
2	2	on it	7	M	19, 25
2	2	they are	7	M	9, 15
5	1	I	13	M	9, 13, 17, 19, 21
4	1	I'm	15	M	11, 13, 21, 25
4	1	it	9	M	17, 19, 21, 25
3	1	a	23	M	3, 13, 25
3	1	in	9	M	11, 15, 19
3	1	of	23	M	5, 11, 27
3	1	they	13	M	3, 9, 15
3	1	to	15	M	7, 11, 21
2	1	It's	5	M	29, 33
2	1	been	19	M	11, 29
2	1	but	7	M	3, 9
2	1	could	5	M	21, 25
2	1	have	5	M	3, 7
2	1	is	21	M	7, 27
2	1	know	5	M	5, 9
2	1	the	17	M	11, 27

