Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	just go to river	3	M	87, 89
2	3	go to the	105	M	3, 107
2	3	i don't know	35	M	3, 37
2	3	in the ravines	43	M	11, 53
2	3	is that the	63	M	59, 121
2	3	just have a	105	M	11, 115
2	3	where is it	7	M	55, 61
2	3	you can get	51	M	91, 141
6	2	the ravines	51	M	3, 5, 11, 21, 45, 53
6	2	to the	147	M	3, 87, 105, 107, 137, 149
5	2	, i	99	M	27, 37, 83, 91, 125
5	2	i don't	89	M	3, 37, 41, 71, 91
5	2	in the	147	M	11, 45, 53, 121, 157
5	2	you can	55	M	87, 91, 99, 117, 141
4	2	do you	99	M	13, 39, 51, 111
4	2	go to	105	M	3, 87, 89, 107
4	2	of the	91	M	45, 57, 81, 135
3	2	have a	105	M	11, 109, 115
3	2	i just	39	M	91, 127, 129
3	2	i think	55	M	75, 121, 129
3	2	is it	61	M	1, 55, 61
3	2	is the	53	M	5, 7, 57
3	2	just go	41	M	87, 89, 127
3	2	on the	141	M	7, 19, 147
3	2	where is	57	M	5, 55, 61
2	2	, you	3	M	115, 117
2	2	and you	67	M	87, 153
2	2	i'm gonna	71	M	37, 107
2	2	i'm on	3	M	17, 19
2	2	in there	93	M	23, 115
2	2	know what	47	M	37, 83
2	2	know where	89	M	3, 91
2	2	need to	39	M	53, 91
2	2	right ?	117	M	7, 123
2	2	the map	13	M	135, 147
2	2	the right	115	M	7, 121
2	2	to be	33	M	21, 53
2	2	to do	11	M	27, 37
2	2	to say	29	M	75, 103
2	2	want to	37	M	3, 39
2	2	what is	15	M	43, 57
2	2	you have	91	M	21, 111
2	2	you just	39	M	115, 153
30	1	the	155	M	3, 5, 7, 9, 11, 19, 21, 45, 53, 57, 59, 61, 69, 71, 79, 81, 87, 105, 107, 117, 119, 121, 129, 135, 137, 141, 147, 149, 151, 157
22	1	i	127	M	3, 11, 25, 27, 37, 41, 51, 71, 73, 75, 77, 83, 85, 91, 93, 109, 113, 121, 123, 125, 127, 129
20	1	you	141	M	13, 21, 23, 27, 39, 51, 53, 75, 83, 87, 91, 99, 111, 115, 117, 131, 135, 141, 149, 153
18	1	to	147	M	3, 21, 27, 37, 39, 53, 75, 77, 87, 89, 91, 101, 103, 105, 107, 127, 137, 149
15	1	a	147	M	11, 21, 39, 47, 51, 65, 85, 101, 103, 107, 109, 115, 127, 155, 157
14	1	it	155	M	1, 41, 51, 55, 61, 83, 85, 87, 93, 105, 117, 147, 153, 155
13	1	is	137	M	1, 5, 7, 43, 55, 57, 59, 61, 97, 101, 119, 121, 137
10	1	just	143	M	11, 85, 87, 89, 91, 105, 115, 127, 129, 153
9	1	in	147	M	11, 23, 45, 53, 75, 109, 115, 121, 157
8	1	go	147	M	3, 35, 87, 89, 107, 127, 145, 149
7	1	have	105	M	11, 21, 49, 71, 109, 111, 115
7	1	what	119	M	13, 27, 37, 43, 57, 83, 131
6	1	and	121	M	33, 35, 77, 87, 151, 153
6	1	can	55	M	87, 91, 99, 113, 117, 141
6	1	i'm	127	M	17, 19, 37, 71, 107, 143
6	1	of	113	M	45, 57, 81, 105, 135, 157
6	1	on	141	M	7, 17, 19, 73, 117, 147
6	1	right	121	M	7, 79, 81, 121, 123, 127
6	1	where	89	M	3, 5, 55, 61, 67, 91
5	1	get	119	M	23, 41, 91, 101, 141
5	1	know	121	M	3, 37, 83, 91, 123
5	1	there	115	M	23, 101, 115, 119, 137
4	1	are	125	M	11, 121, 131, 135
4	1	be	33	M	21, 29, 37, 53
4	1	see	73	M	53, 83, 99, 125
4	1	that	121	M	27, 59, 121, 147
4	1	up	73	M	15, 33, 35, 87
3	1	but	49	M	3, 49, 51
3	1	down	73	M	67, 127, 139
3	1	draw	63	M	51, 77, 113
3	1	how	43	M	23, 51, 65
3	1	it's	105	M	29, 45, 133
3	1	my	93	M	17, 95, 109
3	1	oh	69	M	27, 63, 95
3	1	side	117	M	19, 97, 135
2	1	about	67	M	65, 131
2	1	build	79	M	39, 117
2	1	can't	67	M	83, 149
2	1	concealed	31	M	77, 107
2	1	did	3	M	23, 25
2	1	end	9	M	129, 137
2	1	from	87	M	55, 141
2	1	got	25	M	93, 117
2	1	here	107	M	37, 143
2	1	hideout	27	M	59, 85
2	1	left	5	M	105, 109
2	1	like	19	M	51, 69
2	1	mean	3	M	11, 13
2	1	mmmhmmm	113	M	13, 125
2	1	name	47	M	11, 57
2	1	need	39	M	53, 91
2	1	no	23	M	115, 137
2	1	not	13	M	121, 133
2	1	now	67	M	73, 139
2	1	ravine	45	M	9, 53
2	1	river	3	M	87, 89
2	1	through	73	M	15, 87
2	1	under	17	M	61, 77
2	1	was	129	M	27, 155
2	1	way	85	M	17, 101
2	1	yeah	31	M	63, 93

