Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	3	I don't think	29	M	1, 29
2	3	do you mean	3	M	13, 15
4	2	I don't	35	M	1, 23, 29, 35
3	2	in the	33	M	9, 11, 41
2	2	, I	9	M	27, 35
2	2	I'm in	9	M	33, 41
2	2	do you	3	M	13, 15
2	2	of the	13	M	23, 35
8	1	the	39	M	3, 9, 11, 21, 23, 25, 35, 41
7	1	I	35	M	1, 9, 11, 23, 27, 29, 35
6	1	I'm	41	M	1, 17, 33, 35, 39, 41
5	1	in	35	M	7, 9, 11, 33, 41
4	1	a	17	M	5, 9, 13, 21
4	1	mean	9	M	7, 11, 13, 15
4	1	you	15	M	1, 11, 13, 15
3	1	it	5	M	9, 11, 13
2	1	but	3	M	23, 25
2	1	do	3	M	13, 15
2	1	i	11	M	27, 37
2	1	like	17	M	7, 23
2	1	really	23	M	1, 23
2	1	say	13	M	1, 13
2	1	so	21	M	9, 29
2	1	to	13	M	9, 21
2	1	was	3	M	3, 5

