,Speaker,Utterance,Unified
5,f,it's above the diamond mine,f|it's above the diamond mine
6,M,is it above the edge of the diamond?,M|is it above the edge of the diamond?
7,f,right,f|right
8,M,i think i found the diamond vein,M|i think i found the diamond vein
9,f,where down past the diamond mine,f|where down past the diamond mine
10,M,you're right,M|you're right
11,f,right,f|right
12,M,"yes, i am","M|yes, i am"
13,f,okay,f|okay
14,M,you wanna join,M|you wanna join
15,f,right mm,f|right mm
16,M,"I'm a pretty new player, but what's the diamond mining method?","M|I'm a pretty new player, but what's the diamond mining method?"
17,f,so i'm making a curve round the diamond mine yeah,f|so i'm making a curve round the diamond mine yeah
18,M,It's a flat circle,M|It's a flat circle
19,f,no no no no,f|no no no no
20,M,"I like to build around the diamond, it's easier to mine diamonds than diamonds","M|I like to build around the diamond, it's easier to mine diamonds than diamonds"
21,f,pass it yeah just slightly,f|pass it yeah just slightly
22,M,It's not too steep.,M|It's not too steep.
23,f,yeah right okay right,f|yeah right okay right
24,M,It's just a straightline,M|It's just a straightline
25,f,ehm no,f|ehm no
26,M,you know what?,M|you know what?
27,f,got a fast running creek and canoes and things,f|got a fast running creek and canoes and things
28,M,you got anything for me?,M|you got anything for me?
29,f,what round up the top of it,f|what round up the top of it
30,M,i mean i dont really know how to do that,M|i mean i dont really know how to do that
31,f,right,f|right
32,M,about 1.5 2 hours,M|about 1.5 2 hours
33,f,the right-hand side,f|the right-hand side
34,M,I thought he was supposed to be the right handed side?,M|I thought he was supposed to be the right handed side?
35,f,yeah,f|yeah
36,M,you're right,M|you're right
37,f,yeah,f|yeah
38,M,he sighs,M|he sighs
39,f,so i'm bypassing canoes yeah,f|so i'm bypassing canoes yeah
40,M,the head is the same as the body,M|the head is the same as the body
41,f,oh well maybe you don't have canoe,f|oh well maybe you don't have canoe
42,M,no i'm not,M|no i'm not
43,f,right okay left-hand side of the apache,f|right okay left-hand side of the apache
44,M,Left hand side of apache.,M|Left hand side of apache.
45,f,ehm no don't have one,f|ehm no don't have one
46,M,do u have canoe?,M|do u have canoe?
47,f,yeah,f|yeah
48,M,"yeah, but what if you don't want to","M|yeah, but what if you don't want to"
49,f,over the top okay,f|over the top okay
50,M,"i can't tell if you're trolling or not, but i'm pretty sure you can't climb a hill on a roof","M|i can't tell if you're trolling or not, but i'm pretty sure you can't climb a hill on a roof"
51,f,mmhmm now where which way am i heading down,f|mmhmm now where which way am i heading down
52,M,just like a curve,M|just like a curve
53,f,aye,f|aye
54,M,You see the pole at top right,M|You see the pole at top right
55,f,from the top,f|from the top
56,M,in the bottom of the water,M|in the bottom of the water
57,f,and it's on the left well i'm coming from the left to go to above it,f|and it's on the left well i'm coming from the left to go to above it
58,M,the right side of the page is the one with the black stripes.,M|the right side of the page is the one with the black stripes.
59,f,right,f|right
60,M,the left,M|the left
61,f,yeah,f|yeah
62,M,is this the same one?,M|is this the same one?
63,f,no,f|no
64,M,i'll help you out,M|i'll help you out
65,f,no,f|no
66,M,yes,M|yes
67,f,so i'm going over stone creek,f|so i'm going over stone creek
68,M,i was there yesterday,M|i was there yesterday
69,f,well above it anyway on no wait a minute i have got flat rocks,f|well above it anyway on no wait a minute i have got flat rocks
70,M,"yea you have it, it's just not as flat as you think it is.","M|yea you have it, it's just not as flat as you think it is."
71,f,yeah okay,f|yeah okay
72,M,right me well right,M|right me well right
73,f,right right,f|right right
74,M,"yes, but you can't just take the road there, it has to be on flat rocks or something.","M|yes, but you can't just take the road there, it has to be on flat rocks or something."
75,f,mmhmm,f|mmhmm
76,M,he shrugs,M|he shrugs
77,f,right right,f|right right
78,M,I'm not sure what you mean by that,M|I'm not sure what you mean by that
79,f,mmhmm,f|mmhmm
80,M,right on,M|right on
81,f,yeah right,f|yeah right
82,M,"You mean, like, right side up?","M|You mean, like, right side up?"
83,f,nope,f|nope
84,M,i think you might be missing something here,M|i think you might be missing something here
85,f,mmhmm,f|mmhmm
86,M,left ehm u mean fort,M|left ehm u mean fort
87,f,mmhmm,f|mmhmm
88,M,"okay, are you going to the fort?","M|okay, are you going to the fort?"
89,f,yeah,f|yeah
90,M,"like I said, I'm just going to assume it's something","M|like I said, I'm just going to assume it's something"
91,f,right and then go under the fort,f|right and then go under the fort
92,M,I'm not sure I understand this,M|I'm not sure I understand this
93,f,i'm under the fort,f|i'm under the fort
94,M,"I'm pretty sure you're under the base, not the fort.","M|I'm pretty sure you're under the base, not the fort."
95,f,mmhmm,f|mmhmm
96,M,now do it with a gun,M|now do it with a gun
97,f,good,f|good
