Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	3	uh you know	19	B	30, 48
2	3	what do i	19	B	10, 28
5	2	you know	43	B	6, 10, 30, 46, 48
4	2	yeah .	35	B	20, 22, 48, 54
3	2	and i	21	B	6, 24, 26
3	2	and they	39	B	6, 40, 44
3	2	it was	31	B	0, 6, 30
3	2	uh-huh .	45	B	14, 42, 58
2	2	. i	11	B	38, 48
2	2	. yeah	35	B	14, 48
2	2	but it	33	B	6, 38
2	2	but then	19	B	10, 28
2	2	i don't	3	B	26, 28
2	2	i know	21	B	28, 48
2	2	i mean	9	B	30, 38
2	2	i think	13	B	24, 36
2	2	know i	3	B	28, 30
2	2	so i	21	B	26, 46
2	2	the the	3	B	8, 10
2	2	yeah well	7	B	10, 16
11	1	i	43	B	6, 10, 12, 24, 26, 28, 30, 36, 38, 46, 48
9	1	that	47	B	2, 8, 10, 12, 26, 32, 40, 46, 48
9	1	the	43	B	2, 6, 8, 10, 16, 18, 30, 38, 44
8	1	and	45	B	0, 6, 8, 10, 24, 26, 40, 44
8	1	it	47	B	0, 6, 10, 24, 30, 36, 38, 46
7	1	a	35	B	6, 10, 14, 18, 32, 38, 40
7	1	uh	41	B	12, 18, 30, 32, 48, 50, 52
7	1	yeah	45	B	10, 14, 16, 20, 22, 48, 54
6	1	you	43	B	6, 10, 18, 30, 46, 48
5	1	but	33	B	6, 10, 26, 28, 38
5	1	of	39	B	2, 10, 24, 38, 40
5	1	so	41	B	12, 14, 26, 46, 52
4	1	do	37	B	10, 28, 44, 46
4	1	for	39	B	2, 8, 30, 40
4	1	is	31	B	10, 14, 38, 40
4	1	there	35	B	6, 10, 38, 40
4	1	was	31	B	0, 6, 26, 30
4	1	with	33	B	6, 10, 12, 38
3	1	at	23	B	28, 48, 50
3	1	had	9	B	32, 38, 40
3	1	have	21	B	8, 10, 28
3	1	it's	27	B	12, 14, 38
3	1	just	7	B	6, 10, 12
3	1	now	45	B	12, 32, 56
3	1	oh	51	B	6, 32, 56
3	1	right	23	B	12, 18, 34
3	1	then	37	B	10, 28, 46
3	1	they	39	B	6, 40, 44
3	1	they're	33	B	24, 48, 56
3	1	this	41	B	10, 40, 50
3	1	to	31	B	10, 38, 40
3	1	we	27	B	6, 26, 32
3	1	well	9	B	10, 16, 18
2	1	about	5	B	36, 40
2	1	an	15	B	0, 14
2	1	back	19	B	26, 44
2	1	be	29	B	8, 36
2	1	because	21	B	24, 44
2	1	better	25	B	24, 48
2	1	get	7	B	12, 18
2	1	got	33	B	6, 38
2	1	guy	9	B	10, 18
2	1	in	11	B	2, 12
2	1	lately	25	B	8, 32
2	1	like	25	B	14, 38
2	1	maybe	25	B	12, 36
2	1	older	13	B	0, 12
2	1	one	23	B	10, 32
2	1	or	9	B	38, 46
2	1	out	9	B	36, 44
2	1	running	9	B	48, 56
2	1	some	11	B	2, 12
2	1	they've	11	B	38, 48
2	1	thing	35	B	10, 44
2	1	too	5	B	8, 12
2	1	two	37	B	10, 46
2	1	very	21	B	26, 46
2	1	when	15	B	12, 26
2	1	who	9	B	10, 18
2	1	yes	53	B	4, 56

