g:	okay ehm have you got a starting point above the missionary camp
f:	uh-huh i have yeah
g:	and have you got gorillas
f:	no
g:	well they're in the bottom left-hand corner
f:	bottom
g:	roughly up a bit huh
f:	of the camp or of the map
g:	of the map
f:	of the map now i have a banana tree instead
g:	right okay so if you just go left from the missionary camp a bit and then down
f:	left and down
g:	yeah to about a couple of centimetres above the top of the bottom of the page
f:	yeah
g:	and then continue straight left along until about four centimetres from the end and then go straight up again
f:	so that i'm on the left of what i have as a banana tree
g:	sorry
f:	so that i end up on the left of what is the banana tree on this map or maybe the gorillas on yours
g:	yeah probably yeah
f:	okay
g:	uh do you have a rope bridge
f:	i do ehm do i avoid the missionary camp where i'm moving
g:	yeah
f:	so i move along so that i'm to the left of the missionary camp when i go down
g:	uh-huh yeah
f:	okay now i'm at the left-hand side of the banana tree about
g:	right
f:	almost the extreme left of the page and about four centimetres up
g:	mmhmm
f:	about quarter of the way up
g:	okay that's fine now you've got the rope bridge
f:	uh-huh
g:	so that you want to come up the page and then just when you're about in line with the rope rope bridge just turn right so you're across it
f:	okay so i'm going straight up and actually cross over the rope bridge
g:	yeah
f:	so i move up and cross over the rope bridge right so i'm now standing at the other side of the rope bridge
g:	okay if you now come down a couple of centimetres
f:	uh-huh yeah
g:	and do you have a waterfall
f:	yeah it's right of where i am at the moment
g:	yeah if you just mm do you have a sort of the water coming down
f:	uh-huh
g:	if you sort of head along
f:	mmhmm
g:	so that you're about in line with the bottom of the water
f:	uh-huh
g:	if you know what i mean
f:	yeah
g:	and then have you got lost steps
f:	no no steps
g:	okay if you just get to the waterfall first and then you want to go straight up to where these lost steps are
f:	oh yeah which are where
g:	well have you got fallen pillars
f:	mm yeah i do yeah
g:	it's it's in the finishing point
f:	no
g:	no ehm it's about in line with the fallen pillars
f:	uh-huh
g:	to the right of them
f:	yeah
g:	in between the rope bridge and the waterfall
f:	all right so you've the rope bridge and the waterfall and the fallen pillars so at the moment i'm at the waterfall
g:	uh-huh well you want to go straight up
f:	straight up
g:	and you've got the lost steps
f:	yeah so i'm straight up i'm now at the top of the waterfall ehm not quite halfway up the page
g:	if you go straight up from the waterfall you keep going up until you're in line with the fallen pillars
f:	okay
g:	but don't actually go near them
f:	yeah okay that's fine
g:	and that's you if you sort of curve off to the left
f:	uh-huh
g:	you'll miss the lost steps
f:	okay and how far along do i move
g:	um to about just before the middle of the page
f:	fine
g:	and then you want to come down in a diagonal so that you've missed the fallen pillars and go underneath them
f:	uh-huh okay that's fine i'm now halfway along underneath the fallen pillars
g:	right just keep going 'til the end
f:	okay
g:	of the fallen pillars yeah um now go down two or three centimetres
f:	yeah
g:	do you have an obstacle there
f:	i do flamingoes
g:	well uh i think you're probably trying to avoid that so if you go down um and then left in a sort of curve
f:	uh-huh yeah
g:	and up again and you're pretty near the edge of the page
f:	yeah
g:	then do you have ancient ruins
f:	um ruined city is about three quarters up on the page and just slightly to the right of where i am at the moment
g:	yeah okay just like a bit up from the fallen pillars and to the left
f:	yeah yeah uh-huh
g:	well you want to sort of come towards the ancient ruins a bit
f:	yeah
g:	without actually coming into contact with them
f:	yeah okay so i'm i'm moving right basically
g:	a straight line
f:	right now do i move up so that i'm level with the ruined city
g:	yeah
f:	uh um okay right now i'm i'm on the left-hand side of the ruined city and about three quarters of the way up the page
g:	yeah now do you have stones in the top left
f:	eh no i have a rock fall which is about halfway along the page and about three quarters of the way up
g:	no no it's okay now if you just uh at the top there's some stones and that's about four centimetres from the top
f:	uh-huh okay so just continue to move straight up
g:	yeah
f:	until almost at the top
g:	to about four centimetres
f:	fine
g:	and then you want to go sharp right
f:	mm
g:	to about halfway across the page
f:	okay
g:	now do you have a white mountain
f:	uh-huh
g:	you want to just go over the top of that and round
f:	so go over the mountain
g:	mmhmm
f:	okay ehm i'm at about three quarters of the way along and at almost at the top of the page
g:	yeah okay um do you have a soft furnishings store
f:	no i've got lost steps actually
g:	eh right um you're quite close to the mountain at the moment on its right-hand side
f:	yeah yeah
g:	well if you under directly underneath the mountain about three centimetres down there's a soft furnishings store
f:	yeah
g:	so you want to come down from the mountain and turn sharp left
f:	mountain and move yeah
g:	so that you're sort of in line with the left-hand side of the mountain
f:	okay
g:	then you come straight down and right
f:	and straight down and
g:	do you have gazelles
f:	yeah
g:	underneath them
f:	so do i move to the left-hand or the right-hand side of the gazelles
g:	the right-hand side
f:	fine
g:	to about the right-hand side of the mountain level if you know what i mean
f:	oh i see right that's a bit further along fine
g:	okay that's it
f:	so i've stopped so ehm i am three quarters of the way along slightly more than halfway up and to the right of the gazelles
g:	yeah
f:	yeah
g:	that's right
f:	fine okay
