,response,context,context/0,context/1,context/2,context/3
0,i've got a pine grove,no it's a tiny bit okay and while you're doing that go in to your right a bit but it doesn't really matter okay ehm have you got a ravine,so it's not far down,mmhmm,to the left of burnt forest,right ehm you've got to take your line down from the start to just vertically to just to the left of burnt forest
1,right,yeah,no it's a tiny bit okay and while you're doing that go in to your right a bit but it doesn't really matter okay ehm have you got a ravine,so it's not far down,mmhmm,to the left of burnt forest
2,right,right take that same line still down vertically to the left of the ravine,yeah,no it's a tiny bit okay and while you're doing that go in to your right a bit but it doesn't really matter okay ehm have you got a ravine,so it's not far down,mmhmm
3,right,there's a cottage on my map,right take that same line still down vertically to the left of the ravine,yeah,no it's a tiny bit okay and while you're doing that go in to your right a bit but it doesn't really matter okay ehm have you got a ravine,so it's not far down
4,uh-huh,well just draw round it,there's a cottage on my map,right take that same line still down vertically to the left of the ravine,yeah,no it's a tiny bit okay and while you're doing that go in to your right a bit but it doesn't really matter okay ehm have you got a ravine
5,uh-huh,the left of the ravine,well just draw round it,there's a cottage on my map,right take that same line still down vertically to the left of the ravine,yeah
6,the cottage is directly below the start position right so if you go down and round the left-hand side of the pine grove,uh-huh is the cottage in the way there no,the left of the ravine,well just draw round it,there's a cottage on my map,right take that same line still down vertically to the left of the ravine
7,oh right okay,it's next to the ravine,uh-huh is the cottage in the way there no,the left of the ravine,well just draw round it,there's a cottage on my map
8,right,well that's okay right now take that take the line is the cottage directly beside the ravine,it's next to the ravine,uh-huh is the cottage in the way there no,the left of the ravine,well just draw round it
9,uh,mmhmm right next to it,well that's okay right now take that take the line is the cottage directly beside the ravine,it's next to the ravine,uh-huh is the cottage in the way there no,the left of the ravine
10,yeah,is there a space between them yeah,mmhmm right next to it,well that's okay right now take that take the line is the cottage directly beside the ravine,it's next to the ravine,uh-huh is the cottage in the way there no
11,right okay,mmhmm,is there a space between them yeah,mmhmm right next to it,well that's okay right now take that take the line is the cottage directly beside the ravine,it's next to the ravine
12,right,right take the line and go to your right underneath the cottage can you do that,mmhmm,is there a space between them yeah,mmhmm right next to it,well that's okay right now take that take the line is the cottage directly beside the ravine
13,right,no 'cause the ravine's on the right of the cottage,right take the line and go to your right underneath the cottage can you do that,mmhmm,is there a space between them yeah,mmhmm right next to it
14,okay right,yeah but i want you to draw up through between the cottage and the ravine,no 'cause the ravine's on the right of the cottage,right take the line and go to your right underneath the cottage can you do that,mmhmm,is there a space between them yeah
15,uh-huh through the centre of the page,and down through,yeah but i want you to draw up through between the cottage and the ravine,no 'cause the ravine's on the right of the cottage,right take the line and go to your right underneath the cottage can you do that,mmhmm
16,right right,no up through go go down vertically until you're and draw underneath the cottage and then come up,and down through,yeah but i want you to draw up through between the cottage and the ravine,no 'cause the ravine's on the right of the cottage,right take the line and go to your right underneath the cottage can you do that
17,right,mmhmm,no up through go go down vertically until you're and draw underneath the cottage and then come up,and down through,yeah but i want you to draw up through between the cottage and the ravine,no 'cause the ravine's on the right of the cottage
18,mm,between the cottage and the ravine,mmhmm,no up through go go down vertically until you're and draw underneath the cottage and then come up,and down through,yeah but i want you to draw up through between the cottage and the ravine
19,oh you haven't,i've just come down there,between the cottage and the ravine,mmhmm,no up through go go down vertically until you're and draw underneath the cottage and then come up,and down through
20,no i'm meant to be away over the other side,you weren't meant to,i've just come down there,between the cottage and the ravine,mmhmm,no up through go go down vertically until you're and draw underneath the cottage and then come up
21,"!!!'!!!'!!""!!",right,you weren't meant to,i've just come down there,between the cottage and the ravine,mmhmm
22,uh-huh,okay right you went down past burnt forest,right,you weren't meant to,i've just come down there,between the cottage and the ravine
23,right well go along and go along to like the middle of the page in between the two of them,i went underneath burnt forest,okay right you went down past burnt forest,right,you weren't meant to,i've just come down there
24,no,well you weren't meant to,i went underneath burnt forest,okay right you went down past burnt forest,right,you weren't meant to
25,right,well you said draw round the cottage,well you weren't meant to,i went underneath burnt forest,okay right you went down past burnt forest,right
26,uh-huh,okay right you're meant to come down from the start,well you said draw round the cottage,well you weren't meant to,i went underneath burnt forest,okay right you went down past burnt forest
27,and then you go straight down the side of the haystack,mmhmm,okay right you're meant to come down from the start,well you said draw round the cottage,well you weren't meant to,i went underneath burnt forest
28,right,vertically right past burnt forest,mmhmm,okay right you're meant to come down from the start,well you said draw round the cottage,well you weren't meant to
29,right,mmhmm,vertically right past burnt forest,mmhmm,okay right you're meant to come down from the start,well you said draw round the cottage
30,mm,keep drawing vertically,mmhmm,vertically right past burnt forest,mmhmm,okay right you're meant to come down from the start
31,down past the caravan park,oh right down past the carpenter's cottage,keep drawing vertically,mmhmm,vertically right past burnt forest,mmhmm
32,uh-huh,past the cottage,oh right down past the carpenter's cottage,keep drawing vertically,mmhmm,vertically right past burnt forest
33,and go down,and then go right,past the cottage,oh right down past the carpenter's cottage,keep drawing vertically,mmhmm
34,right,then go right underneath the cottage,and then go right,past the cottage,oh right down past the carpenter's cottage,keep drawing vertically
35,and stop when you're just past the bottom of the cottage now,uh-huh,then go right underneath the cottage,and then go right,past the cottage,oh right down past the carpenter's cottage
36,right okay right,go up through between the cottage and the ravine 'til you get to stop just above the ravine,uh-huh,then go right underneath the cottage,and then go right,past the cottage
37,and then turn right and go along the bottom of the ravines,uh-huh,go up through between the cottage and the ravine 'til you get to stop just above the ravine,uh-huh,then go right underneath the cottage,and then go right
38,yeah,and do you have a remote village,uh-huh,go up through between the cottage and the ravine 'til you get to stop just above the ravine,uh-huh,then go right underneath the cottage
39,well you're going to go up and you're curving round the ravines,no,and do you have a remote village,uh-huh,go up through between the cottage and the ravine 'til you get to stop just above the ravine,uh-huh
40,right well you go up the left-hand side of that and along the left side of it,well on my map to the right of burnt cottage there's a remote village okay,no,and do you have a remote village,uh-huh,go up through between the cottage and the ravine 'til you get to stop just above the ravine
41,right,right of the burnt forest,well on my map to the right of burnt cottage there's a remote village okay,no,and do you have a remote village,uh-huh
42,right,uh-huh and that's just situated above the ravine,right of the burnt forest,well on my map to the right of burnt cottage there's a remote village okay,no,and do you have a remote village
43,right,uh-huh,uh-huh and that's just situated above the ravine,right of the burnt forest,well on my map to the right of burnt cottage there's a remote village okay,no
44,right,okay so i want you to imagine i want you to imagine that the remote village is there just to the right of the burnt forest right so it's kind of like in a triangle,uh-huh,uh-huh and that's just situated above the ravine,right of the burnt forest,well on my map to the right of burnt cottage there's a remote village okay
45,so i want to go down and then up,right,okay so i want you to imagine i want you to imagine that the remote village is there just to the right of the burnt forest right so it's kind of like in a triangle,uh-huh,uh-huh and that's just situated above the ravine,right of the burnt forest
46,no,so draw your line to the right horizontally above the ravine okay then do you have a pine forest,right,okay so i want you to imagine i want you to imagine that the remote village is there just to the right of the burnt forest right so it's kind of like in a triangle,uh-huh,uh-huh and that's just situated above the ravine
47,uh-uh,a pine grove,so draw your line to the right horizontally above the ravine okay then do you have a pine forest,right,okay so i want you to imagine i want you to imagine that the remote village is there just to the right of the burnt forest right so it's kind of like in a triangle,uh-huh
48,right okay,a pine grove uh-huh,a pine grove,so draw your line to the right horizontally above the ravine okay then do you have a pine forest,right,okay so i want you to imagine i want you to imagine that the remote village is there just to the right of the burnt forest right so it's kind of like in a triangle
49,right and then you're going to go up straight up towards the east lake,uh-huh,a pine grove uh-huh,a pine grove,so draw your line to the right horizontally above the ravine okay then do you have a pine forest,right
50,right okay,i want you to draw the line keep going to your right okay so you're sort of like drawing towards the top of the pine grove then stop and go from left to right in a diagonal underneath the pine grove,uh-huh,a pine grove uh-huh,a pine grove,so draw your line to the right horizontally above the ravine okay then do you have a pine forest
51,uh yeah you're underlining the top,a diagonal,i want you to draw the line keep going to your right okay so you're sort of like drawing towards the top of the pine grove then stop and go from left to right in a diagonal underneath the pine grove,uh-huh,a pine grove uh-huh,a pine grove
52,right,from from the top of the ravine to underneath the pine grove,a diagonal,i want you to draw the line keep going to your right okay so you're sort of like drawing towards the top of the pine grove then stop and go from left to right in a diagonal underneath the pine grove,uh-huh,a pine grove uh-huh
53,mmhmm,so it's like diagonally down,from from the top of the ravine to underneath the pine grove,a diagonal,i want you to draw the line keep going to your right okay so you're sort of like drawing towards the top of the pine grove then stop and go from left to right in a diagonal underneath the pine grove,uh-huh
54,no nothing at all,uh-huh okay and then do you have anything underneath pine grove,so it's like diagonally down,from from the top of the ravine to underneath the pine grove,a diagonal,i want you to draw the line keep going to your right okay so you're sort of like drawing towards the top of the pine grove then stop and go from left to right in a diagonal underneath the pine grove
55,no,avalanche,uh-huh okay and then do you have anything underneath pine grove,so it's like diagonally down,from from the top of the ravine to underneath the pine grove,a diagonal
56,mmhmm,mm is that just right beneath it,avalanche,uh-huh okay and then do you have anything underneath pine grove,so it's like diagonally down,from from the top of the ravine to underneath the pine grove
57,right okay,it's underneath it to the right,mm is that just right beneath it,avalanche,uh-huh okay and then do you have anything underneath pine grove,so it's like diagonally down
58,yes i do,do you have concealed hideout,it's underneath it to the right,mm is that just right beneath it,avalanche,uh-huh okay and then do you have anything underneath pine grove
59,okay,yeah it's that's underneath the avalanche,do you have concealed hideout,it's underneath it to the right,mm is that just right beneath it,avalanche
60,right okay,okay right i that's fine right i want you to go draw to your to your right under the pine grove avoiding the avalanche,yeah it's that's underneath the avalanche,do you have concealed hideout,it's underneath it to the right,mm is that just right beneath it
61,uh-huh underneath it,underneath the pine grove,okay right i that's fine right i want you to go draw to your to your right under the pine grove avoiding the avalanche,yeah it's that's underneath the avalanche,do you have concealed hideout,it's underneath it to the right
62,and go up about two inches,uh-huh,underneath the pine grove,okay right i that's fine right i want you to go draw to your to your right under the pine grove avoiding the avalanche,yeah it's that's underneath the avalanche,do you have concealed hideout
63,straight down,down or,uh-huh,underneath the pine grove,okay right i that's fine right i want you to go draw to your to your right under the pine grove avoiding the avalanche,yeah it's that's underneath the avalanche
64,i can indeed,can you go between the pine grove and the avalanche,down or,uh-huh,underneath the pine grove,okay right i that's fine right i want you to go draw to your to your right under the pine grove avoiding the avalanche
65,can go down,uh-huh,can you go between the pine grove and the avalanche,down or,uh-huh,underneath the pine grove
66,to go past it,to get past it yeah well draw that way,uh-huh,can you go between the pine grove and the avalanche,down or,uh-huh
67,yeah,down to the concealed hideout,to get past it yeah well draw that way,uh-huh,can you go between the pine grove and the avalanche,down or
68,right,not not completely down just get past the avalanche right,down to the concealed hideout,to get past it yeah well draw that way,uh-huh,can you go between the pine grove and the avalanche
69,uh-uh,past the avalanche,not not completely down just get past the avalanche right,down to the concealed hideout,to get past it yeah well draw that way,uh-huh
70,mmhmm,and then ehm eventually i want you to go round concealed hideout,past the avalanche,not not completely down just get past the avalanche right,down to the concealed hideout,to get past it yeah well draw that way
71,and eh what you're going to do is draw a straight line from concealed hide out to your right above the concealed out and round concealed out slightly concealed hide the concealedout slightly and then ech to your left and that's you finished,right,and then ehm eventually i want you to go round concealed hideout,past the avalanche,not not completely down just get past the avalanche right,down to the concealed hideout
72,i want you then to go straight up the way to the concealed hide out,okay,right,and then ehm eventually i want you to go round concealed hideout,past the avalanche,not not completely down just get past the avalanche right
73,you don't have a concealed hide out do you,what do you mean round,okay,right,and then ehm eventually i want you to go round concealed hideout,past the avalanche
74,oh i've i've gone round the right i've went round the left sorry,to to the right of concealed hideout,what do you mean round,okay,right,and then ehm eventually i want you to go round concealed hideout
75,uh-huh,so right over to the end of the page,to to the right of concealed hideout,what do you mean round,okay,right
76,yeah,uh-huh and i want you to draw underneath concealed hideout stop just underneath concealed bit there okay are you there,so right over to the end of the page,to to the right of concealed hideout,what do you mean round,okay
77,right and then draw a horizontal line,mmhmm,uh-huh and i want you to draw underneath concealed hideout stop just underneath concealed bit there okay are you there,so right over to the end of the page,to to the right of concealed hideout,what do you mean round
78,no i don't,right do you have a boat house to your left,mmhmm,uh-huh and i want you to draw underneath concealed hideout stop just underneath concealed bit there okay are you there,so right over to the end of the page,to to the right of concealed hideout
79,yeah,right at the bottom,right do you have a boat house to your left,mmhmm,uh-huh and i want you to draw underneath concealed hideout stop just underneath concealed bit there okay are you there,so right over to the end of the page
80,i do,oh do you not have another one to your right of the concealed hideout,right at the bottom,right do you have a boat house to your left,mmhmm,uh-huh and i want you to draw underneath concealed hideout stop just underneath concealed bit there okay are you there
81,right,yeah right of the concealed hideout uh-huh,oh do you not have another one to your right of the concealed hideout,right at the bottom,right do you have a boat house to your left,mmhmm
82,okay,draw to just before the boat house writing starts there right okay that's where i want you to be,yeah right of the concealed hideout uh-huh,oh do you not have another one to your right of the concealed hideout,right at the bottom,right do you have a boat house to your left
83,uh-hah right,what from the concealed hideout to the boat house,draw to just before the boat house writing starts there right okay that's where i want you to be,yeah right of the concealed hideout uh-huh,oh do you not have another one to your right of the concealed hideout,right at the bottom
84,right,uh-huh,what from the concealed hideout to the boat house,draw to just before the boat house writing starts there right okay that's where i want you to be,yeah right of the concealed hideout uh-huh,oh do you not have another one to your right of the concealed hideout
85,yeah bypass the,so would it bypass the river,uh-huh,what from the concealed hideout to the boat house,draw to just before the boat house writing starts there right okay that's where i want you to be,yeah right of the concealed hideout uh-huh
86,right,yeah i don't want you to go near the river at all,so would it bypass the river,uh-huh,what from the concealed hideout to the boat house,draw to just before the boat house writing starts there right okay that's where i want you to be
87,oh right so you want me to go right round the boat houses,but i have to go near it to go to the boat house,yeah i don't want you to go near the river at all,so would it bypass the river,uh-huh,what from the concealed hideout to the boat house
88,right okay,no i want you to go to the boat house on your right on your on your left,but i have to go near it to go to the boat house,yeah i don't want you to go near the river at all,so would it bypass the river,uh-huh
89,oh,i don't have one on my left,no i want you to go to the boat house on your right on your on your left,but i have to go near it to go to the boat house,yeah i don't want you to go near the river at all,so would it bypass the river
90,oh i did do that,thought you did,i don't have one on my left,no i want you to go to the boat house on your right on your on your left,but i have to go near it to go to the boat house,yeah i don't want you to go near the river at all
91,uh-huh,got one underneath the concealed hideout,thought you did,i don't have one on my left,no i want you to go to the boat house on your right on your on your left,but i have to go near it to go to the boat house
92,oh right okay,well i've got one i've got one to the left of the concealed hideout,got one underneath the concealed hideout,thought you did,i don't have one on my left,no i want you to go to the boat house on your right on your on your left
93,uh-huh,what the other side of the page,well i've got one i've got one to the left of the concealed hideout,got one underneath the concealed hideout,thought you did,i don't have one on my left
94,so i'm going to go down,uh-huh,what the other side of the page,well i've got one i've got one to the left of the concealed hideout,got one underneath the concealed hideout,thought you did
95,oh right well i've only got one right so if you go down,oh no mine's is underneath the concealed hideout,uh-huh,what the other side of the page,well i've got one i've got one to the left of the concealed hideout,got one underneath the concealed hideout
96,uh i've drawn down yeah,have you drawn down to there,oh no mine's is underneath the concealed hideout,uh-huh,what the other side of the page,well i've got one i've got one to the left of the concealed hideout
97,well you're going to go down right,no,have you drawn down to there,oh no mine's is underneath the concealed hideout,uh-huh,what the other side of the page
98,yeah,good right imagine you've got a boat house to the left of the concealed hideout right do you see where in can you see crane bay,no,have you drawn down to there,oh no mine's is underneath the concealed hideout,uh-huh
99,"just draw a straight line down to the concealed out of crane bay and stop at the ""c"" not the ""e"" not actually underneath it but under it",mmhmm,good right imagine you've got a boat house to the left of the concealed hideout right do you see where in can you see crane bay,no,have you drawn down to there,oh no mine's is underneath the concealed hideout
100,yeah,do you see where there's where the coastline comes round it's um there's a sort of like jutting out bit there's like a point,mmhmm,good right imagine you've got a boat house to the left of the concealed hideout right do you see where in can you see crane bay,no,have you drawn down to there
101,right well go up there for about an inch and a half,yeah,do you see where there's where the coastline comes round it's um there's a sort of like jutting out bit there's like a point,mmhmm,good right imagine you've got a boat house to the left of the concealed hideout right do you see where in can you see crane bay,no
102,yeah i've got that,just underneath concealed hideout,yeah,do you see where there's where the coastline comes round it's um there's a sort of like jutting out bit there's like a point,mmhmm,good right imagine you've got a boat house to the left of the concealed hideout right do you see where in can you see crane bay
103,just a wee bit below that and you're going to draw a dot,mmhmm,just underneath concealed hideout,yeah,do you see where there's where the coastline comes round it's um there's a sort of like jutting out bit there's like a point,mmhmm
104,to the right,or just to the right of it okay i want you to you see where it comes down like that,mmhmm,just underneath concealed hideout,yeah,do you see where there's where the coastline comes round it's um there's a sort of like jutting out bit there's like a point
