,Speaker,Utterance,Unified
5,f,right start from the cross yeah,f|right start from the cross yeah
6,M,mm,M|mm
7,f,it's directly down yeah,f|it's directly down yeah
8,M,mmh mmhmm do you know where i am,M|mmh mmhmm do you know where i am
9,f,mm no i haven't got any wagon wheel,f|mm no i haven't got any wagon wheel
10,M,oh well i've got a wagon a wagon kind of but it's it's not a wagon it's a,M|oh well i've got a wagon a wagon kind of but it's it's not a wagon it's a
11,f,to the right i've got eventually a cactus,f|to the right i've got eventually a cactus
12,M,mmhmm,M|mmhmm
13,f,oh i've got a rift valley above that,f|oh i've got a rift valley above that
14,M,oh right ehm,M|oh right ehm
15,f,you've got the rift valley right up at the top right-hand side,f|you've got the rift valley right up at the top right-hand side
16,M,uh-huh,M|uh-huh
17,f,mmhmm,f|mmhmm
18,M,just keep going down until you're about an inch away from the left-hand edge of the rift,M|just keep going down until you're about an inch away from the left-hand edge of the rift
19,f,towards the right-hand corner,f|towards the right-hand corner
20,M,yeah,M|yeah
21,f,ehm that's going to take me pretty near to the cactus thing so i'm trying to avoid that,f|ehm that's going to take me pretty near to the cactus thing so i'm trying to avoid that
22,M,so you're avoiding the cactuses,M|so you're avoiding the cactuses
23,f,hang on hang on right an inch to the right of the diamond mine,f|hang on hang on right an inch to the right of the diamond mine
24,M,right right,M|right right
25,f,yeah and then straight down to an inch below it,f|yeah and then straight down to an inch below it
26,M,right right,M|right right
27,f,yeah,f|yeah
28,M,right now you want to go ehm down towards the bottom of the page,M|right now you want to go ehm down towards the bottom of the page
29,f,okay to right to the edge of the page,f|okay to right to the edge of the page
30,M,yeah to the end of the edge and then up,M|yeah to the end of the edge and then up
31,f,er right okay that takes me to,f|er right okay that takes me to
32,M,and you're going up about four or five centimetres,M|and you're going up about four or five centimetres
33,f,okay,f|okay
34,M,and then turn right immediately past the adventure playground,M|and then turn right immediately past the adventure playground
35,f,okay hang on,f|okay hang on
36,M,"i'm at the i'm at er i'm above the letter ""n"" just now","M|i'm at the i'm at er i'm above the letter ""n"" just now"
37,f,have you got the rift valley there 'cause i've got the rift valley right up in that top right-hand corner,f|have you got the rift valley there 'cause i've got the rift valley right up in that top right-hand corner
38,M,uh-huh,M|uh-huh
39,f,yeah,f|yeah
40,M,right okay so if you go up the left-hand side of the rift midway up the page and stop at the end of it,M|right okay so if you go up the left-hand side of the rift midway up the page and stop at the end of it
41,f,right go through the centre i'll just take it up and go through the centre yeah,f|right go through the centre i'll just take it up and go through the centre yeah
42,M,yeah okay,M|yeah okay
43,f,right okay erm i'm not that so i should be below there when i'm taking the line up,f|right okay erm i'm not that so i should be below there when i'm taking the line up
44,M,you should be above and to the left of it yeah,M|you should be above and to the left of it yeah
45,f,okay right,f|okay right
46,M,ok,M|ok
47,f,i'll have to i'll i'll have to kind of change it slightly 'cause i've taken it on the wrong side of this cactus thing i think i'll just do a slight detour right and just take it straight through towards the top of the page,f|i'll have to i'll i'll have to kind of change it slightly 'cause i've taken it on the wrong side of this cactus thing i think i'll just do a slight detour right and just take it straight through towards the top of the page
48,M,right,M|right
49,f,alright there we go,f|alright there we go
50,M,"!!!'!!!'!!""!!8!!4!!6!!7!!","M|!!!'!!!'!!""!!8!!4!!6!!7!!"
51,f,not quite,f|not quite
52,M,halfway along the rift midway along the valley,M|halfway along the rift midway along the valley
53,f,was i,f|was i
54,M,"!!!'!!!'!!,!!""!!","M|!!!'!!!'!!,!!""!!"
55,f,right mm that's not where i am now right so where hang on right so,f|right mm that's not where i am now right so where hang on right so
56,M,you should be about,M|you should be about
57,f,yeah in a like as the two ends are pointing up towards top of the page,f|yeah in a like as the two ends are pointing up towards top of the page
58,M,yeah,M|yeah
59,f,right and i was supposed to start above it there and come down through it,f|right and i was supposed to start above it there and come down through it
60,M,yeah that's right,M|yeah that's right
61,f,well i've done it back to front but never mind right eh so i should now be below it,f|well i've done it back to front but never mind right eh so i should now be below it
62,M,yeah you should be below the start point,M|yeah you should be below the start point
63,f,yeah,f|yeah
64,M,right well you're going to go along to the left of the rocks but you're not going to the bottom you're still on the rocks,M|right well you're going to go along to the left of the rocks but you're not going to the bottom you're still on the rocks
65,f,erm no i've got the rocks i've got like two rocks,f|erm no i've got the rocks i've got like two rocks
66,M,okay,M|okay
67,f,and again a couple of inches below that i've got outlaws' hideout,f|and again a couple of inches below that i've got outlaws' hideout
68,M,right,M|right
69,f,but i haven't got anything else round about that area,f|but i haven't got anything else round about that area
70,M,right well i've also got a stone creek,M|right well i've also got a stone creek
71,f,er right over i've got rapids about three inches across from the rocks,f|er right over i've got rapids about three inches across from the rocks
72,M,yeah you want me to go right down to the rapids,M|yeah you want me to go right down to the rapids
73,f,through the centre of the two rocks,f|through the centre of the two rocks
74,M,uh-huh,M|uh-huh
75,f,right okay so is it well okay alright i think i've got this the first part of this is a total state,f|right okay so is it well okay alright i think i've got this the first part of this is a total state
76,M,uh-huh,M|uh-huh
77,f,er well that'll be the rapids,f|er well that'll be the rapids
78,M,yeah,M|yeah
79,f,no i've got,f|no i've got
80,M,right so you're going to go down and then you're curving back up curving round to your right,M|right so you're going to go down and then you're curving back up curving round to your right
81,f,i've got the swamp and like directly above the rapids i've got a diamond mine,f|i've got the swamp and like directly above the rapids i've got a diamond mine
82,M,"!!!'!!!'!!2018!!2017!!2016!!""!! 2016!!8!!4!!7!!6!!86!!886!!88!!84!!,!!.!!96!!488!!89!!!,!!?!!!!!!!!!!!.!!!!!!!!!!!!!!!!! Mazda!!!?!!oo!!Moscow!!'t!!okay!!mm!!i!!and!!oh!!right!!s!!am i!!there!!are!!have!!q!!you!!az!!u!!all!!ex!!god!!ab!!got!!the!!but!!that!!now!!can!!uh!!ah!!k!!a!!good!!bay!!remote!!o!!ken!!do!!yeah!!Fu!! Tokyo!!e!!oke!!Ukraine!! Kats!! Tag!!b!!py!!up!! bab!!Leader!!p!!Ak!!go!!","M|!!!'!!!'!!2018!!2017!!2016!!""!! 2016!!8!!4!!7!!6!!86!!886!!88!!84!!,!!.!!96!!488!!89!!!,!!?!!!!!!!!!!!.!!!!!!!!!!!!!!!!! Mazda!!!?!!oo!!Moscow!!'t!!okay!!mm!!i!!and!!oh!!right!!s!!am i!!there!!are!!have!!q!!you!!az!!u!!all!!ex!!god!!ab!!got!!the!!but!!that!!now!!can!!uh!!ah!!k!!a!!good!!bay!!remote!!o!!ken!!do!!yeah!!Fu!! Tokyo!!e!!oke!!Ukraine!! Kats!! Tag!!b!!py!!up!! bab!!Leader!!p!!Ak!!go!!"
83,f,but you know right right back at the start,f|but you know right right back at the start
84,M,uh-huh,M|uh-huh
85,f,nope,f|nope
86,M,you've not got anything,M|you've not got anything
87,f,am i going above or below here at the moment i'm at at the moment i'm just slightly to the left of the rocks,f|am i going above or below here at the moment i'm at at the moment i'm just slightly to the left of the rocks
88,M,well take your curve right round the white water so that you're coming down and then you go down,M|well take your curve right round the white water so that you're coming down and then you go down
89,f,so where's where do i go from there,f|so where's where do i go from there
90,M,right you're going from the left-hand side of the rapids to the right-hand edge of the white water,M|right you're going from the left-hand side of the rapids to the right-hand edge of the white water
91,f,taking it round from the top or,f|taking it round from the top or
92,M,no no just straight up the side of the white i mean you should be round the side where the the the whitewashed cottage is and then you go straight up and then back down the other side of it,M|no no just straight up the side of the white i mean you should be round the side where the the the whitewashed cottage is and then you go straight up and then back down the other side of it
93,f,right okay right so i'm now at the top left-hand corner of the rapids,f|right okay right so i'm now at the top left-hand corner of the rapids
94,M,uh-huh,M|uh-huh
95,f,oh i see what you mean yeah,f|oh i see what you mean yeah
96,M,you see what i mean,M|you see what i mean
97,f,have you got a manned fort below the rapids,f|have you got a manned fort below the rapids
98,M,no,M|no
99,f,'cause i've got that interrupting er like almost directly below it slightly to the left i've got a manned fort,f|'cause i've got that interrupting er like almost directly below it slightly to the left i've got a manned fort
100,M,well i've not got that so you need to go round it,M|well i've not got that so you need to go round it
101,f,eh oh right,f|eh oh right
102,M,you've got stone creek and then below that you've got an outlaws' hideout,M|you've got stone creek and then below that you've got an outlaws' hideout
103,f,yeah it's right the way down below the manned fort have you not got anything in between the rapids and the stone creek down at the bottom,f|yeah it's right the way down below the manned fort have you not got anything in between the rapids and the stone creek down at the bottom
104,M,no i've not no i've gone i've went down past the manned,M|no i've not no i've gone i've went down past the manned
105,f,yeah no in right in between the two of those i've got a manned fort,f|yeah no in right in between the two of those i've got a manned fort
106,M,right well go right up to them and round them,M|right well go right up to them and round them
107,f,er about two inches maybe two and a half,f|er about two inches maybe two and a half
108,M,right,M|right
109,f,the stone creek and the stone slabs,f|the stone creek and the stone slabs
110,M,stone slabs yeah,M|stone slabs yeah
111,f,which way do you want me to go round the left or the right-hand side of that,f|which way do you want me to go round the left or the right-hand side of that
112,M,go go down so you're on the left of the stone creek that way you're going down you know to underneath the stone circle,M|go go down so you're on the left of the stone creek that way you're going down you know to underneath the stone circle
113,f,right okay,f|right okay
