Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	5	to the end of the	103	48	1	M	56, 103
6	6	4	do you have a	110	106	5	g	5, 43, 71, 77, 95, 110
3	1	4	the end of the	93	48	1	M	56, 93, 103
2	2	4	side of the diamond	13	6	1	M	8, 13
2	2	4	the top of the	117	114	1	M	4, 117
11	5	3	do you have	110	106	10	g	5, 9, 25, 41, 43, 65, 71, 77, 95, 107, 110
5	3	3	side of the	59	82	1	M	8, 13, 59, 63, 89
3	3	3	to the left	106	66	2	g	41, 105, 106
2	2	3	a little bit	51	12	1	M	40, 51
2	2	3	go right go	82	2	1	g	81, 82
2	2	3	have a graveyard	12	8	1	g	5, 12
2	2	3	i would say	72	2	1	g	71, 72
2	2	3	left of the	41	28	1	M	14, 41
2	2	3	sorry no i	14	4	1	g	11, 14
2	2	3	what do you	118	54	1	g	65, 118
16	5	2	of the	52	120	2	M	4, 8, 13, 14, 41, 52, 56, 59, 63, 89, 92, 93, 103, 116, 117, 123
16	12	2	to the	13	112	1	M	4, 13, 17, 41, 46, 55, 56, 59, 75, 83, 91, 99, 103, 105, 106, 115
15	3	2	do you	5	115	1	M	4, 5, 9, 25, 41, 43, 65, 71, 76, 77, 95, 102, 107, 110, 118
12	1	2	you have	80	106	8	g	5, 9, 25, 41, 43, 65, 71, 77, 80, 95, 107, 110
10	3	2	have a	18	106	1	g	5, 12, 18, 43, 44, 71, 77, 78, 95, 110
7	7	2	gold mine	44	23	1	g	43, 44, 47, 55, 61, 63, 65
6	1	2	side of	115	108	1	M	8, 13, 59, 63, 89, 115
6	6	2	the gold	70	24	5	g	47, 55, 61, 63, 65, 70
5	5	2	above the	31	66	1	M	8, 31, 37, 61, 73
5	3	2	the diamond	8	16	1	g	5, 8, 13, 19, 20
5	5	2	the trout	86	15	3	g	75, 81, 83, 86, 89
4	2	2	a graveyard	12	9	2	g	5, 11, 12, 13
4	2	2	a little	112	74	1	M	40, 51, 112, 113
4	4	2	the right	17	68	1	M	8, 17, 73, 75
4	2	2	the top	117	117	2	M	4, 28, 117, 120
4	4	2	totem pole	72	5	2	g	69, 71, 72, 73
4	4	2	trying to	51	36	1	M	34, 51, 55, 69
3	1	2	i would	71	15	1	M	58, 71, 72
3	1	2	left of	105	92	1	M	14, 41, 105
3	1	2	no i	23	13	1	g	11, 14, 23
3	3	2	the bottom	55	92	1	M	14, 55, 105
3	3	2	the carved	36	8	2	g	29, 31, 36
3	3	2	you're going	57	66	1	M	0, 57, 65
2	2	2	at the	120	2	1	g	119, 120
2	2	2	don't have	23	14	1	M	10, 23
2	2	2	down a	51	4	1	M	48, 51
2	1	2	go right	82	2	1	g	81, 82
2	2	2	have the	26	4	1	g	23, 26
2	2	2	have to	41	42	1	M	0, 41
2	2	2	i don't	52	30	1	g	23, 52
2	2	2	if you	66	10	1	g	57, 66
2	2	2	if you're	90	34	1	g	57, 90
2	2	2	in between	50	4	1	g	47, 50
2	2	2	rock is	48	2	1	g	47, 48
2	2	2	the cactus	122	2	1	g	121, 122
2	2	2	there's a	52	40	1	g	13, 52
2	2	2	to do	69	64	1	M	6, 69
2	2	2	what you're	69	18	1	M	52, 69
2	2	2	you're right	108	72	1	g	37, 108
58	23	1	the	8	120	1	M	4, 5, 8, 13, 14, 17, 19, 20, 23, 26, 28, 29, 31, 35, 36, 37, 41, 42, 46, 47, 48, 49, 51, 52, 55, 56, 59, 60, 61, 62, 63, 65, 69, 70, 71, 73, 75, 81, 83, 86, 89, 91, 92, 93, 99, 103, 105, 106, 107, 111, 115, 116, 117, 119, 120, 121, 122, 123
29	13	1	a	14	113	2	g	5, 11, 12, 13, 14, 18, 31, 40, 41, 43, 44, 48, 51, 52, 57, 65, 68, 71, 72, 77, 78, 92, 95, 110, 112, 113, 114, 116, 117
25	6	1	to	13	116	3	M	0, 4, 6, 13, 17, 29, 34, 40, 41, 46, 51, 55, 56, 59, 66, 69, 72, 75, 83, 91, 99, 103, 105, 106, 115
25	7	1	you	4	116	1	g	3, 4, 5, 9, 16, 20, 25, 34, 41, 43, 57, 65, 66, 70, 71, 76, 77, 78, 80, 88, 95, 102, 107, 110, 118
22	6	1	of	55	120	2	M	4, 8, 13, 14, 41, 52, 55, 56, 59, 63, 72, 83, 89, 92, 93, 103, 105, 111, 115, 116, 117, 123
21	1	1	have	58	111	1	M	0, 5, 9, 10, 12, 18, 23, 25, 26, 41, 43, 44, 58, 65, 71, 77, 78, 80, 95, 107, 110
20	3	1	do	12	115	1	M	4, 5, 6, 9, 12, 25, 30, 41, 43, 65, 69, 71, 76, 77, 95, 100, 102, 107, 110, 118
20	12	1	right	8	115	1	g	3, 8, 13, 17, 29, 32, 35, 36, 37, 41, 67, 69, 73, 75, 81, 82, 108, 109, 113, 117
18	13	1	i	11	121	1	M	6, 11, 14, 18, 23, 26, 28, 30, 44, 52, 58, 68, 71, 72, 74, 100, 116, 126
16	15	1	go	30	113	2	g	3, 29, 30, 51, 64, 71, 81, 82, 85, 89, 95, 99, 102, 103, 113, 115
16	16	1	it	16	123	2	g	3, 13, 16, 24, 27, 57, 72, 74, 101, 105, 111, 113, 115, 116, 117, 125
15	15	1	and	29	100	1	M	26, 29, 35, 47, 49, 50, 61, 75, 93, 95, 105, 107, 115, 117, 125
14	14	1	underneath	22	115	2	g	3, 19, 22, 51, 57, 59, 65, 71, 73, 75, 81, 111, 115, 117
14	14	1	yeah	27	125	2	M	2, 24, 27, 33, 47, 55, 64, 73, 83, 105, 114, 121, 124, 126
