Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
5	5	2	, you	37	38	4	B	0, 4, 8, 24, 37
4	4	2	you know	43	44	3	B	0, 4, 8, 43
2	2	2	, do	32	2	1	M	31, 32
2	2	2	, like	32	8	1	M	25, 32
2	2	2	, what	9	6	1	B	4, 9
2	2	2	I don't	17	18	1	B	0, 17
2	2	2	I think	16	14	1	M	3, 16
2	2	2	Oh ,	35	14	1	B	22, 35
2	2	2	know .	41	38	1	B	4, 41
9	6	1	I	3	42	2	B	0, 2, 3, 4, 8, 16, 17, 24, 41
9	9	1	a	7	44	1	B	0, 7, 11, 20, 25, 32, 37, 39, 43
9	3	1	you	3	44	1	B	0, 3, 4, 8, 24, 32, 37, 40, 43
6	6	1	it	13	45	1	B	0, 13, 16, 28, 31, 44
5	5	1	uh	15	33	2	B	0, 4, 15, 20, 32
4	4	1	about	9	29	1	B	4, 9, 16, 32
4	3	1	do	32	26	3	M	7, 27, 31, 32
4	4	1	have	7	31	1	B	2, 7, 20, 32
4	4	1	in	11	34	1	B	4, 11, 24, 37
4	4	1	just	31	24	3	B	8, 10, 24, 31
4	3	1	like	32	21	1	M	25, 32, 44, 45
4	4	1	the	11	8	3	B	4, 8, 10, 11
3	1	1	Oh	29	14	1	B	22, 29, 35
3	1	1	don't	17	18	2	B	0, 10, 17
3	3	1	my	33	14	2	B	20, 24, 33
2	2	1	They	33	24	1	B	10, 33
2	2	1	We've	25	6	1	B	20, 25
2	2	1	are	40	8	1	M	33, 40
2	2	1	go	32	32	1	M	1, 32
2	2	1	never	40	28	1	M	13, 40
2	2	1	really	22	6	1	M	17, 22
2	1	1	what	9	6	1	B	4, 9

