Freq.	Size	Surface Form	Spanning	First Speaker	Turns
3	5	, and , uh ,	113	A	34, 62, 146
3	5	, you know , I	137	A	10, 16, 146
2	5	a lot of people don't	137	A	10, 146
2	5	like that , but I	85	A	10, 94
5	4	, you know ,	137	A	10, 16, 68, 138, 146
4	4	and , uh ,	113	A	34, 36, 62, 146
2	4	, I think ,	133	A	14, 146
2	4	, it seems like	137	A	10, 146
2	4	, that's good .	11	A	110, 120
2	4	, uh , I	17	A	78, 94
2	4	I , I think	93	A	54, 146
2	4	and things like that	79	A	16, 94
2	4	because they know that	115	A	32, 146
12	3	, uh ,	135	A	12, 34, 36, 54, 56, 62, 68, 78, 94, 104, 136, 146
7	3	, you know	137	A	10, 14, 16, 68, 86, 138, 146
5	3	, and ,	131	A	16, 34, 44, 62, 146
4	3	, I think	133	A	14, 32, 54, 146
3	3	, but ,	137	A	10, 70, 146
3	3	, it was	67	A	16, 36, 82
3	3	, um ,	129	A	10, 16, 138
3	3	I don't know	103	A	2, 16, 104
3	3	a lot of	137	A	10, 34, 146
3	3	it seems like	137	A	10, 42, 146
2	3	, I don't	15	A	2, 16
2	3	, I guess	45	A	10, 54
2	3	, that's good	11	A	110, 120
2	3	, well ,	129	A	10, 138
2	3	, yeah ,	75	A	4, 78
2	3	. I mean	5	A	10, 14
2	3	. Uh ,	7	A	62, 68
2	3	. Yeah .	15	A	102, 116
2	3	I mean ,	97	A	10, 106
2	3	Oh , yeah	51	A	4, 54
2	3	a lot ,	25	A	54, 78
2	3	and , and	11	A	44, 54
2	3	don't know .	91	A	14, 104
2	3	it was a	57	A	82, 138
2	3	my understanding of	35	A	40, 74
2	3	talking to you	25	A	12, 36
2	3	the way I	119	A	10, 128
2	3	what happened to	111	A	2, 112
2	3	you know the	43	A	86, 128
18	2	, I	147	A	0, 2, 10, 12, 14, 16, 32, 38, 48, 54, 62, 70, 78, 94, 106, 114, 138, 146
13	2	, uh	135	A	12, 20, 34, 36, 54, 56, 62, 68, 78, 94, 104, 136, 146
10	2	, and	131	A	16, 34, 42, 44, 54, 62, 68, 86, 138, 146
9	2	, it	137	A	10, 16, 26, 36, 40, 82, 106, 140, 146
9	2	Uh-huh .	115	A	18, 56, 66, 72, 80, 90, 92, 102, 132
8	2	, you	137	A	10, 14, 16, 22, 68, 86, 138, 146
8	2	and ,	131	A	16, 34, 36, 44, 54, 62, 76, 146
7	2	Yeah .	59	A	58, 60, 88, 96, 100, 102, 116
6	2	, but	137	A	10, 16, 70, 94, 136, 146
6	2	. I	107	A	2, 10, 14, 54, 56, 108
