,Word,Count
0,",",15063
1,.,8719
2,I,5421
3,!,4842
4,uh,3071
5,that,2572
6,it,2553
7,and,2234
8,you,2216
9,'s,2180
10,a,2092
11,to,1920
12,Uh,1823
13,the,1798
14,Yeah,1661
15,do,1353
16,-,1341
17,know,1310
18,n't,1178
19,of,1072
20,have,1012
21,think,980
22,they,960
23,huh,858
24,Oh,847
25,And,783
26,just,747
27,we,737
28,'re,643
29,in,625
30,was,614
31,really,554
32,not,552
33,'m,533
34,like,528
35,Well,517
36,but,508
37,is,506
38,Right,505
39,yeah,471
40,so,457
41,'ve,418
42,be,400
43,%,353
44,good,341
45,mean,338
46,But,331
47,with,317
48,for,306
49,going,306
50,me,290
51,would,285
52,about,281
53,lot,271
54,there,264
55,So,263
56,what,259
57,had,259
58,get,243
59,he,243
60,right,235
61,Remind,234
62,on,233
63,are,228
64,?,227
65,can,212
66,them,210
67,go,209
68,then,206
69,she,204
70,well,198
71,guess,196
72,true,194
73,one,188
74,too,185
75,um,184
76,sure,181
77,out,174
78,people,171
79,been,170
80,my,166
81,if,164
82,ca,163
83,see,161
84,don,159
85,got,158
86,more,155
87,It,149
88,all,148
89,very,139
90,thing,137
91,That,137
92, ,134
93,at,134
94,much,130
95,little,124
96,real,123
97,or,120
98,up,119
99,some,118
100,because,117
101,were,115
102,Okay,113
103,You,113
104,want,111
105,as,108
106,No,108
107,problem,107
108,kind,105
109,time,105
110,did,104
111,big,103
112,work,102
113,no,101
114,things,100
115,how,97
116,put,94
117,this,93
118,could,89
119,something,88
120,say,88
121,okay,84
122,now,84
123,hue,84
124,who,84
125,;,83
126,way,83
127,'d,78
128,two,78
129,from,75
130,make,74
131,nice,74
132,'ll,74
133,any,71
134,pretty,70
135,your,69
136,great,69
137,Um,66
138,does,66
139,other,65
140,went,65
141,We,63
142,seems,63
143,has,61
144,year,61
145,oh,60
146,into,58
147,agree,57
148,trying,57
149,...,56
150,never,55
151,probably,55
152,couple,54
153,when,54
154,where,53
155,said,53
156,years,53
157,around,53
158,an,52
159,take,52
160,translated,52
161,school,52
162,back,51
163,able,51
164,doing,50
165,should,49
166,home,49
167,old,48
168,over,47
169,important,47
170,house,47
171,thought,47
172,tinker,47
173,bit,47
174,kids,45
175,sounds,45
176,their,45
177,talking,45
178,only,44
179,heard,44
180,our,43
181,system,43
182,always,42
183,Yes,42
184,wonderful,42
185,person,42
186,idea,42
187,done,42
188,feel,42
189,different,41
190,anything,41
191,pay,41
192,than,41
193,seen,40
194,need,40
195,those,39
196,neat,39
197,same,39
198,used,39
199,here,38
200,whole,38
201,They,38
202,live,38
203,still,38
204,down,38
205,him,37
206,hard,37
207,RemindMe,36
208,her,36
209,also,35
210,goodness,35
211,bye,35
212,getting,35
213,these,35
214,He,34
215,Bye,34
216,even,34
217,thinking,33
218,watch,33
219,by,33
220,money,33
221,stuff,33
222,family,33
223,ever,32
224,fun,32
225,Texas,32
226,Huh,31
227,three,31
228,being,31
229,part,31
230,try,30
231,car,30
232,deal,29
233,everything,29
234,dog,29
235,love,28
236,hear,28
237,interesting,28
238,care,28
239,buy,28
240,many,28
241,hope,27
242,come,27
243,let,27
244,sort,27
245,will,27
246,use,27
247,better,27
248,look,27
249,remember,26
250,t,26
251,donno,26
252,read,25
253,children,25
254,actually,25
255,Dallas,24
256,long,24
257,She,24
258,start,24
259,find,24
260,bad,24
261,jury,24
262,enjoy,24
263,day,24
264,either,24
265,area,24
266,off,23
267,supposed,23
268,',23
269,both,23
270,hum,23
271,through,23
272,most,23
273,play,22
274,<,22
275,What,22
276,why,22
277,job,22
278,us,21
279,own,21
280,before,21
281,else,21
282,situation,21
283,Auto,21
284,tell,21
285,place,21
286,=,20
287,last,20
288,spend,20
289,away,20
290,saying,20
291,next,20
292,friends,20
293,having,20
294,worry,19
295,far,19
296,few,19
297,certain,19
298,enough,19
299,type,19
300,hundred,19
301,best,19
302,problems,19
303,works,18
304,maybe,18
305,five,18
306,college,18
307,his,18
308,while,18
309,guy,17
310,somebody,17
311,point,17
312,friend,17
313,crime,17
314,country,17
315,bought,17
316,happen,17
317,talk,17
318,ones,17
319,government,17
320,involved,17
321,believe,17
322,quite,16
323,news,16
324,took,16
325,am,16
326,death,16
327,help,16
328,T,16
329,first,16
330,yes,16
331,music,16
332,every,16
333,cat,16
334,hau,16
335,new,16
336,high,15
337,ago,15
338,gosh,15
339,keep,15
340,dollars,15
341,grew,15
342,listen,15
343,room,15
344,call,15
345,again,15
346,recycling,14
347,movie,14
348,hums,14
349,expensive,14
350,places,14
351,which,14
352,anymore,14
353,dogs,14
354,twenty,14
355,food,14
356,husband,14
357,weeks,14
358,Plano,14
359,run,13
360,Wow,13
361,New,13
362,four,13
363,V,13
364,kill,13
365,life,13
366,lucky,13
367,usually,13
368,anybody,13
369,times,13
370,ready,13
371,experience,13
372,guilty,13
373,C,13
374,tax,13
375,living,13
376,small,13
377,nursing,13
378,town,13
379,bet,13
380,funny,13
381,tried,13
382,called,12
383,program,12
384,ahead,12
385,wonder,12
386,United,12
387,hoh,12
388,yet,12
389,give,12
390,world,12
391,cook,12
392,lived,12
393,eat,12
394,someone,12
395,young,12
396,building,12
397,ought,12
398,half,12
399,fan,12
400,major,12
401,name,12
402,vote,11
403,solution,11
404,homing,11
405,seem,11
406,paying,11
407,gone,11
408,though,11
409,drug,11
410,book,11
411,child,11
412,makes,11
413,social,11
414,change,11
415,looking,11
416,difficult,11
417,might,11
418,shame,11
419,leave,11
420,States,11
421,amount,11
422,decide,11
423,whatever,11
424,hauhuh,11
425,cover,11
426,week,11
427,sad,11
428,boy,11
429,store,11
430,quality,10
431,gun,10
432,daughter,10
433,waste,10
434,company,10
435,plan,10
436,enjoyed,10
437,mother,10
438,etwork,10
439,check,10
440,crimes,10
441,control,10
442,cut,10
443,regular,10
444,months,10
445,everybody,10
446,easy,10
447,The,10
448,state,10
449,trees,10
450,stay,10
451,garden,10
452,air,10
453,paper,10
454,full,10
455,understand,10
456,women,10
457,night,10
458,working,10
459,process,10
460,cats,10
461,goes,10
462,willing,10
463,tough,9
464,York,9
465,felt,9
466,started,9
467,against,9
468,jail,9
469,Do,9
470,This,9
471,once,9
472,law,9
473,homes,9
474,twice,9
475,translate,9
476,raised,9
477,party,9
478,YOUR,9
479,private,9
480,large,9
481,convenient,9
482,trust,9
483,kinds,9
484,society,9
485,six,9
486,�,9
487,catch,9
488,together,9
489,married,9
490,open,9
491,"""",9
492,matter,9
493,wrong,9
494,attacks,9
495,hot,9
496,companies,9
497,parents,9
498,running,9
499,accept,8
500,themselves,8
501,remind,8
502,close,8
503,university,8
504,making,8
505,fine,8
506,thirty,8
507,If,8
508,taxes,8
509,P,8
510,eight,8
511,computer,8
512,myself,8
513,dinner,8
514,turn,8
515,student,8
516,keeps,8
517,drugs,8
518,number,8
519,morning,8
520,wait,8
521,pets,8
522,Because,8
523,older,8
524,expect,8
525,difference,8
526,wished,8
527,Minnesota,8
528,University,8
529,happy,8
530,completely,8
531,worked,8
532,water,8
533,:,8
534,learn,8
535,income,8
536,space,8
537,support,8
538,per,8
539,LINE,8
540,background,8
541,favorite,8
542,areas,8
543,beautiful,8
544,case,8
545,cars,8
546,schools,7
547,rid,7
548,rather,7
549,sit,7
550,ball,7
551,reasons,7
552,lower,7
553,ways,7
554,send,7
555,drive,7
556,middle,7
557,sometimes,7
558,example,7
559,almost,7
560,stop,7
561,allowed,7
562,outside,7
563,fifty,7
564,When,7
565,comfortable,7
566,son,7
567,baseball,7
568,research,7
569,Wild,7
570,appeal,7
571,taken,7
572,spending,7
573,wo,7
574,door,7
575,gets,7
576,cool,7
577,totally,7
578,caught,7
579,without,7
580,Hungarian,7
581,often,7
582,roast,7
583,mix,7
584,reason,7
585,afford,7
586,eighty,7
587,neighborhood,7
588,exactly,7
589,fact,7
590,imagine,7
591,found,7
592,second,7
593,sorry,7
594,sentence,7
595,later,7
596,needs,7
597,seven,7
598,whether,7
599,must,7
600,prison,7
601,talked,7
602,systems,7
603,den,7
604,question,7
605,concerned,6
606,strange,6
607,violent,6
608,wife,6
609,based,6
610,et,6
611,guns,6
612,says,6
613,left,6
614,level,6
615,throw,6
616,tomatoes,6
617,anywhere,6
618,ours,6
619,Sure,6
620,killed,6
621,size,6
622,already,6
623,exists,6
624,plastic,6
625,How,6
626,England,6
627,made,6
628,surprised,6
629,shows,6
630,NATO,6
631,price,6
632,test,6
633,California,6
634,mind,6
635,city,6
636,hit,6
637,foil,6
638,sister,6
639,wanted,6
640,answer,6
641,fix,6
642,parent,6
643,band,6
644,total,6
645,Thank,6
646,THIS,6
647,liked,6
648,movies,6
649,ten,6
650,knew,6
651,God,6
652,sound,6
653,concert,6
654,absolutely,6
655,serve,6
656,wow,6
657,rice,6
658,Europe,6
659,gotten,6
660,Bent,6
661,show,6
662,benefits,6
663,familiar,6
664,worst,6
665,medical,6
666,worth,6
667,shoot,6
668,Aut,6
669,American,6
670,reunion,6
671,rights,6
672,thousand,6
673,summer,6
674,Cowboys,6
675,interested,6
676,came,6
677,pool,6
678,terrible,6
679,newspaper,6
680,moved,6
681,N,6
682,may,6
683,girl,6
684,degree,6
685,between,6
686,punishment,6
687,careful,6
688,set,6
689,mountains,6
690,selection,6
691,played,6
692,yourself,6
693,changes,6
694,trial,6
695,certainly,6
696,ask,6
697,unanimous,6
698,less,6
699,such,6
700,deserves,5
701,waiting,5
702,doctor,5
703,teacher,5
704,>,5
705,recently,5
706,body,5
707,hired,5
708,depends,5
709,education,5
710,weekend,5
711,exercise,5
712,didn,5
713,Weather,5
714,sentenced,5
715,media,5
716,insurance,5
717,eleven,5
718,cold,5
719,S,5
720,handle,5
721,huge,5
722,machine,5
723,write,5
724,sales,5
725,cans,5
726,happened,5
727,sophomore,5
728,north,5
729,train,5
730,pick,5
731,sell,5
732,testing,5
733,Garland,5
734,register,5
735,fit,5
736,costs,5
737,ordinary,5
738,All,5
739,laws,5
740,There,5
741,tought,5
742,Unless,5
743,legal,5
744,self,5
745,Tokyo,5
746,State,5
747,saw,5
748,story,5
749,wouldn,5
750,challenge,5
751,Margaret,5
752,parole,5
753,thank,5
754,course,5
755,Giants,5
756,walk,5
757,R,5
758,period,5
759,hospital,5
760,selling,5
761,stories,5
762,security,5
763,average,5
764,newspapers,5
765,havings,5
766,market,5
767,nine,5
768,miles,5
769,cruise,5
770,judge,5
771,side,5
772,Sunday,5
773,field,5
774,products,5
775,public,5
776,beef,5
777,paid,5
778,aspect,5
779,offer,5
780,),5
781,civil,5
782,families,5
783,wants,5
784,single,5
785,light,5
786,doesn,5
787,definitely,5
788,hugs,5
789,decor,5
790,decision,5
791,ground,5
792,tag,5
793,looked,5
794,metric,5
795,evening,5
796,bigger,5
797,lives,5
798,days,5
799,hours,5
800,stand,5
801,books,5
802,mess,5
803,active,5
804,budget,5
805,lover,5
806,chicken,5
807,Gram,5
808,green,5
809,nurse,5
810,planning,5
811,putting,5
812,penalty,5
813,Heaven,5
814,deterrent,5
815,variety,5
816,built,5
817,end,5
818,strong,5
819,character,5
820,Saturday,5
821,log,4
822,hoping,4
823,born,4
824,breed,4
825,speech,4
826,safety,4
827,holder,4
828,coming,4
829,church,4
830,needed,4
831,opinion,4
832,protective,4
833,lawn,4
834,telling,4
835,summary,4
836,flag,4
837,bedrooms,4
838,U,4
839,scared,4
840,buying,4
841,automatic,4
842,under,4
843,Germany,4
844,arrive,4
845,health,4
846,pet,4
847,liberal,4
848,walking,4
849,until,4
850,L,4
851,weather,4
852,each,4
853,pain,4
854,jumped,4
855,yard,4
856,charge,4
857,originally,4
858,programs,4
859,ability,4
860,past,4
861,Did,4
862,mostly,4
863,special,4
864,starting,4
865,another,4
866,types,4
867,mine,4
868,Dodge,4
869,war,4
870,business,4
871,line,4
872,nose,4
873,haven,4
874,interest,4
875,gardening,4
876,AW,4
877,sense,4
878,Really,4
879,animal,4
880,centers,4
881,focus,4
882,fair,4
883,grass,4
884,don'y,4
885,tested,4
886,fence,4
887,radio,4
888,Richardson,4
889,pull,4
890,sick,4
891,weight,4
892,favor,4
893,safely,4
894,America,4
895,Ukraine,4
896,tree,4
897,don'm,4
898,winds,4
899,fall,4
900,standard,4
901,handwriting,4
902,perfection,4
903,Monday,4
904,benefit,4
905,Pennsylvania,4
906,list,4
907,decides,4
908,teaching,4
909,western,4
910,eyes,4
911,courts,4
912,shirt,4
913,games,4
914,grade,4
915,rest,4
916,fast,4
917,bag,4
918,community,4
919,truck,4
920,meal,4
921,bring,4
922,glad,4
923,Mal,4
924,Hungary,4
925,sign,4
926,generation,4
927,step,4
928,likes,4
929,seventy,4
930,trouble,4
931,rock,4
932,along,4
933,changed,4
934,authority,4
935,credit,4
936,capital,4
937,move,4
938,restaurant,4
939,equipment,4
940,farm,4
941,prisons,4
942,plays,4
943,horrible,4
944,choice,4
945,listening,4
946,scary,4
947,using,4
948,easily,4
949,responsibility,4
950,golf,4
951,caring,4
952,English,4
953,class,4
954,realize,4
955,gives,4
956,decided,4
957,steps,4
958,mental,4
959,thanks,4
960,thick,4
961,mail,4
962,recommend,4
963,minutes,4
964,alone,4
965,rehabilitation,4
966,snow,4
967,lately,4
968,bunch,4
969,black,4
970,takes,4
971,anyone,4
972,force,4
973,power,4
974,magazines,4
975,hire,4
976,beat,4
977,blame,4
978,sitting,4
979,watching,4
980,keeping,4
981,cases,4
982,perfect,4
983,sports,4
984,playing,4
985,month,4
986,lawyer,4
987,Cardinals,4
988,economy,4
989,Pittsburgh,4
990,Saint,4
991,piece,4
992,pressure,4
993,camping,4
994,brother,4
995,jump,4
996,changing,3
997,Spaniel,3
998,common,3
999,forever,3
1000,grown,3
1001,national,3
1002,word,3
1003,industry,3
1004,rate,3
1005,tomato,3
1006,innocent,3
1007,fairly,3
1008,nineteen,3
1009,aware,3
1010,Mexican,3
1011,AIDS,3
1012,committed,3
1013,Christmas,3
1014,dish,3
1015,Hi,3
1016,eliminate,3
1017,girls,3
1018,age,3
1019,meatballs,3
1020,Chicago,3
1021,miss,3
1022,bark,3
1023,pop,3
1024,pan,3
1025,relations,3
1026,exact,3
1027,Schnauzer,3
1028,upset,3
1029,Have,3
1030,committing,3
1031,heart,3
1032,😀,3
1033,Nice,3
1034,bothers,3
1035,microwave,3
1036,clean,3
1037,flexible,3
1038,lunch,3
1039,RemindMe!!%,3
1040,travel,3
1041,Pole,3
1042,overwhelming,3
1043,Thanks,3
1044,information,3
1045,Rem,3
1046,easier,3
1047,piano,3
1048,man,3
1049,policy,3
1050,(,3
1051,plate,3
1052,subject,3
1053,Are,3
1054,advice,3
1055,future,3
1056,elderly,3
1057,feed,3
1058,continues,3
1059,longer,3
1060,noticed,3
1061,selective,3
1062,lake,3
1063,frame,3
1064,station,3
1065,bred,3
1066,eating,3
1067,south,3
1068,repairs,3
1069,lawyers,3
1070,follow,3
1071,weeds,3
1072,selfish,3
1073,mulch,3
1074,crafts,3
1075,houses,3
1076,command,3
1077,looks,3
1078,soil,3
1079,hour,3
1080,pair,3
1081,onions,3
1082,hobby,3
1083,White,3
1084,department,3
1085,plants,3
1086,political,3
1087,disease,3
1088,NN,3
1089,athlete,3
1090,section,3
1091,afraid,3
1092,notice,3
1093,Florida,3
1094,television,3
1095,knowledge,3
1096,mailbox,3
1097,RemindMe!!ets,3
1098,In,3
1099,team,3
1100,Honda,3
1101,advantage,3
1102,actual,3
1103,game,3
1104,element,3
1105,kindergarten,3
1106,forty,3
1107,A,3
1108,hobbies,3
1109,itself,3
1110,grandma,3
1111,taste,3
1112,Another,3
1113,tablespoon,3
1114,kid,3
1115,serious,3
1116,closer,3
1117,user,3
1118,teachers,3
1119,activities,3
1120,taking,3
1121,Mongolia,3
1122,FUN,3
1123,My,3
1124,cost,3
1125,football,3
1126,least,3
1127,helps,3
1128,mad,3
1129,mow,3
1130,dollar,3
1131,cheaper,3
1132,smoking,3
1133,luck,3
1134,amazing,3
1135,today,3
1136,paint,3
1137,privacy,3
1138,eting,3
1139,factor,3
1140,Why,3
1141,fish,3
1142,lady,3
1143,square,3
1144,solve,3
1145,oriented,3
1146,stuck,3
1147,swimming,3
1148,conscious,3
1149,safe,3
1150,owner,3
1151,younger,3
1152,center,3
1153,forward,3
1154,possibility,3
1155,unusual,3
1156,legitimate,3
1157,wondering,3
1158,shot,3
1159,excited,3
1160,teach,3
1161,figure,3
1162,kept,3
1163,baby,3
1164,engine,3
1165,clear,3
1166,local,3
1167,foot,3
1168,circumstances,3
1169,build,3
1170,data,3
1171,addressed,3
1172,dying,3
1173,cities,3
1174,collect,3
1175,police,3
1176,respect,3
1177,sentencing,3
1178,spare,3
1179,gave,3
1180,burning,3
1181,double,3
1182,near,3
1183,auto,3
1184,Baltimore,3
1185,suppose,3
1186,learning,3
1187,ski,3
1188,ridiculous,3
1189,criminal,3
1190,criteria,3
1191,forth,3
1192,aerobics,3
1193,prove,3
1194,dry,3
1195,season,3
1196,telephone,3
1197,written,3
1198,behind,3
1199,guys,3
1200,license,3
1201,office,3
1202,message,3
1203,satisfied,3
1204,justice,3
1205,North,3
