Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	the left-hand side of	35	M	6, 40
2	3	!! okay !!	37	M	112, 148
2	3	!! there !!	37	M	112, 148
2	3	going to go	61	M	94, 154
2	3	oh right okay	39	M	92, 130
2	3	right okay right	95	M	36, 130
2	3	side of the	127	M	6, 132
2	3	so i'm going	49	M	94, 142
2	3	to go straight	83	M	72, 154
11	2	right okay	103	M	36, 48, 50, 60, 88, 92, 124, 130, 132, 136, 138
4	2	and then	27	M	132, 142, 154, 158
4	2	go down	127	M	6, 94, 122, 132
4	2	to go	89	M	66, 72, 94, 154
3	2	i've got	115	M	0, 102, 114
3	2	okay right	117	M	14, 36, 130
3	2	round the	127	M	6, 74, 132
3	2	side of	127	M	6, 40, 132
3	2	to the	83	M	72, 104, 154
2	2	go up	23	M	40, 62
2	2	got a	153	M	0, 152
2	2	i do	23	M	58, 80
2	2	pine grove	7	M	0, 6
2	2	right so	147	M	6, 152
2	2	the left	35	M	40, 74
2	2	the right	31	M	74, 104
2	2	up the	33	M	40, 72
2	2	you go	35	M	6, 40
32	1	right	153	M	2, 6, 8, 12, 14, 16, 28, 34, 36, 40, 42, 44, 48, 50, 52, 60, 68, 74, 84, 86, 88, 92, 104, 124, 128, 130, 132, 136, 138, 146, 152, 154
16	1	okay	137	M	14, 36, 48, 50, 60, 82, 88, 92, 112, 124, 130, 132, 136, 138, 148, 150
10	1	yeah	147	M	10, 38, 76, 96, 98, 100, 102, 110, 126, 156
9	1	the	153	M	6, 20, 40, 72, 74, 104, 132, 154, 158
7	1	and	153	M	6, 40, 62, 132, 142, 154, 158
7	1	i	65	M	58, 64, 72, 78, 80, 90, 122
7	1	uh-huh	131	M	4, 22, 26, 32, 118, 120, 134
6	1	got	153	M	0, 102, 114, 116, 144, 152
6	1	i've	145	M	0, 74, 96, 102, 114, 144
6	1	no	89	M	20, 24, 46, 54, 78, 108
6	1	then	87	M	72, 132, 142, 152, 154, 158
6	1	to	135	M	20, 66, 72, 94, 104, 154
5	1	down	127	M	6, 94, 96, 122, 132
5	1	you	153	M	6, 40, 72, 116, 158
4	1	do	101	M	58, 80, 90, 158
4	1	mm	95	M	18, 30, 106, 112
4	1	oh	57	M	74, 90, 92, 130
4	1	round	127	M	6, 74, 114, 132
4	1	side	127	M	6, 20, 40, 132
4	1	that	113	M	40, 90, 102, 152
4	1	up	103	M	40, 62, 72, 142
3	1	a	159	M	0, 152, 158
3	1	i'm	123	M	20, 94, 142
3	1	it	113	M	40, 66, 152
3	1	there	37	M	112, 122, 148
2	1	about	71	M	62, 132
2	1	along	115	M	40, 154
2	1	can	59	M	64, 122
2	1	have	43	M	116, 158
2	1	mmhmm	15	M	56, 70

