,Speaker,Utterance,Unified
5,M,"Hey, you're a...","M|Hey, you're a..."
6,A,I've been in the house I'm in here right now about twelve and a half years.,A|I've been in the house I'm in here right now about twelve and a half years.
7,M,What's the rent?,M|What's the rent?
8,A,Uh-huh.,A|Uh-huh.
9,M,Hmmm. I don't know.,M|Hmmm. I don't know.
10,A,"Oh, really? Uh-huh.","A|Oh, really? Uh-huh."
11,M,"We bought it, and it's the best thing we've ever done.","M|We bought it, and it's the best thing we've ever done."
12,A,"Uh-huh. Well, I bet you, Uh-huh.","A|Uh-huh. Well, I bet you, Uh-huh."
13,M,Uuhh uh uh.,M|Uuhh uh uh.
14,A,Uh-huh.,A|Uh-huh.
15,M,"Uhhh, uh, uh... uh huh.","M|Uhhh, uh, uh... uh huh."
16,A,"Well, that sounds interesting. I bet he's enjoyed having it that way","A|Well, that sounds interesting. I bet he's enjoyed having it that way"
17,M,He's in his garage,M|He's in his garage
18,A,because kind of hard to find one prebuilt that 's kind of fits those specifications.,A|because kind of hard to find one prebuilt that 's kind of fits those specifications.
19,M,Why not?,M|Why not?
20,A,Uh-huh.,A|Uh-huh.
21,M,"Well, you could build it yourself.","M|Well, you could build it yourself."
22,A,"Well, then, most of them don't have a three car garage.","A|Well, then, most of them don't have a three car garage."
23,M,Some of the cars have a 3 car garage.,M|Some of the cars have a 3 car garage.
24,A,They're kind of rare.,A|They're kind of rare.
25,M,You've never seen a 3 car garage?,M|You've never seen a 3 car garage?
26,A,Uh-huh.,A|Uh-huh.
27,M,You could put a 3 car garage into the garage.,M|You could put a 3 car garage into the garage.
28,A,Uh-huh.,A|Uh-huh.
29,M,"Well, there is a garage there.","M|Well, there is a garage there."
30,A,"Uh-huh. Well that, my, we've just got a two car garage, but my husband's got a big space in between the, where the cars are and the house, where he has a big work shop, you know, workbench and everything.","A|Uh-huh. Well that, my, we've just got a two car garage, but my husband's got a big space in between the, where the cars are and the house, where he has a big work shop, you know, workbench and everything."
31,M,I'm so sorry,M|I'm so sorry
32,A,"Now, mine does not work on cars, he just piddles on this and that.","A|Now, mine does not work on cars, he just piddles on this and that."
33,M,"Your wife is a big,","M|Your wife is a big,"
34,A,"But he likes to have a spot to keep all of his, his piddling things.","A|But he likes to have a spot to keep all of his, his piddling things."
35,M,And he's always busy.,M|And he's always busy.
36,A,It really is.,A|It really is.
37,M,"Well, mine is still there.","M|Well, mine is still there."
38,A,"Because, you know, they have a lot of things of their own, and I, you know, I wouldn't mind having, and I at one time was going to fix up when one of my daughters left, a bedroom to where I had a room to just put all of my craft stuff and sewing machine and all that kind of stuff,","A|Because, you know, they have a lot of things of their own, and I, you know, I wouldn't mind having, and I at one time was going to fix up when one of my daughters left, a bedroom to where I had a room to just put all of my craft stuff and sewing machine and all that kind of stuff,"
39,M,"You know, the whole,?","M|You know, the whole,?"
40,A,"but I, someone, I don't know, it ended up I got some furniture back that one of them had moved out or something.","A|but I, someone, I don't know, it ended up I got some furniture back that one of them had moved out or something."
41,M,I don't think it was.,M|I don't think it was.
42,A,So I didn't end up with my vacant room like I had thought I would.,A|So I didn't end up with my vacant room like I had thought I would.
43,M,I,M|I
44,A,Uh-huh.,A|Uh-huh.
45,M,What are you doing?,M|What are you doing?
46,A,Uh-huh.,A|Uh-huh.
47,M,I'm going to do that.,M|I'm going to do that.
48,A,"Uh-huh. Well, I still, all three of my daughters are married, but, I don't know, I just still have need for the four bedrooms just having company from time to time. And some of them coming back home and things, you know.","A|Uh-huh. Well, I still, all three of my daughters are married, but, I don't know, I just still have need for the four bedrooms just having company from time to time. And some of them coming back home and things, you know."
49,M,"Uhh... well, I don't.","M|Uhh... well, I don't."
50,A,"And we've got grandchildren now, so when they come, they have to have a place.","A|And we've got grandchildren now, so when they come, they have to have a place."
51,M,Oh. Uh... I guess that makes sense.,M|Oh. Uh... I guess that makes sense.
52,A,"That's right, you sure don't. At times I keep thinking, though, that might be kind of nice.","A|That's right, you sure don't. At times I keep thinking, though, that might be kind of nice."
53,M,I'm sorry for being a little rude.,M|I'm sorry for being a little rude.
54,A,Uh-huh.,A|Uh-huh.
55,M,"I'm not a girl, but I","M|I'm not a girl, but I"
56,A,Uh-huh.,A|Uh-huh.
57,M,What's going on?,M|What's going on?
58,A,Uh-huh.,A|Uh-huh.
59,M,... why is he in a relationship?,M|... why is he in a relationship?
60,A,Uh-huh.,A|Uh-huh.
61,M,"Ugh, uh.","M|Ugh, uh."
62,A,"Well, I don't blame you for that.","A|Well, I don't blame you for that."
63,M,I just had to be told.,M|I just had to be told.
64,A,"Well, I have the three girls and then we ended up with four grandsons.","A|Well, I have the three girls and then we ended up with four grandsons."
65,M,I'm sure I'll find someone to date.,M|I'm sure I'll find someone to date.
66,A,And little boys are around the house a whole lot more than girls.,A|And little boys are around the house a whole lot more than girls.
67,M,"He nods and smiles Well, I am a girl.","M|He nods and smiles Well, I am a girl."
68,A,"And, uh, I enjoy them coming, but for short doses","A|And, uh, I enjoy them coming, but for short doses"
69,M,"I love them, but they are too short for me","M|I love them, but they are too short for me"
70,A,"It feels, after they've been here ten minutes, they have already explored the entire house, they know everything.","A|It feels, after they've been here ten minutes, they have already explored the entire house, they know everything."
71,M,That's a long time to wait for them to explore the house.,M|That's a long time to wait for them to explore the house.
72,A,"But, they're fun.","A|But, they're fun."
73,M,They're not.,M|They're not.
74,A,"Well, I just watch them.","A|Well, I just watch them."
75,M,Do you watch the videos?,M|Do you watch the videos?
76,A,I I never did put things up when my kids were little and I haven't with them. I try to teach them not to get into things.,A|I I never did put things up when my kids were little and I haven't with them. I try to teach them not to get into things.
77,M,"You can watch them, but they don't like it.","M|You can watch them, but they don't like it."
78,A,"I think that once you do that, your children kind of develop the same attitudes. At least my daughters have. They try to teach theirs not to get into things instead of having to put everything up. So it's worked pretty well. There's, I don't really think anything's been broken. Every now and then we have to kind of go and say, now don't bother this you know.","A|I think that once you do that, your children kind of develop the same attitudes. At least my daughters have. They try to teach theirs not to get into things instead of having to put everything up. So it's worked pretty well. There's, I don't really think anything's been broken. Every now and then we have to kind of go and say, now don't bother this you know."
79,M,,M|
80,A,"But, all in all, they mind pretty well. But, I guess most of the what kind of roof does your house have? Here I'm getting off the subject.","A|But, all in all, they mind pretty well. But, I guess most of the what kind of roof does your house have? Here I'm getting off the subject."
81,M,no,M|no
