,Speaker,Utterance,Unified
5,B,"It was usually on, um, Thursday nights.","B|It was usually on, um, Thursday nights."
6,M,I'll have to catch that.,M|I'll have to catch that.
7,B,I don't know,B|I don't know
8,M,"It's on, uh, I don't, I think it's on one of the networks, but I don'vuh, you know, it's, it was, it had a lot of, uh things going on that, uh","M|It's on, uh, I don't, I think it's on one of the networks, but I don'vuh, you know, it's, it was, it had a lot of, uh things going on that, uh"
9,B,"It was same time period, yes.","B|It was same time period, yes."
10,M,"TWIN PE KEYS, yes, uh-huh.","M|TWIN PE KEYS, yes, uh-huh."
11,B,You don't know what happened to GABRIEL'S FIRE then?,B|You don't know what happened to GABRIEL'S FIRE then?
12,M,"No, I'm sure it was just that they went to different places, I mean, they, they left it alone.","M|No, I'm sure it was just that they went to different places, I mean, they, they left it alone."
13,B,"I don't remember one, from one station to another. I keep forgetting one station. What's your second favorite?","B|I don't remember one, from one station to another. I keep forgetting one station. What's your second favorite?"
14,M,"Well, I'm trying to think. Uh, I like, uh, uh, I don, I can't think of the one that's on now. Uh  I like DONAHUE.","M|Well, I'm trying to think. Uh, I like, uh, uh, I don, I can't think of the one that's on now. Uh  I like DONAHUE."
15,B,"Oh, is he the reformed, um, gambler?","B|Oh, is he the reformed, um, gambler?"
16,M,"He's the, uh the, the,","M|He's the, uh the, the,"
17,B,"Yes, yes, yes.","B|Yes, yes, yes."
18,M,"Well, I have, uh.","M|Well, I have, uh."
19,B,"I really don't watch that much T V, what I do is I tape the programs I want to watch, and then on the nights I can watch, I'll pick out something.","B|I really don't watch that much T V, what I do is I tape the programs I want to watch, and then on the nights I can watch, I'll pick out something."
20,M,Uh-huh.,M|Uh-huh.
21,B,"But, um,","B|But, um,"
22,M,"that's, that is a good one.","M|that's, that is a good one."
23,B,you're not kidding. Do you ever watch AMERICAN GLADIATORS?,B|you're not kidding. Do you ever watch AMERICAN GLADIATORS?
24,M,"!!!%!!;!! RemindMe!!I!!You!!That!!Yeah!!But, I, I like to watch those.","M|!!!%!!;!! RemindMe!!I!!You!!That!!Yeah!!But, I, I like to watch those."
25,B,Midnight.,B|Midnight.
26,M,"and, uh, so,","M|and, uh, so,"
27,B,Midnight.,B|Midnight.
28,M,"I don't know, it's hard to tell.","M|I don't know, it's hard to tell."
29,B,I tape it.,B|I tape it.
30,M,"Yeah, I do, too.","M|Yeah, I do, too."
31,B,"Yeah, I tape it because I don't stay up that late to watch it,","B|Yeah, I tape it because I don't stay up that late to watch it,"
32,M,Uh-huh.,M|Uh-huh.
