,Speaker,Utterance,Unified
5,f,bottom,f|bottom
6,M,Where are the bodies?,M|Where are the bodies?
7,f,of the camp or of the map,f|of the camp or of the map
8,M,what do you mean by that?,M|what do you mean by that?
9,f,of the map now i have a banana tree instead,f|of the map now i have a banana tree instead
10,M,of course,M|of course
11,f,left and down,f|left and down
12,M,so do i just go to the camp?,M|so do i just go to the camp?
13,f,yeah,f|yeah
14,M,"left, down?","M|left, down?"
15,f,so that i'm on the left of what i have as a banana tree,f|so that i'm on the left of what i have as a banana tree
16,M,"yes, right.","M|yes, right."
17,f,so that i end up on the left of what is the banana tree on this map or maybe the gorillas on yours,f|so that i end up on the left of what is the banana tree on this map or maybe the gorillas on yours
18,M,"no, it's on the other side of the map","M|no, it's on the other side of the map"
19,f,okay,f|okay
20,M,"you can, i'm just a little confused","M|you can, i'm just a little confused"
21,f,i do ehm do i avoid the missionary camp where i'm moving,f|i do ehm do i avoid the missionary camp where i'm moving
22,M,do you want to join me?,M|do you want to join me?
23,f,so i move along so that i'm to the left of the missionary camp when i go down,f|so i move along so that i'm to the left of the missionary camp when i go down
24,M,nods I do,M|nods I do
25,f,okay now i'm at the left-hand side of the banana tree about,f|okay now i'm at the left-hand side of the banana tree about
26,M,i'm at a weird position. i stand at the top of the tree.,M|i'm at a weird position. i stand at the top of the tree.
27,f,almost the extreme left of the page and about four centimetres up,f|almost the extreme left of the page and about four centimetres up
28,M,right and left,M|right and left
29,f,about quarter of the way up,f|about quarter of the way up
30,M,You should probably start with the first page.,M|You should probably start with the first page.
31,f,uh-huh,f|uh-huh
32,M,I think it's about tree fiddy,M|I think it's about tree fiddy
33,f,okay so i'm going straight up and actually cross over the rope bridge,f|okay so i'm going straight up and actually cross over the rope bridge
34,M,"the rope bridge is not a circle, it's a circle.","M|the rope bridge is not a circle, it's a circle."
35,f,so i move up and cross over the rope bridge right so i'm now standing at the other side of the rope bridge,f|so i move up and cross over the rope bridge right so i'm now standing at the other side of the rope bridge
36,M,"I'm not sure, but i think you can only cross over to the bridge when you are about to cross the bridge.","M|I'm not sure, but i think you can only cross over to the bridge when you are about to cross the bridge."
37,f,uh-huh yeah,f|uh-huh yeah
38,M,so you're still on the rope?,M|so you're still on the rope?
39,f,yeah it's right of where i am at the moment,f|yeah it's right of where i am at the moment
40,M,"I'm not sure if you're standing in a circle or a circle, but if you can't see it, you're still standing in the right of the river.","M|I'm not sure if you're standing in a circle or a circle, but if you can't see it, you're still standing in the right of the river."
41,f,uh-huh,f|uh-huh
42,M,hehhehehhuhhuhuhh huhuhuh huh huuhh,M|hehhehehhuhhuhuhh huhuhuh huh huuhh
43,f,mmhmm,f|mmhmm
44,M,"okay, so how do we do this?","M|okay, so how do we do this?"
45,f,uh-huh,f|uh-huh
46,M,so thats where you are right now,M|so thats where you are right now
47,f,yeah,f|yeah
48,M,that's what I meant,M|that's what I meant
49,f,no no steps,f|no no steps
50,M,then have you lost the steps?,M|then have you lost the steps?
51,f,oh yeah which are where,f|oh yeah which are where
52,M,you mean the lost steps?,M|you mean the lost steps?
53,f,mm yeah i do yeah,f|mm yeah i do yeah
54,M,do you have fallen pillars?,M|do you have fallen pillars?
55,f,no,f|no
56,M,i have fallen pillars in my settlement,M|i have fallen pillars in my settlement
57,f,uh-huh,f|uh-huh
58,M,its in the line of the fallen pillar,M|its in the line of the fallen pillar
59,f,yeah,f|yeah
60,M,in the middle of the pillars?,M|in the middle of the pillars?
