,Speaker,Utterance,Unified
5,B,Oh,B|Oh
6,M,You said you can do it.,M|You said you can do it.
7,B,Yeah.,B|Yeah.
8,M,Do you mean like when I get the message?,M|Do you mean like when I get the message?
9,B,I think five minutes is the max.,B|I think five minutes is the max.
10,M,How long is the waiting time?,M|How long is the waiting time?
11,B,"Oh, I don't know.","B|Oh, I don't know."
12,M,But there is a reason why he isnt in the video,M|But there is a reason why he isnt in the video
13,B,"Right, especially, uh, you, since you're in the same metroplex, you know, there's so much going on here.","B|Right, especially, uh, you, since you're in the same metroplex, you know, there's so much going on here."
14,M,I'm not sure what you mean,M|I'm not sure what you mean
15,B,"Well, that, and in the schools, too starting to put metal detectors in,","B|Well, that, and in the schools, too starting to put metal detectors in,"
16,M,You,M|You
17,B,"and,","B|and,"
18,M,"Well, there's also the whole, uh, shooting.","M|Well, there's also the whole, uh, shooting."
19,B,"No, I, not that I'm aware of.","B|No, I, not that I'm aware of."
20,M,Are you in the school?,M|Are you in the school?
21,B,"I just heard, you know, last week at that one school, they started putting them in because there was that one shooting","B|I just heard, you know, last week at that one school, they started putting them in because there was that one shooting"
22,M,"I know, right?","M|I know, right?"
23,B,"so, um,","B|so, um,"
24,M,"We do, we have the same problem","M|We do, we have the same problem"
25,B,Is that right?,B|Is that right?
26,M,we have a principal that has a gun and he shoots people,M|we have a principal that has a gun and he shoots people
27,B,"Uh-huh. Yeah, yeah.","B|Uh-huh. Yeah, yeah."
28,M,"I don't know, but I can tell you that they're all over the place in the ghetto.","M|I don't know, but I can tell you that they're all over the place in the ghetto."
29,B,I know,B|I know
30,M,It's a bit scary.,M|It's a bit scary.
31,B,"I know, it's, it's, it's getting, it's been out of hand, I think, for a while, and it just continues to get worse.","B|I know, it's, it's, it's getting, it's been out of hand, I think, for a while, and it just continues to get worse."
32,M,"You know what, I'm not sure about this.","M|You know what, I'm not sure about this."
33,B,Yeah.,B|Yeah.
34,M,"And you know, the police.","M|And you know, the police."
35,B,Right.,B|Right.
36,M,"We're still here, we're just waiting for them to be found.","M|We're still here, we're just waiting for them to be found."
37,B,"Yeah, that's, I I agree, I think that's where it stems from, is that and, um, you know, you've got a lot of, a lot more women that are working nowadays that aren't home with the children","B|Yeah, that's, I I agree, I think that's where it stems from, is that and, um, you know, you've got a lot of, a lot more women that are working nowadays that aren't home with the children"
38,M,"Yeah, that's how I read it.","M|Yeah, that's how I read it."
39,B,and that may impact it as well.,B|and that may impact it as well.
40,M,"Uh, you know, we have the technology","M|Uh, you know, we have the technology"
41,B,"Right, right.","B|Right, right."
42,M,"It's, uh, the, uh.","M|It's, uh, the, uh."
43,B,Yeah,B|Yeah
44,M,"That, I don't know.","M|That, I don't know."
45,B,"they don't think twice about it. Yeah. Either that or I don't know if it happened and it wasn't as highly publicized as it is now, or what the, what the,","B|they don't think twice about it. Yeah. Either that or I don't know if it happened and it wasn't as highly publicized as it is now, or what the, what the,"
46,M,"They didn't think it was a big deal, they just didn't care.","M|They didn't think it was a big deal, they just didn't care."
47,B,Uh-huh.,B|Uh-huh.
48,M,"It was just a theory, but I think it might be something like that.","M|It was just a theory, but I think it might be something like that."
49,B,You're kidding.,B|You're kidding.
50,M,I can't.,M|I can't.
51,B,Himself and her?,B|Himself and her?
52,M,He's the one,M|He's the one
53,B,"Oh, wow, I bet.","B|Oh, wow, I bet."
54,M,"In fairness, he was probably the first person to ever actually get hit by a car","M|In fairness, he was probably the first person to ever actually get hit by a car"
55,B,"Oh, I know,","B|Oh, I know,"
56,M,I think you mean the one that was on the news for years.,M|I think you mean the one that was on the news for years.
57,B,"Well, they were, I was watching some show the other day, and they were talking about, uh, mass murderers","B|Well, they were, I was watching some show the other day, and they were talking about, uh, mass murderers"
58,M,"You know, the people are the problem.","M|You know, the people are the problem."
59,B,"and they brought up what happened in Killeen here recently, and they were saying, you know, that these guys want attention, and that when it happens they're glorified because all the newspaper, it's on all the newspapers and T V and everything,","B|and they brought up what happened in Killeen here recently, and they were saying, you know, that these guys want attention, and that when it happens they're glorified because all the newspaper, it's on all the newspapers and T V and everything,"
60,M,"It's the same in Ireland, but the media are too busy talking about it.","M|It's the same in Ireland, but the media are too busy talking about it."
61,B,"Right, and then you get to their life story, Oh, they came from a broken family","B|Right, and then you get to their life story, Oh, they came from a broken family"
62,M,Heh,M|Heh
63,B,oh this person had mental problems,B|oh this person had mental problems
64,M,And you're saying they are from a different country?,M|And you're saying they are from a different country?
65,B,"oh duh, duh, duh you know,","B|oh duh, duh, duh you know,"
66,M,He's an old man.,M|He's an old man.
67,B,Yeah.,B|Yeah.
68,M,right.are you a girl?,M|right.are you a girl?
69,B,Is that right?,B|Is that right?
70,M,It was pretty good.,M|It was pretty good.
71,B,Uh-huh.,B|Uh-huh.
72,M,"I'm sorry, I don't remember.","M|I'm sorry, I don't remember."
73,B,"Uh, I remember seeing that,","B|Uh, I remember seeing that,"
74,M,"The first girl she tried with, she was like 15, and she was pretty hot.","M|The first girl she tried with, she was like 15, and she was pretty hot."
75,B,I saw that on Hard Copy,B|I saw that on Hard Copy
76,M,They should do that for The Phantom Menace,M|They should do that for The Phantom Menace
77,B,Yes.,B|Yes.
78,M,You sure?,M|You sure?
79,B,Is that right?,B|Is that right?
80,M,"Yeah, my daughter graduated from High School.","M|Yeah, my daughter graduated from High School."
81,B,"I'm trying to remember, he, um, had her in the car in front of a Taco or something","B|I'm trying to remember, he, um, had her in the car in front of a Taco or something"
82,M,It's all about the car,M|It's all about the car
83,B,and he just shot them himself and her.,B|and he just shot them himself and her.
84,M,He was so mad.,M|He was so mad.
85,B,I remember seeing that.,B|I remember seeing that.
86,M,He's also a great driver,M|He's also a great driver
87,B,"Yeah, there's just too many crazy people out there these days.","B|Yeah, there's just too many crazy people out there these days."
88,M,"But he's just a normal guy, not crazy.","M|But he's just a normal guy, not crazy."
89,B,Yeah.,B|Yeah.
90,M,The police have been known to do things.,M|The police have been known to do things.
