Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	5	. Yeah , yeah .	3	B	2, 4
4	4	Yeah , yeah .	25	B	2, 4, 8, 26
2	3	, you know	3	B	18, 20
2	3	I mean ,	11	B	18, 28
5	2	Yeah ,	25	B	2, 4, 6, 8, 26
4	2	Oh ,	37	B	0, 28, 32, 36
4	2	Yeah .	21	B	4, 14, 18, 24
3	2	, I	23	B	6, 18, 28
3	2	, and	21	B	8, 18, 28
2	2	, that	27	B	6, 32
2	2	, well	7	B	32, 38
2	2	Okay ,	3	B	38, 40
2	2	Uh-huh .	13	B	10, 22
2	2	Well ,	3	B	18, 20
2	2	had a	11	B	18, 28
9	1	Yeah	33	B	2, 4, 6, 8, 14, 18, 24, 26, 34
5	1	Oh	37	B	0, 12, 28, 32, 36
5	1	you	35	B	6, 18, 20, 28, 40
4	1	I	31	B	6, 18, 28, 36
3	1	a	23	B	6, 18, 28
3	1	and	21	B	8, 18, 28
3	1	it	13	B	18, 28, 30
3	1	just	13	B	18, 28, 30
3	1	know	15	B	6, 18, 20
3	1	that	27	B	6, 18, 32
3	1	they	21	B	8, 18, 28
3	1	with	21	B	8, 18, 28
2	1	don't	13	B	6, 18
2	1	go	11	B	18, 28
2	1	help	15	B	18, 32
2	1	in	11	B	18, 28
2	1	is	13	B	6, 18
2	1	one	11	B	18, 28
2	1	problem	11	B	18, 28
2	1	the	13	B	6, 18
2	1	to	13	B	6, 18
2	1	up	21	B	8, 28
2	1	what	13	B	6, 18

