Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
4	4	4	, you know ,	101	58	3	B	44, 62, 98, 101
2	2	4	, uh , I	55	10	1	B	46, 55
7	6	3	, uh ,	55	74	3	B	28, 46, 52, 55, 76, 100, 101
4	1	3	, you know	101	58	3	B	44, 62, 98, 101
3	3	3	made it .	55	6	2	B	50, 52, 55
2	2	3	, and the	31	4	1	B	28, 31
2	2	3	, the ,	53	8	1	B	46, 53
2	2	3	I don't have	97	24	1	B	74, 97
2	2	3	a lot of	79	16	1	B	64, 79
2	2	3	in England ,	31	4	1	B	28, 31
2	2	3	oh , yeah	103	2	1	B	102, 103
8	7	2	, I	27	57	1	B	26, 27, 30, 46, 48, 55, 67, 82
7	5	2	I don't	97	96	6	B	2, 8, 26, 30, 32, 74, 97
7	6	2	it .	27	59	1	B	24, 27, 28, 50, 52, 55, 82
6	2	2	, you	44	83	1	M	19, 44, 62, 67, 98, 101
5	5	2	, I'm	67	58	2	B	30, 52, 67, 85, 87
5	5	2	I think	95	52	4	B	44, 48, 58, 94, 95
5	1	2	know ,	87	58	2	B	44, 62, 87, 98, 101
5	5	2	well ,	57	43	2	B	46, 52, 57, 64, 88
4	2	2	, and	31	31	2	B	14, 28, 31, 44
4	4	2	, they	67	61	2	B	28, 64, 67, 88
4	4	2	, what	53	79	1	B	14, 53, 59, 92
4	4	2	Yeah ,	29	73	1	B	26, 29, 62, 98
4	4	2	do you	100	42	3	M	59, 71, 77, 100
4	4	2	they have	79	63	1	B	28, 79, 88, 90
3	3	2	I'm not	69	24	1	B	52, 69, 75
3	3	2	Oh .	36	16	1	M	27, 36, 42
3	1	2	and the	48	21	1	B	28, 31, 48
3	3	2	like ,	77	48	2	B	30, 76, 77
3	3	2	of the	76	46	2	M	31, 37, 76
3	1	2	oh ,	103	60	2	B	44, 102, 103
3	3	2	to do	71	26	2	B	46, 52, 71
2	2	2	, they're	76	12	1	M	65, 76
2	1	2	, yeah	103	2	1	B	102, 103
2	2	2	I can	75	62	1	B	14, 75
2	2	2	I haven't	76	50	1	M	27, 76
2	2	2	I love	44	2	1	M	43, 44
2	2	2	I'm in	83	46	1	B	38, 83
2	2	2	New York	37	4	1	B	34, 37
2	2	2	a violent	31	4	1	B	28, 31
2	2	2	can watch	19	6	1	B	14, 19
2	2	2	in the	83	2	1	B	82, 83
2	2	2	is ,	53	6	1	B	48, 53
2	2	2	is it	92	70	1	M	23, 92
2	2	2	it's a	44	14	1	M	31, 44
2	2	2	lawyer programs	77	2	1	B	76, 77
2	2	2	mean ,	77	32	1	B	46, 77
2	2	2	no ,	91	40	1	B	52, 91
2	2	2	same time	5	2	1	B	4, 5
2	2	2	that ,	52	36	1	M	17, 52
2	2	2	think .	95	4	1	B	92, 95
2	2	2	watch it	26	8	1	M	19, 26
32	16	1	I	25	96	4	B	2, 8, 14, 24, 25, 26, 27, 28, 30, 32, 33, 43, 44, 46, 48, 52, 55, 57, 58, 67, 68, 70, 72, 74, 75, 76, 82, 87, 89, 94, 95, 97
17	9	1	it	24	96	4	M	3, 5, 19, 23, 24, 26, 27, 28, 46, 50, 52, 55, 82, 88, 92, 94, 98
15	8	1	the	10	83	2	M	1, 5, 10, 14, 28, 31, 37, 46, 48, 53, 58, 73, 76, 82, 83
15	7	1	you	18	101	1	M	1, 18, 19, 44, 45, 57, 59, 62, 67, 69, 71, 77, 98, 100, 101
13	5	1	I'm	35	63	1	B	30, 35, 38, 43, 44, 52, 67, 69, 75, 83, 85, 87, 92
13	10	1	a	31	60	1	B	28, 31, 37, 43, 44, 46, 50, 52, 57, 58, 64, 79, 87
12	8	1	and	48	85	2	B	14, 28, 31, 44, 48, 50, 65, 74, 88, 90, 92, 98
12	10	1	to	6	88	1	M	5, 6, 8, 14, 26, 46, 48, 52, 58, 71, 74, 92
11	4	1	don't	67	96	8	B	2, 6, 8, 14, 26, 28, 30, 32, 67, 74, 97
