M:	"!!!'!!""!!2014!!2012!!224!!424!!444!!456!!88!!4!!8!!888!!84!!44!!86!!92!!886!!889!!288!!328!!248!!7!!488!!428!!vw!!148!!!!!!!!.!!48!!"
g:	and below the graveyard below the graveyard but above the carved wooden pole
M:	right
g:	okay so you don't have a graveyard do you have a fast flowing river
M:	no
g:	ehm mm don't know yeah it could be could be
M:	well you have to go round the graveyard then
g:	to your right uh-huh
M:	well
g:	no go just until you go go below the diamond mine until just before the fast fast flowing river
M:	okay
g:	you have a fast flowing creek
M:	yes mmhmm
g:	mmhmm
M:	is it on your right- hand side
g:	well do you have an apache camp
M:	uh-huh
g:	okay
M:	so just move from where you are now to the apache
g:	right okay then right you're going to go below the diamond mine
M:	below the diamond
g:	do you have a graveyard
M:	no i don't
g:	don't have a graveyard
M:	"!!!'!!!'!!""!! twitter!!.!!!!8!!4!!2!!6!!7!! slay the dead tree the stream i suppose you must have is that correct"
g:	do you have a desert
M:	mmhmm
g:	no don't go don't go any further than the desert don't go onto the desert
M:	right okay
g:	right you uh-huh below the diamond mine
M:	uh-hope so
g:	and then go to your right
M:	straight up
g:	you've got neither a graveyard nor a fast flowing river
M:	a fast running creek
g:	okay right you've got a fast flowing fast running creek i don't have a fast running creek
M:	well i've got the fast flowing creek and then a diamond mine so
g:	so ehm ehm i'm kind of stuck
M:	so you go down sort of curve down and then up past the diamond mine
g:	erm mark no just wait i know you're thirsty but just wait 'til you get to the desert
M:	right
g:	well okay then right you've got a creek i've got a river
M:	"!!!!.!!'!!!'!!':!!""!!8!!7!!6!!4!!"
g:	so they must be linked somehow
M:	yeah
g:	so do you want to just go along to your right
M:	uh-huh
g:	and then go up and over the top of where the creek is
M:	ok
g:	and then down south again
M:	right
g:	down south again until just above the apache camp
M:	right
g:	and pass that by go to your southwest of the apache camp
M:	"!!!!!'!!""!!.!!92!!4!!8!!7!!"
g:	uh-huh
M:	"!!!'!!!'!!""!!2018!! 2018!!8!!4!!2017!!7!!2019!!6!!488!!48!!328!!248!!88!!888!!889!!886!!887!!87!!81!!84!!89!!92!!91!!96!!85!!86!!"
g:	uh-huh
M:	right
g:	right take the southwest direction
M:	uh southwest
g:	now do you have a walled city
M:	yes
g:	and do you have a desert
M:	yes i do
g:	well pass from above the apache camp um and over the top of the walled city but between the desert and the walled city
M:	mmhmm
g:	uh-huh so that's over the top of the walled city
M:	uh well i'm just above the wall
g:	okay
M:	now go straight up until you're about an inch from the left-hand side of the page
g:	oh that's fair enough right just just go between those two
M:	ok
g:	right
M:	right now you have to drop down about an inch and a half
g:	and then
M:	have you got the start
g:	continue south
M:	ok
g:	right until do you you you have no carved wooden pole at all
M:	no
g:	a totem pole sort of thing
M:	yeah uh-huh
g:	right
M:	right and then you go up the page straight up to the gold mine
g:	well okay do you have any flat rocks
M:	no
g:	do you have a stone creek in that area
M:	no
g:	right
M:	well you've got to go round that side
g:	right okay
M:	so you're at the bottom of the ravine
g:	right okay right what you do then is you go south from the walled city
M:	south
g:	and you follow a sort of curve ehm how do you describe the last south sort of from go in a
M:	southeast mmhmm
g:	"sort of ""c"" shape to cover the bottom of a ""c"" right from when you pass down below the walled city"
M:	mmhmm
g:	"go in a ""c""-shaped curve"
M:	uh-huh
g:	right and then go between the flat rocks and the stone creek okay can you do that you pass in a pass
M:	"!!!'!!!!""!!"
g:	oh you're at the walled city
M:	uh-huh
g:	you're just above it have you come down
M:	uh-huh
g:	uh-huh
M:	right now you've got to go right round the outside of the wall ehm and come back up to the other side of it in a big curve sort of
g:	right
M:	right now i want you to go to your left
g:	right
M:	and then you're going to go straight along for another two centimetres
g:	between the walled city and what
M:	i've got carved wooden pillars
g:	right oh well i don't have this on my map so ehm do you have flat rocks
M:	yes
g:	in line with the ghost town
M:	uh-huh
g:	right then pass pass below the ghost town
M:	passing through the the the right-hand side of the page
g:	but above the carved wooden pole and above the stone creek
M:	above the carved pole
g:	right
M:	and then go along to your right
g:	so you're just yeah well then just make sure yous you miss that uh-huh uh-huh
M:	right right
g:	no don't go don't go below the wooden pole
M:	right okay
g:	uh-huh but don't go below the level of the stone creek
M:	okay
g:	right no below the flat rocks
M:	above the flat stones
g:	you got to you've got to pass below the flat rocks
M:	uh-uh
g:	right so you're taking a sort of north
M:	going to the right
g:	right below the flat rocks
M:	uh-huh
