Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	I'm going to make	5	M	49, 53
2	3	, but i	15	M	73, 87
2	3	how do you	21	M	1, 21
2	3	take it back	15	M	19, 33
2	3	what are you	41	M	35, 75
4	2	going to	37	M	17, 35, 49, 53
4	2	have a	87	M	5, 41, 79, 91
3	2	do you	33	M	1, 21, 33
3	2	have to	90	M	3, 17, 92
3	2	i have	15	M	65, 73, 79
3	2	in the	49	M	15, 31, 63
2	2	get the	3	M	71, 73
2	2	how far	17	M	51, 67
2	2	i can	61	M	13, 73
2	2	i guess	6	M	87, 92
2	2	it a	35	M	53, 87
2	2	of a	7	M	81, 87
2	2	of the	37	M	7, 43
2	2	on the	21	M	27, 47
2	2	to do	33	M	3, 35
2	2	to the	27	M	7, 33
2	2	trying to	7	M	75, 81
2	2	you get	51	M	21, 71
16	1	the	79	M	3, 7, 11, 15, 25, 27, 31, 33, 43, 45, 47, 63, 67, 71, 73, 81
12	1	to	90	M	3, 7, 11, 17, 33, 35, 49, 53, 75, 81, 87, 92
11	1	a	87	M	5, 29, 39, 41, 49, 53, 65, 79, 81, 87, 91
10	1	i	90	M	3, 5, 11, 13, 65, 73, 79, 85, 87, 92
9	1	it	75	M	13, 19, 29, 33, 35, 53, 69, 85, 87
9	1	you	81	M	1, 7, 21, 33, 35, 49, 71, 75, 81
7	1	do	41	M	1, 3, 13, 21, 33, 35, 41
5	1	how	81	M	1, 21, 51, 67, 81
5	1	of	81	M	7, 43, 79, 81, 87
5	1	right	81	M	9, 27, 33, 71, 89
5	1	what	57	M	27, 35, 43, 75, 83
4	1	and	39	M	35, 65, 71, 73
4	1	get	65	M	21, 71, 73, 85
4	1	in	65	M	15, 31, 63, 79
4	1	me	71	M	17, 33, 59, 87
3	1	I'm	23	M	31, 49, 53
3	1	back	37	M	19, 33, 55
3	1	can	69	M	13, 73, 81
3	1	just	85	M	3, 59, 87
3	1	left	65	M	7, 47, 71
3	1	you're	43	M	17, 27, 59
2	1	about	9	M	35, 43
2	1	go	57	M	1, 57
2	1	i'll	37	M	19, 55
2	1	i'm	11	M	69, 79
2	1	is	3	M	67, 69
2	1	my	57	M	23, 79
2	1	now	23	M	9, 31
2	1	sure	11	M	69, 79
2	1	that	71	M	17, 87
2	1	that's	65	M	23, 87
2	1	then	22	M	71, 92
2	1	there	17	M	5, 21
2	1	up	21	M	1, 21
2	1	want	23	M	11, 33
2	1	we'll	32	M	61, 92

