Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns	Span Lists
2	0	4	east over the footbridge	16	1	1	g	15,16	[[15, 16]]
2	0	4	of the abandoned truck	45	1	1	f	44,45	[[44, 45]]
10	7	3	the remote village	86	76	6	g	33,35,71,73,85,86,90,101,105,109	[[33, 35], [71, 73], [85, 86, 90], [86, 90], [101, 105], [105, 109]]
6	2	3	the abandoned truck	44	11	3	g	37,39,41,44,45,48	[[37, 39, 41], [39, 41, 44], [41, 44, 45], [44, 45, 48]]
4	1	3	under the pyramid	94	20	3	g	75,77,94,95	[[75, 77], [94, 95]]
2	0	3	the white mountain	82	5	2	g	77,82	[[77, 82]]
2	0	3	go to the	45	1	2	f	44,45	[[44, 45]]
2	0	3	below the pyramid	87	1	1	f	86,87	[[86, 87]]
2	0	3	right to the	67	3	1	f	64,67	[[64, 67]]
2	0	3	to the top	64	1	1	g	63,64	[[63, 64]]
8	5	2	do you	28	46	1	f	25,28,35,37,61,65,69,71	[[25, 28], [35, 37], [61, 65], [65, 69], [69, 71]]
11	4	2	to the	28	40	2	g	27,28,29,41,44,45,55,59,63,64,67	[[27, 28, 29], [28, 29], [41, 44, 45], [44, 45], [55, 59], [59, 63, 64], [63, 64, 67]]
8	5	2	of the	44	50	6	g	13,15,27,29,44,45,59,63	[[13, 15], [27, 29], [44, 45], [59, 63]]
9	4	2	the pyramid	86	30	4	g	65,67,75,77,86,87,90,94,95	[[65, 67], [75, 77], [86, 87, 90], [87, 90], [90, 94, 95]]
3	0	2	go to	44	2	1	f	43,44,45	[[43, 44, 45]]
2	0	2	right do	53	5	1	g	48,53	[[48, 53]]
3	1	2	the bottom	12	5	3	g	7,11,12	[[7, 11, 12]]
3	0	2	the footbridge	16	6	1	g	15,16,21	[[15, 16], [16, 21]]
4	2	2	the old	32	7	3	g	25,27,29,32	[[25, 27, 29], [27, 29, 32]]
2	0	2	below the	87	1	1	g	86,87	[[86, 87]]
3	1	2	go down	51	3	1	f	50,51,53	[[50, 51, 53]]
2	0	2	my left	4	1	1	g	3,4	[[3, 4]]
2	0	2	right go	28	1	1	g	27,28	[[27, 28]]
2	0	2	right to	67	3	2	f	64,67	[[64, 67]]
2	0	2	two inches	22	1	1	g	21,22	[[21, 22]]
2	0	2	"""""x"""" marks"	32	1	1	g	31,32	[[31, 32]]
2	0	2	far enough	98	1	1	g	97,98	[[97, 98]]
2	0	2	go left	51	1	1	f	50,51	[[50, 51]]
2	0	2	reach the	49	1	1	f	48,49	[[48, 49]]
