Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	the dallas area .	37	M	50, 86
4	3	i don't know	23	M	36, 38, 50, 58
2	3	a couple of	51	M	32, 82
2	3	a pair of	79	M	36, 114
2	3	and then you	79	M	36, 114
2	3	and uh .	3	M	12, 14
2	3	i'm not really	45	M	22, 66
2	3	you know i	59	M	36, 94
10	2	yeah .	121	M	4, 42, 46, 48, 56, 62, 98, 106, 110, 124
5	2	right .	115	M	6, 10, 112, 116, 120
4	2	i don't	23	M	36, 38, 50, 58
4	2	in a	103	M	16, 28, 36, 118
4	2	in the	101	M	18, 50, 72, 118
4	2	it was	103	M	16, 68, 114, 118
4	2	you know	83	M	36, 64, 94, 118
3	2	a a	79	M	36, 104, 114
3	2	and uh	19	M	12, 14, 30
3	2	but uh	47	M	36, 64, 82
3	2	i mean	31	M	30, 34, 60
3	2	i think	45	M	70, 108, 114
3	2	i'm not	93	M	22, 66, 114
3	2	know i	69	M	36, 94, 104
3	2	uh .	91	M	12, 14, 102
3	2	uh i	75	M	30, 50, 104
2	2	a baseball	17	M	50, 66
2	2	and buy	79	M	36, 114
2	2	and he	53	M	16, 68
2	2	and i	45	M	70, 114
2	2	and you	79	M	36, 114
2	2	at the	79	M	36, 114
2	2	get into	51	M	36, 86
2	2	go and	47	M	68, 114
2	2	got two	3	M	34, 36
2	2	i guess	93	M	22, 114
2	2	i i	85	M	30, 114
2	2	i know	11	M	94, 104
2	2	i was	85	M	30, 114
2	2	it's it	81	M	38, 118
2	2	it's it's	17	M	70, 86
2	2	know we're	61	M	58, 118
2	2	of them	59	M	36, 94
2	2	oh .	91	M	2, 92
2	2	only been	51	M	32, 82
2	2	store and	79	M	36, 114
2	2	they're they've	3	M	32, 34
2	2	think i	93	M	22, 114
2	2	to the	51	M	36, 86
2	2	uh-huh .	77	M	8, 84
2	2	was just	39	M	30, 68
2	2	well you	59	M	36, 94
2	2	went to	49	M	66, 114
2	2	yeah i	49	M	60, 108
2	2	yeah i'm	93	M	22, 114
2	2	yeah that's	37	M	44, 80
2	2	year .	29	M	30, 58
2	2	you go	79	M	36, 114
2	2	you you	79	M	36, 114
19	1	yeah	121	M	4, 20, 22, 40, 42, 44, 46, 48, 56, 60, 62, 70, 80, 98, 106, 108, 110, 114, 124
15	1	i	93	M	22, 30, 34, 36, 38, 50, 58, 60, 64, 70, 82, 94, 104, 108, 114
13	1	and	107	M	12, 14, 16, 24, 30, 34, 36, 64, 66, 68, 70, 114, 118
13	1	uh	111	M	12, 14, 18, 20, 30, 36, 50, 64, 82, 102, 104, 106, 122
12	1	a	103	M	16, 28, 32, 36, 50, 58, 60, 66, 82, 104, 114, 118
12	1	the	101	M	18, 24, 26, 30, 36, 38, 50, 72, 80, 86, 114, 118
9	1	in	103	M	16, 18, 24, 28, 36, 50, 72, 114, 118
9	1	know	89	M	30, 36, 38, 50, 58, 64, 94, 104, 118
9	1	of	103	M	24, 32, 36, 64, 80, 82, 94, 114, 126
9	1	oh	99	M	2, 42, 52, 76, 88, 90, 92, 96, 100
9	1	to	97	M	22, 36, 58, 64, 66, 68, 86, 114, 118
8	1	it	103	M	16, 32, 36, 38, 68, 80, 114, 118
7	1	so	93	M	26, 38, 64, 66, 82, 114, 118
7	1	you	83	M	36, 38, 64, 68, 94, 114, 118
6	1	it's	99	M	20, 38, 64, 70, 86, 118
6	1	that's	65	M	44, 52, 54, 80, 82, 108
5	1	but	57	M	26, 36, 58, 64, 82
5	1	not	93	M	22, 60, 64, 66, 114
5	1	really	97	M	22, 66, 70, 76, 118
5	1	right	115	M	6, 10, 112, 116, 120
5	1	that	111	M	16, 64, 94, 104, 126
5	1	think	93	M	22, 50, 70, 108, 114
5	1	was	103	M	16, 30, 68, 114, 118
4	1	been	65	M	18, 32, 38, 82
4	1	for	79	M	26, 32, 36, 104
4	1	he	53	M	16, 26, 64, 68
4	1	like	77	M	38, 64, 68, 114
4	1	there	89	M	30, 68, 82, 118
4	1	two	71	M	24, 34, 36, 94
4	1	well	77	M	18, 32, 36, 94
3	1	at	99	M	16, 36, 114
3	1	got	13	M	24, 34, 36
3	1	just	39	M	30, 64, 68
3	1	no	101	M	0, 30, 100
3	1	they	17	M	24, 28, 40
3	1	went	91	M	24, 66, 114
3	1	year	85	M	30, 58, 114
2	1	baseball	17	M	50, 66
2	1	big	33	M	34, 66
2	1	bought	11	M	104, 114
2	1	buy	79	M	36, 114
2	1	do	5	M	64, 68
2	1	dollars	79	M	36, 114
2	1	get	51	M	36, 86
2	1	great	21	M	34, 54
2	1	have	47	M	58, 104
2	1	he's	51	M	18, 68
2	1	i've	33	M	50, 82
2	1	out	41	M	24, 64
2	1	said	49	M	16, 64
2	1	stuff	51	M	64, 114
2	1	them	59	M	36, 94
2	1	won	3	M	28, 30

