Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	i don't know what	75	M	1, 75
2	4	what do you mean	37	M	11, 47
5	3	, uh ,	53	M	3, 9, 25, 47, 55
3	3	, you ,	43	M	21, 25, 63
3	3	going to vote	13	M	45, 47, 57
2	3	, but i'm	3	M	57, 59
2	3	, you can't	3	M	47, 49
2	3	a lot of	41	M	3, 43
2	3	i know ,	3	M	47, 49
2	3	i mean ,	19	M	21, 39
2	3	i'm just saying	31	M	19, 49
2	3	i'm not sure	43	M	17, 59
6	2	, you	69	M	21, 25, 47, 49, 63, 89
5	2	, but	59	M	1, 49, 51, 57, 59
5	2	, uh	53	M	3, 9, 25, 47, 55
4	2	i don't	75	M	1, 5, 37, 75
4	2	i know	35	M	19, 47, 49, 53
4	2	i'm not	57	M	3, 17, 53, 59
4	2	you ,	45	M	21, 25, 63, 65
3	2	, and	59	M	7, 53, 65
3	2	a good	53	M	41, 77, 93
3	2	do you	39	M	9, 11, 47
3	2	mean ,	27	M	21, 39, 47
3	2	not sure	75	M	17, 59, 91
3	2	right .	91	M	5, 9, 95
3	2	you can't	35	M	47, 49, 81
2	2	, i	27	M	21, 47
2	2	, i'm	49	M	1, 49
2	2	, not	73	M	13, 85
2	2	, that	41	M	31, 71
2	2	, yeah	69	M	1, 69
2	2	. i'm	15	M	19, 33
2	2	. it	11	M	5, 15
2	2	about the	43	M	17, 59
2	2	have a	29	M	49, 77
2	2	have to	13	M	77, 89
2	2	it .	5	M	1, 5
2	2	know ,	3	M	47, 49
2	2	so ,	13	M	9, 21
2	2	texas ,	41	M	13, 53
2	2	that .	17	M	55, 71
2	2	the guy	13	M	27, 39
2	2	the media	3	M	85, 87
2	2	the people	25	M	53, 77
2	2	to do	27	M	55, 81
2	2	vote .	9	M	49, 57
2	2	was a	25	M	15, 39
2	2	well ,	35	M	55, 89
2	2	yea .	15	M	15, 29
2	2	yeah ,	51	M	1, 51
2	2	yes ,	43	M	29, 71
2	2	yes .	7	M	73, 79
14	1	i	95	M	1, 5, 19, 21, 33, 37, 39, 47, 49, 53, 75, 85, 91, 95
12	1	a	91	M	3, 15, 33, 35, 39, 41, 43, 49, 57, 77, 79, 93
12	1	you	85	M	9, 11, 21, 25, 47, 49, 63, 65, 75, 81, 89, 93
11	1	the	71	M	17, 27, 39, 41, 51, 53, 59, 77, 79, 85, 87
10	1	i'm	59	M	1, 3, 17, 19, 33, 45, 49, 53, 57, 59
8	1	not	89	M	3, 13, 17, 53, 57, 59, 85, 91
8	1	to	45	M	45, 47, 51, 55, 57, 77, 81, 89
7	1	do	73	M	9, 11, 45, 47, 55, 63, 81
7	1	that	63	M	27, 31, 55, 71, 85, 87, 89
6	1	what	81	M	1, 11, 47, 75, 79, 81
5	1	of	87	M	3, 27, 43, 77, 89
4	1	are	41	M	53, 59, 79, 93
4	1	can't	49	M	33, 47, 49, 81
4	1	have	41	M	49, 51, 77, 89
4	1	in	31	M	27, 35, 39, 57
4	1	is	83	M	5, 27, 43, 87
4	1	it	85	M	1, 5, 15, 85
4	1	right	95	M	1, 5, 9, 95
4	1	vote	13	M	45, 47, 49, 57
3	1	about	47	M	13, 17, 59
3	1	and	59	M	7, 53, 65
3	1	for	13	M	35, 41, 47
3	1	guy	13	M	27, 31, 39
3	1	people	75	M	3, 53, 77
3	1	saying	47	M	3, 19, 49
3	1	so	17	M	5, 9, 21
3	1	was	25	M	15, 27, 39
3	1	we	17	M	63, 77, 79
2	1	been	19	M	17, 35
2	1	can	39	M	49, 87
2	1	doing	85	M	1, 85
2	1	few	41	M	17, 57
2	1	he's	7	M	35, 41
2	1	i've	41	M	17, 57
2	1	it's	79	M	7, 85
2	1	now	45	M	1, 45
2	1	pretty	71	M	17, 87
2	1	race	37	M	15, 51
2	1	texas	41	M	13, 53
2	1	that's	43	M	29, 71
2	1	they	3	M	89, 91
2	1	think	81	M	5, 85
2	1	time	9	M	43, 51

