Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	I just made a	5	M	79, 83
2	3	I'm sorry ,	9	M	43, 51
2	3	What do you	25	M	75, 99
7	2	, I	67	M	11, 23, 25, 39, 47, 51, 77
3	2	I just	55	M	29, 79, 83
3	2	I'm not	65	M	31, 43, 95
3	2	I'm sorry	55	M	43, 51, 97
3	2	What do	85	M	15, 75, 99
3	2	do you	55	M	45, 75, 99
2	2	, I'm	13	M	39, 51
2	2	, and	77	M	7, 83
2	2	, so	47	M	37, 83
2	2	. I	9	M	49, 57
2	2	I guess	29	M	29, 57
2	2	I think	47	M	1, 47
2	2	Well ,	7	M	41, 47
2	2	You can	59	M	13, 71
2	2	a good	3	M	11, 13
2	2	have a	5	M	83, 87
2	2	is the	61	M	27, 87
2	2	it .	23	M	49, 71
2	2	know ,	15	M	25, 39
2	2	pudding for	7	M	77, 83
2	2	them .	13	M	9, 21
2	2	you mean	33	M	67, 99
16	1	I	85	M	1, 11, 21, 23, 25, 29, 39, 47, 49, 51, 55, 57, 77, 79, 83, 85
10	1	you	85	M	25, 45, 51, 53, 67, 73, 75, 99, 107, 109
9	1	a	77	M	11, 13, 17, 43, 47, 75, 79, 83, 87
8	1	I'm	91	M	7, 31, 39, 43, 51, 91, 95, 97
7	1	of	57	M	29, 39, 43, 69, 73, 83, 85
6	1	the	75	M	13, 27, 29, 37, 41, 87
5	1	it	63	M	9, 29, 47, 49, 71
5	1	that	69	M	39, 53, 69, 87, 107
4	1	I've	95	M	9, 69, 87, 103
4	1	do	85	M	15, 45, 75, 99
4	1	for	57	M	27, 75, 77, 83
4	1	have	59	M	29, 71, 83, 87
3	1	I'll	41	M	7, 9, 47
3	1	You	59	M	13, 17, 71
3	1	and	77	M	7, 17, 83
3	1	can	61	M	13, 71, 73
3	1	it's	69	M	11, 57, 79
3	1	know	83	M	25, 39, 107
3	1	made	7	M	77, 79, 83
3	1	so	53	M	31, 37, 83
3	1	think	47	M	1, 25, 47
2	1	No	37	M	23, 59
2	1	Oh	41	M	11, 51
2	1	Pudding	29	M	49, 77
2	1	Yeah	19	M	39, 57
2	1	Yes	5	M	89, 93
2	1	are	89	M	19, 107
2	1	be	3	M	5, 7
2	1	from	29	M	13, 41
2	1	get	95	M	13, 107
2	1	pudding	7	M	77, 83
2	1	them	13	M	9, 21
2	1	they're	3	M	37, 39
2	1	time	79	M	9, 87
2	1	to	79	M	29, 107
2	1	try	39	M	9, 47
2	1	winter	3	M	41, 43
2	1	you're	69	M	27, 95

