Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	7	you're going to go along the top	47	g	76, 122
2	5	right have you got the	153	g	2, 154
2	5	the left-hand side of the	187	g	24, 210
2	5	to the left of the	171	g	20, 190
2	5	to the right of the	31	g	92, 122
3	4	right and then go	177	g	28, 54, 204
3	4	the left of the	171	g	20, 180, 190
3	4	you're going to go	105	g	76, 122, 180
2	4	a centimetre above the	55	g	22, 76
2	4	do you have a	65	g	150, 214
2	4	i want you to	115	g	92, 206
2	4	in line with the	69	g	142, 210
2	4	of the concealed hideout	69	g	122, 190
2	4	over the top of	39	g	46, 84
2	4	the edge of the	43	g	12, 54
2	4	the top of the	31	g	46, 76
2	4	to the bottom of	79	g	94, 172
7	3	do you have	195	g	20, 48, 66, 150, 194, 196, 214
5	3	and then go	177	g	28, 54, 84, 104, 204
5	3	you're going to	179	g	2, 76, 122, 178, 180
4	3	going to go	143	g	38, 76, 122, 180
4	3	the pine forest	123	g	24, 58, 142, 146
4	3	to the right	111	g	38, 92, 122, 148
3	3	the indian country	153	g	20, 26, 172
3	3	to the left	171	g	20, 114, 190
3	3	you got the	153	g	2, 8, 154
2	3	a straight line	23	g	180, 202
2	3	about a centimetre	157	g	22, 178
2	3	above the the	29	g	22, 50
2	3	along to the	23	g	16, 38
2	3	go below the	61	g	40, 100
2	3	go between the	63	g	28, 90
2	3	i don't know	89	g	106, 194
2	3	okay so you're	107	g	42, 148
2	3	okay then so	35	g	182, 216
2	3	okay you got	91	g	8, 98
2	3	on my map	87	g	110, 196
2	3	so you're about	175	g	42, 216
2	3	the diamond mine	65	g	40, 104
2	3	the pine grove	117	g	90, 206
2	3	the rift valley	23	g	138, 160
2	3	well i don't	91	g	106, 196
15	2	of the	199	g	12, 20, 24, 30, 46, 54, 76, 88, 92, 94, 122, 180, 186, 190, 210
14	2	and then	183	g	22, 28, 46, 54, 80, 82, 84, 104, 130, 138, 182, 192, 200, 204
11	2	to the	175	g	16, 20, 30, 38, 92, 94, 114, 122, 148, 172, 190
8	2	do you	195	g	20, 48, 66, 150, 162, 194, 196, 214
7	2	above the	207	g	14, 22, 50, 76, 116, 160, 220
6	2	in a	173	g	28, 46, 92, 104, 180, 200
6	2	to go	169	g	38, 76, 80, 122, 180, 206
6	2	you're going	179	g	2, 32, 76, 122, 178, 180
5	2	below the	77	g	40, 60, 68, 100, 116
5	2	the left	175	g	16, 20, 114, 180, 190
5	2	the right	111	g	38, 92, 116, 122, 148
4	2	from the	141	g	38, 54, 172, 178
4	2	go up	111	g	46, 62, 84, 156
4	2	have you	207	g	2, 128, 154, 208
4	2	past the	189	g	12, 62, 64, 200
3	2	a curve	37	g	68, 102, 104
3	2	about a	165	g	22, 178, 186
3	2	along the	105	g	76, 122, 180
3	2	come down	45	g	128, 166, 172
3	2	curve round	177	g	2, 68, 178
3	2	go along	107	g	16, 76, 122
3	2	have a	165	g	50, 150, 214
3	2	okay so	107	g	42, 92, 148
3	2	okay you	149	g	8, 98, 156
3	2	sort of	165	g	46, 200, 210
3	2	straight line	23	g	180, 200, 202
3	2	the the	35	g	16, 22, 50
3	2	with the	153	g	58, 142, 210
3	2	you go	117	g	40, 90, 156
3	2	you're about	175	g	42, 76, 216
2	2	a a	37	g	46, 82
2	2	a triangle	47	g	46, 92
2	2	about an	39	g	38, 76
2	2	about two	151	g	54, 204
2	2	and the	63	g	28, 90
2	2	at the	75	g	46, 120
2	2	avoid the	95	g	78, 172
2	2	can you	63	g	28, 90
2	2	don't go	47	g	100, 146
2	2	don't have	147	g	50, 196
2	2	down below	97	g	70, 166
2	2	down the	23	g	24, 46
2	2	down to	41	g	172, 212
2	2	flat rocks	169	g	28, 196
2	2	go round	43	g	104, 146
2	2	just a	111	g	82, 192
2	2	just above	93	g	128, 220
2	2	just go	159	g	24, 182
2	2	just to	79	g	14, 92
2	2	on your	77	g	58, 134
2	2	right okay	147	g	2, 148
2	2	right round	193	g	26, 218
2	2	right so	87	g	92, 178
2	2	round the	11	g	146, 156
2	2	round them	25	g	2, 26
2	2	stone creek	23	g	28, 50
2	2	straight along	145	g	38, 182
2	2	that you	117	g	28, 144
2	2	the avalanche	117	g	90, 206
2	2	the buffalo	53	g	64, 116
2	2	the cliffs	21	g	74, 94
2	2	the page	25	g	180, 204
2	2	the pyramid	141	g	46, 186
2	2	the ravine	17	g	22, 38
2	2	towards the	89	g	26, 114
2	2	trying to	95	g	78, 172
2	2	underneath the	79	g	104, 182
2	2	until just	181	g	40, 220
2	2	until you're	23	g	46, 68
2	2	what you're	101	g	78, 178
2	2	you don't	133	g	50, 182
2	2	you're just	69	g	60, 128
2	2	your right	149	g	58, 206
58	1	the	219	g	2, 8, 12, 14, 16, 20, 22, 24, 26, 28, 30, 38, 40, 46, 50, 54, 58, 60, 62, 64, 68, 72, 74, 76, 78, 84, 88, 90, 92, 94, 100, 104, 114, 116, 118, 120, 122, 138, 142, 146, 148, 154, 156, 160, 168, 172, 178, 180, 182, 184, 186, 190, 194, 200, 204, 206, 210, 220
