Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	i don't know where	37	M	52, 88
2	4	i'm pretty sure that's	21	M	130, 150
2	4	in a few hours	121	M	4, 124
2	4	the bottom of the	75	M	58, 132
2	4	the right of the	53	M	102, 154
3	3	how do you	47	M	92, 96, 138
3	3	i don't know	37	M	52, 74, 88
3	3	i have a	109	M	46, 128, 154
3	3	the rift valley	25	M	34, 56, 58
3	3	you have a	99	M	20, 74, 118
2	3	at the bottom	43	M	90, 132
2	3	do you have	75	M	20, 94
2	3	do you mean	99	M	16, 114
2	3	go up there	49	M	110, 158
2	3	i'll try that	21	M	22, 42
2	3	i'm going to	17	M	72, 88
2	3	in the rift	9	M	48, 56
2	3	the rift river	21	M	34, 54
2	3	the top of	119	M	12, 130
2	3	to the right	77	M	78, 154
2	3	you can see	59	M	106, 164
8	2	do you	123	M	16, 20, 92, 94, 96, 108, 114, 138
8	2	of the	129	M	26, 46, 58, 72, 102, 130, 132, 154
6	2	the rift	131	M	34, 48, 54, 56, 58, 164
6	2	to the	129	M	26, 78, 88, 92, 126, 154
5	2	i have	147	M	8, 46, 128, 148, 154
5	2	in the	143	M	6, 46, 48, 56, 148
5	2	you have	107	M	20, 74, 94, 118, 126
4	2	are you	157	M	0, 84, 116, 156
4	2	how far	133	M	20, 28, 104, 152
4	2	i can	59	M	2, 12, 46, 60
4	2	the bottom	75	M	58, 90, 92, 132
4	2	the right	139	M	16, 78, 102, 154
4	2	the top	119	M	12, 88, 92, 130
4	2	yeah i	59	M	4, 10, 36, 62
4	2	you mean	127	M	16, 78, 114, 142
3	2	above the	67	M	74, 132, 140
3	2	can see	119	M	46, 106, 164
3	2	got a	115	M	6, 76, 120
3	2	i am	79	M	12, 46, 90
3	2	i dont	103	M	44, 122, 146
3	2	i'll try	47	M	22, 42, 68
3	2	i'm going	37	M	52, 72, 88
3	2	is the	151	M	2, 34, 152
3	2	it's not	87	M	74, 136, 160
3	2	on the	105	M	12, 16, 116
3	2	to go	99	M	28, 88, 126
3	2	you know	105	M	40, 138, 144
2	2	, so	3	M	46, 48
2	2	a rock	5	M	70, 74
2	2	at the	43	M	90, 132
2	2	but it's	67	M	74, 140
2	2	diamond mine	7	M	0, 6
2	2	do it	155	M	4, 158
2	2	from the	73	M	92, 164
2	2	go ?	81	M	28, 108
2	2	i got	59	M	62, 120
2	2	i know	139	M	4, 142
2	2	i mean	131	M	16, 146
2	2	i'm not	81	M	48, 128
2	2	if you	11	M	64, 74
2	2	ok ,	15	M	28, 42
2	2	right ?	25	M	54, 78
2	2	right now	27	M	4, 30
2	2	see it	25	M	140, 164
2	2	side ?	97	M	16, 112
2	2	so i	45	M	46, 90
2	2	that's the	77	M	54, 130
2	2	the diamond	5	M	2, 6
2	2	the left	65	M	26, 90
2	2	the line	127	M	14, 140
2	2	the stone	27	M	106, 132
2	2	the way	79	M	86, 164
2	2	think so	9	M	36, 44
2	2	yeah ,	123	M	24, 146
2	2	you can't	31	M	110, 140
35	1	the	163	M	2, 6, 8, 12, 14, 16, 18, 26, 34, 46, 48, 54, 56, 58, 62, 72, 74, 78, 86, 88, 90, 92, 98, 102, 106, 116, 126, 130, 132, 134, 140, 148, 152, 154, 164
28	1	you	165	M	0, 16, 20, 40, 64, 74, 78, 80, 84, 90, 92, 94, 96, 106, 108, 110, 114, 116, 118, 126, 134, 138, 140, 142, 144, 156, 158, 164
24	1	i	153	M	2, 4, 8, 10, 12, 16, 28, 36, 44, 46, 52, 58, 60, 62, 74, 88, 90, 120, 122, 128, 142, 146, 148, 154
16	1	a	151	M	4, 6, 20, 46, 60, 64, 70, 74, 76, 118, 120, 124, 128, 134, 144, 154
12	1	do	155	M	4, 16, 20, 28, 92, 94, 96, 108, 114, 138, 156, 158
12	1	have	147	M	8, 20, 46, 74, 94, 118, 126, 128, 144, 146, 148, 154
12	1	it	161	M	4, 12, 20, 60, 68, 82, 86, 104, 140, 150, 158, 164
12	1	of	153	M	2, 12, 26, 46, 58, 60, 72, 90, 102, 130, 132, 154
12	1	right	151	M	4, 10, 16, 30, 54, 78, 90, 92, 102, 112, 140, 154
11	1	to	137	M	20, 26, 28, 60, 72, 78, 88, 92, 126, 154, 156
9	1	how	141	M	12, 20, 28, 92, 96, 104, 134, 138, 152
9	1	i'll	137	M	22, 42, 48, 64, 68, 82, 124, 144, 158
9	1	i'm	103	M	48, 50, 52, 72, 88, 128, 130, 144, 150
8	1	in	145	M	4, 6, 46, 48, 56, 70, 124, 148
8	1	is	151	M	2, 20, 34, 102, 104, 132, 134, 152
7	1	go	131	M	28, 88, 92, 108, 110, 126, 158
7	1	not	149	M	12, 48, 74, 128, 136, 150, 160
7	1	yeah	143	M	4, 6, 10, 24, 36, 62, 146
6	1	and	153	M	6, 32, 68, 90, 98, 158
6	1	so	55	M	36, 40, 44, 46, 48, 90
6	1	what	163	M	0, 50, 114, 142, 156, 162
5	1	are	157	M	0, 84, 90, 116, 156
5	1	but	137	M	4, 74, 88, 126, 140
5	1	going	43	M	46, 52, 72, 84, 88
5	1	it's	155	M	6, 74, 136, 140, 160
5	1	no	81	M	80, 100, 122, 136, 160
5	1	stone	69	M	64, 98, 100, 106, 132
5	1	where	57	M	46, 52, 84, 88, 102
4	1	above	67	M	74, 76, 132, 140
4	1	don't	37	M	52, 64, 74, 88
4	1	dont	103	M	44, 80, 122, 146
4	1	that	75	M	22, 42, 66, 96
4	1	think	133	M	2, 36, 44, 134
4	1	try	47	M	22, 42, 60, 68
4	1	valley	25	M	34, 54, 56, 58
3	1	can't	137	M	4, 110, 140
3	1	from	113	M	52, 92, 164
3	1	get	85	M	12, 60, 96
3	1	just	39	M	48, 58, 86
3	1	left	67	M	26, 90, 92
3	1	mining	119	M	0, 2, 118
3	1	now	159	M	4, 30, 162
3	1	ok	63	M	28, 42, 90
3	1	pretty	21	M	130, 140, 150
3	1	river	21	M	34, 46, 54
3	1	rock	7	M	70, 74, 76
3	1	sure	139	M	12, 130, 150
3	1	there	49	M	110, 124, 158
3	1	up	87	M	72, 110, 158
3	1	way	145	M	20, 86, 164
2	1	bar	3	M	152, 154
2	1	be	11	M	124, 134
2	1	creek	27	M	74, 100
2	1	down	43	M	104, 146
2	1	for	95	M	64, 158
2	1	lake	5	M	72, 76
2	1	mountain	69	M	64, 132
2	1	my	53	M	12, 64
2	1	okay	95	M	68, 162
2	1	take	11	M	72, 82
2	1	then	95	M	32, 126
2	1	what's	53	M	14, 66
2	1	yes	7	M	26, 32

