M:	mm
g:	'til it's 'til it's an inch below the diamond mine right do you have a
M:	yeah
g:	yeah do you have a a wagon wheel just to the right of the the diamond mine
M:	no i've got a wagon just to my left
g:	what's the next thing to its right
M:	ehm it's just a wagon have you got anything there no
g:	you don't have a rift valley
M:	no
g:	yeah okay
M:	right i'm there
g:	you're drawing your line down
M:	uh-huh
g:	underneath draw a line to your right and straight along at a slight angle rising up towards the back of the corner of the page
M:	mm
g:	yeah
M:	okay
g:	right
M:	right and then you're going to go up north again
g:	yeah
M:	yeah okay
g:	should be now yeah if your line's below the diamond mine you should be okay
M:	right
g:	and then go straight along to my right which is your right as well go straight along to the right
M:	right
g:	no to about halfway to page about four inches off before the page
M:	right okay
g:	then go up to almost the very top of the page
M:	yeah
g:	right and then to your right again
M:	right
g:	well but
M:	so you've got to miss the washed stones as well
g:	yeah you're going to actually go through the rift valley like the rift valley's like a half moon
M:	right
g:	you're going to go and you're going to come right through you're going to like intersect right almost at the midpoint of the rift valley
M:	okay okay
g:	"yeah like right through the sort of midpoint like through the it's like a ""u"" and you're going right through the midpoint you want to be down into the ""u"" as though you were going if you know what i mean"
M:	right okay right okay
g:	yeah below and then like into the rift valley
M:	okay right okay
g:	and right through
M:	yeah
g:	straight through yeah
M:	right okay
g:	and you want to go to the sort of midpoint of the rift valley you want to intersect in the midpoint of the rift valley going down the way do you know what i mean
M:	okay
g:	right you've got in you're above the rift valley first of all right
M:	uh-huh
g:	yeah above the rift valley you go above the rift valley and then you start coming down as in into the rift valley and you intersect like the line of the rift valley in the midpoint
M:	in the west
g:	"your rift valley is ""u""-shaped yeah"
M:	yeah okay
g:	yeah
M:	right okay
g:	yes
M:	right
g:	yeah through the midpoint below your rift valley about four inches down do you have rocks
M:	yeah
g:	and do you have a stone creek
M:	no
g:	uh-huh
M:	right well go down two inches straight down
g:	yeah i've got that
M:	right and go up the left-hand side of the page
g:	you've got nothing to like the left of it
M:	the left of the outlaws'hideout 'cause it's directly above the start
g:	well i've got a stone creek there see in between you want to go from the rift valley right down in between the rocks
M:	uh-huh
g:	no no not sorry i i i don't mean through the two rocks i mean like to the left of the two rocks about an inch
M:	okay
g:	do you have white water
M:	mmhmm
g:	yeah that's true and you don't have a stone creek above your white water
M:	uh-huh
g:	or a swamp to its left
M:	well i've not got a swamp where's your swamp
g:	to its left well that's a a stone ss
M:	"!!!'!!!'!!""!!2!!8!!4!!7!!6!!88!! Slay the forked stream right you've got to go all the way down there"
g:	oh no aye yeah you don't have like above the the rapids to its slightly to its right you don't have a stone creek
M:	no
g:	no well take your line right down to your rapids which is my white water and just like
M:	so i've to go up and round the top of the white water
g:	above
M:	right so i'm below the rocks and i'm going to come up and round the left-hand side of them
g:	right okay right round the white water or right round the rapids
M:	right round the top of the white the top
g:	from the top but stay quite close 'cause you don't otherwise you're going to be in that stone creek
M:	right
g:	right okay come down come straight down to below that like a straight line down but take it to at least two inches below your outlaws' hideout not like you mean like straight down but like
M:	right
g:	in like length further down from that on the page
M:	right
g:	no
M:	right well you're going to go down slightly to the right and form a curve around the outside of the manned fort
g:	you got another stone creek
M:	uh-huh
g:	and stone slabs
M:	yeah
g:	no well yeah slightly to its right there's some stone slabs
M:	right well go along to the left of the stone slants and then sort of up to the sort of bottom left-hand side of the white of the rapid
g:	no how far down's the manned fort
M:	ehm it's about halfway down the page
g:	take it further down go right under the manned go under your manned fort and between your stone creek
M:	under manned fort mmhmm
g:	no go go down under your manned fort and then
M:	under manned fort do you have stone slaps
g:	go round the left-hand side
M:	right
g:	and then when you get to the when you get below it go up towards your outlaws' hideout and sort of take the line sloping up so it's like going straight up towards the outlaws' hideout or it's going close to the hideout it's like you're so you're going to the other side of the page
M:	right right okay
g:	yeah
M:	right
g:	right below your outlaws' hideout a good bit below do you have a noose
M:	yeah it's about it's below it's to the right of my manned fort about two inches
g:	no
M:	right well you want to go down slightly from that so you're sort of level with the gold mine at the bottom
g:	no i've got nothing
M:	right well you need to go up and round the gold mine so that you're on the right-hand side of it
g:	do you have a swan pond
M:	no
g:	no do you have a saloon bar
M:	no
g:	head for that and we'll be okay no ehm see the outlaws' hideout
M:	yeah
g:	you're right up beside that
M:	right
g:	you've got a gold mine a gold mine you got a gold mine below that
M:	i've got the outlaw's hideout yeah
g:	far below it directly below it
M:	yeah directly below the start
g:	aye that'll be where my that'll be where my stone labs that'll be where my stone slabs are
M:	right
g:	i would imagine
M:	right okay right
g:	aye right okay so you're saying they're it's to the right then this thing
M:	yeah
g:	right above the noose
M:	above the no noose i've got a gold mine as well
g:	okay from where that line is that you've drawn go straight down 'til you pass the noose and you're passing the noose like on its right-hand side by a wee bit
M:	okaye
g:	if you know what i mean yeah
M:	on the left-hand left-huh
g:	mmhmm
M:	and then you go straight up about an inch and then you're going to go up again but you're not going over the no noose yet you're still on the right-left-hand slope
g:	yeah then you don't have anything else down like
M:	i've got a ravine
g:	uh-huh right
M:	so you've got
g:	okay right you know how the like on line with the saloon bar
M:	uh yeah
g:	about two inches along i've got a swans pond
M:	no
g:	you want to avoid that so
M:	so i'm going right round the saloons
g:	need to go go up above it and then down and under the saloon bar to the finish
M:	so it's just like a sort of
g:	is that you
M:	no
g:	yee-ha okay
M:	right so we're at the bottom
g:	he'll probably kill me here
M:	right
g:	yeah
M:	right
