Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	5	I don't know , I	5	M	45, 49
2	3	, uh ,	35	M	13, 47
2	3	No , they	9	M	61, 69
4	2	I don't	39	M	11, 29, 45, 49
4	2	know ,	53	M	21, 45, 49, 73
3	2	, and	29	M	13, 31, 41
3	2	No ,	45	M	25, 61, 69
2	2	, it's	5	M	13, 17
2	2	Well ,	7	M	7, 13
2	2	don't have	13	M	17, 29
2	2	in the	3	M	39, 41
2	2	it .	19	M	11, 29
2	2	that ?	21	M	35, 55
2	2	the first	11	M	31, 41
2	2	to be	5	M	27, 31
2	2	to say	13	M	17, 29
9	1	I	43	M	11, 15, 21, 29, 33, 45, 47, 49, 53
7	1	to	61	M	13, 17, 27, 29, 31, 61, 73
6	1	the	67	M	7, 31, 39, 41, 47, 73
6	1	you	45	M	17, 25, 35, 55, 57, 61
5	1	a	51	M	17, 37, 41, 51, 67
5	1	have	25	M	5, 13, 17, 25, 29
5	1	know	53	M	21, 35, 45, 49, 73
4	1	and	49	M	13, 31, 41, 61
4	1	they	39	M	31, 45, 61, 69
3	1	We	67	M	5, 41, 71
3	1	in	9	M	33, 39, 41
3	1	that	21	M	35, 41, 55
2	1	I'm	9	M	43, 51
2	1	It's	21	M	17, 37
2	1	They	9	M	31, 39
2	1	You	7	M	67, 73
2	1	are	7	M	39, 45
2	1	do	21	M	35, 55
2	1	how	41	M	21, 61
2	1	just	29	M	45, 73
2	1	not	11	M	7, 17
2	1	of	53	M	21, 73
2	1	on	55	M	7, 61
2	1	then	9	M	33, 41
2	1	way	45	M	17, 61

