Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	4	I don't know .	13	10	1	A	4, 13
3	3	3	, uh ,	63	22	2	A	42, 44, 63
2	2	3	I think it's	4	2	1	M	3, 4
7	7	2	, I	59	57	1	A	24, 59, 63, 66, 70, 74, 80
6	4	2	I think	29	78	1	M	3, 4, 29, 61, 63, 80
5	5	2	, and	31	45	1	A	30, 31, 38, 68, 74
5	2	2	, uh	42	63	1	M	1, 42, 44, 57, 63
5	5	2	have to	68	30	1	M	51, 68, 69, 73, 80
4	3	2	know .	13	78	1	A	4, 13, 80, 81
4	1	2	uh ,	57	22	2	A	42, 44, 57, 63
4	4	2	you do	52	30	1	M	51, 52, 74, 80
3	3	2	, you	59	23	1	A	52, 59, 74
3	1	2	I don't	80	77	1	A	4, 13, 80
3	3	2	Well ,	67	66	2	A	2, 12, 67
3	3	2	going to	77	6	2	A	72, 76, 77
3	1	2	think it's	55	53	1	M	3, 4, 55
3	3	2	when you	52	24	1	M	51, 52, 74
3	3	2	you .	77	58	2	A	20, 72, 77
2	2	2	, so	73	6	1	A	68, 73
2	2	2	, what	66	16	1	M	51, 66
2	2	2	I do	74	66	1	M	9, 74
2	2	2	Oh ,	73	8	1	A	66, 73
2	2	2	There's a	70	62	1	M	9, 70
2	2	2	and ,	44	14	1	M	31, 44
2	2	2	and it	74	44	1	M	31, 74
2	2	2	it ,	31	18	1	A	14, 31
2	2	2	on the	74	58	1	M	17, 74
2	2	2	person .	74	70	1	M	5, 74
2	2	2	right there	77	10	1	A	68, 77
2	2	2	the same	80	76	1	M	5, 80
2	2	2	this .	77	56	1	A	22, 77
2	2	2	to get	80	4	1	M	77, 80
2	2	2	you are	74	10	1	M	65, 74
19	10	1	I	4	78	1	M	3, 4, 9, 13, 23, 24, 29, 41, 52, 59, 61, 63, 66, 70, 72, 74, 76, 79, 80
18	17	1	a	14	75	2	M	3, 9, 14, 22, 24, 42, 44, 47, 51, 55, 59, 65, 67, 68, 70, 71, 74, 77
16	11	1	you	20	64	1	M	17, 20, 28, 44, 48, 51, 52, 53, 59, 65, 70, 72, 73, 74, 77, 80
12	6	1	to	51	53	3	A	28, 38, 42, 51, 63, 68, 69, 72, 73, 76, 77, 80
10	6	1	do	9	79	1	A	2, 9, 21, 42, 51, 52, 53, 68, 74, 80
10	6	1	have	42	72	2	M	9, 23, 42, 51, 68, 69, 72, 73, 74, 80
10	8	1	the	22	76	2	M	5, 17, 22, 24, 38, 42, 68, 70, 74, 80
8	4	1	and	31	61	2	A	20, 30, 31, 38, 44, 68, 74, 80
8	6	1	it	31	61	2	A	14, 20, 31, 42, 68, 69, 70, 74
8	2	1	think	53	78	1	M	3, 4, 29, 53, 55, 61, 63, 80
7	7	1	I'm	11	74	1	A	4, 11, 19, 27, 63, 70, 77
7	5	1	don't	13	79	2	A	2, 4, 13, 55, 69, 73, 80
7	7	1	is	51	71	2	A	4, 20, 51, 67, 68, 70, 74
7	7	1	that	29	79	2	A	2, 24, 29, 48, 52, 68, 80
6	3	1	it's	30	78	1	M	3, 4, 30, 55, 74, 80
6	2	1	know	41	78	1	A	4, 13, 41, 74, 80, 81
6	6	1	not	74	70	4	M	11, 19, 35, 71, 74, 80
6	6	1	of	10	72	1	M	9, 10, 38, 42, 44, 80
6	6	1	they	61	67	4	A	2, 4, 10, 20, 61, 68
5	3	1	so	68	22	1	M	53, 68, 70, 73, 74
5	3	1	this	77	59	3	A	22, 68, 74, 77, 80
5	1	1	uh	57	63	1	M	1, 42, 44, 57, 63
5	5	1	was	33	63	1	A	14, 33, 42, 72, 76
4	2	1	Oh	64	17	1	M	57, 64, 66, 73
4	1	1	Well	67	66	3	A	2, 12, 24, 67
4	2	1	are	28	70	1	M	5, 28, 65, 74
4	1	1	going	77	6	3	A	72, 74, 76, 77
4	4	1	more	9	69	1	A	2, 9, 52, 70
4	4	1	really	22	70	1	M	11, 22, 30, 80
4	4	1	than	9	67	1	A	4, 9, 52, 70
4	2	1	there	67	40	1	A	38, 67, 68, 77
4	2	1	what	72	24	1	M	51, 66, 72, 74
4	4	1	with	66	73	1	M	5, 66, 74, 77
3	1	1	There's	80	72	1	M	9, 70, 80
3	3	1	They	80	76	2	M	5, 45, 80
3	3	1	We	38	29	1	M	21, 38, 49
3	3	1	be	68	19	1	M	59, 68, 77
3	1	1	right	68	61	1	M	17, 68, 77
2	2	1	It	33	4	1	A	30, 33
2	2	1	You	74	6	1	M	69, 74
2	2	1	about	74	46	1	M	29, 74
2	2	1	but	55	52	1	A	4, 55
2	2	1	could	70	12	1	M	59, 70
2	2	1	did	66	18	1	M	49, 66
2	2	1	different	70	24	1	M	47, 70
2	2	1	for	77	8	1	A	70, 77
2	2	1	much	73	4	1	A	70, 73
2	1	1	on	74	58	1	M	17, 74
2	2	1	see	63	50	1	A	14, 63
2	2	1	who	20	12	1	M	9, 20
2	2	1	would	68	10	1	M	59, 68

