,Speaker,Utterance,Unified
5,g,ah yeah to to the to the west then okay,g|ah yeah to to the to the west then okay
6,M,just go north,M|just go north
7,g,come due south to level at the bottom of crest falls,g|come due south to level at the bottom of crest falls
8,M,i'm on the way to the east then,M|i'm on the way to the east then
9,g,just beyond crest falls,g|just beyond crest falls
10,M,what level?,M|what level?
11,g,due south to level at the bottom of crest falls that sounded like a long line ken,g|due south to level at the bottom of crest falls that sounded like a long line ken
12,M,"sure, whats your steam id?","M|sure, whats your steam id?"
13,g,it's right ehm go right along to about an inch from the end of the paper,g|it's right ehm go right along to about an inch from the end of the paper
14,M,where is the line?,M|where is the line?
15,g,go north and go north due north and proceed east over the footbridge just over it stop at the end of the footbridge,g|go north and go north due north and proceed east over the footbridge just over it stop at the end of the footbridge
16,M,I'm pretty sure that's the end.,M|I'm pretty sure that's the end.
17,g,yeah just stop,g|yeah just stop
18,M,just stop,M|just stop
19,g,ah right do you have a poisoned stream directly east,g|ah right do you have a poisoned stream directly east
20,M,"east, east","M|east, east"
21,g,right come due south from the edge of the footbridge straight south for about two inches,g|right come due south from the edge of the footbridge straight south for about two inches
22,M,i'm in the south and i'm getting there,M|i'm in the south and i'm getting there
23,g,just ehm just about an inch above the starting cross,g|just ehm just about an inch above the starting cross
24,M,about 2 inches,M|about 2 inches
25,g,then do you have the old temple,g|then do you have the old temple
26,M,i'm going to be doing the whole thing in the temple,M|i'm going to be doing the whole thing in the temple
27,g,right go east and go north west of the old you know go north just to the west of the old temple,g|right go east and go north west of the old you know go north just to the west of the old temple
28,M,just east west of old temple and north east of the new temple,M|just east west of old temple and north east of the new temple
29,g,ah yeah and go up to the left of the north temple of the old temple go north to the left of the old temple,g|ah yeah and go up to the left of the north temple of the old temple go north to the left of the old temple
30,M,"i dont know where i am, i dont know what i am doing, i am just in the right place","M|i dont know where i am, i dont know what i am doing, i am just in the right place"
31,g,"go keep going up 'til you're about an inch below the ""x"" marks finish which i don't know if you have","g|go keep going up 'til you're about an inch below the ""x"" marks finish which i don't know if you have"
32,M,go to the top of the temple,M|go to the top of the temple
33,g,right can you see the remote village,g|right can you see the remote village
34,M,i dont have'x'marks finished,M|i dont have'x'marks finished
35,g,do you have the remote village,g|do you have the remote village
36,M,"i'll give it a shot, but i'm not sure if i can get the original version of the temple, and the new one is a bit too long","M|i'll give it a shot, but i'm not sure if i can get the original version of the temple, and the new one is a bit too long"
37,g,ten inches get away i don't know if i'd say that do you have the abandoned truck,g|ten inches get away i don't know if i'd say that do you have the abandoned truck
38,M,"theres a few of them, i can't remember what they're called though","M|theres a few of them, i can't remember what they're called though"
39,g,right well see ah about an inch above the abandoned truck that is where you should be,g|right well see ah about an inch above the abandoned truck that is where you should be
40,M,i think i have that one,M|i think i have that one
41,g,now are go straight across to the abandoned truck and then come south so that you're just underneath it,g|now are go straight across to the abandoned truck and then come south so that you're just underneath it
42,M,"yeah, i am","M|yeah, i am"
43,g,go to your left 'til you're uh ah until you're level and then south so that you're just underneath it you should be above it,g|go to your left 'til you're uh ah until you're level and then south so that you're just underneath it you should be above it
44,M,okay I'm in the process of moving my car and the car is still there,M|okay I'm in the process of moving my car and the car is still there
45,g,you go to your left obviously yes 'cause that's where the abandoned truck is now south so that you're just underneath it and just go to the end of the abandoned truck,g|you go to your left obviously yes 'cause that's where the abandoned truck is now south so that you're just underneath it and just go to the end of the abandoned truck
46,M,what do you mean go straight east to the truck?,M|what do you mean go straight east to the truck?
47,g,now do you have baboons,g|now do you have baboons
48,M,I think I've found the end,M|I think I've found the end
49,g,stop after you reach the just just right after you've gone under it okay,g|stop after you reach the just just right after you've gone under it okay
50,M,"I'm just gonna go ahead and stop right there, right there","M|I'm just gonna go ahead and stop right there, right there"
51,g,oh yeah you you you keep you go down and then you go left right you you right uh i don't suppose you've got the balloons the baboons,g|oh yeah you you you keep you go down and then you go left right you you right uh i don't suppose you've got the balloons the baboons
52,M,"i'm not sure i can do that, i'm trying to get up, so i keep coming down and i'm still going down","M|i'm not sure i can do that, i'm trying to get up, so i keep coming down and i'm still going down"
53,g,ehm right do you know where go down about two inches okay,g|ehm right do you know where go down about two inches okay
54,M,what do you mean?,M|what do you mean?
