Freq.	Size	Surface Form	Spanning	First Speaker	Turns
4	4	, you know ,	17	B	16, 20, 28, 32
2	4	in , uh ,	15	B	8, 22
6	3	, uh ,	53	B	8, 16, 22, 32, 56, 60
5	3	, you know	25	B	16, 20, 28, 32, 40
4	3	you know ,	17	B	16, 20, 28, 32
2	3	, yeah ,	9	B	44, 52
5	2	, I	43	B	8, 18, 20, 44, 50
5	2	you know	25	B	16, 20, 28, 32, 40
4	2	Yeah .	41	B	18, 42, 48, 58
3	2	, I've	25	B	36, 46, 60
3	2	, it's	25	B	8, 18, 32
3	2	I've been	29	B	32, 36, 60
2	2	, and	25	B	32, 56
2	2	, but	9	B	20, 28
2	2	, not	9	B	20, 28
2	2	, that's	23	B	8, 30
2	2	, well	11	B	20, 30
2	2	. And	15	B	18, 32
2	2	Huh .	25	B	10, 34
2	2	I do	39	B	12, 50
2	2	I know	29	B	8, 36
2	2	Oh ,	17	B	14, 30
2	2	That's pretty	33	B	4, 36
2	2	Uh ,	33	B	20, 52
2	2	Uh-huh .	5	B	2, 6
2	2	Well ,	47	B	8, 54
2	2	Yeah ,	31	B	20, 50
2	2	going to	3	B	18, 20
2	2	in ,	15	B	8, 22
2	2	kind of	13	B	20, 32
2	2	miles from	27	B	28, 54
2	2	put them	3	B	20, 22
2	2	real hard	9	B	0, 8
2	2	that .	45	B	0, 44
2	2	they do	9	B	14, 22
2	2	would be	27	B	18, 44
2	2	yeah ,	9	B	44, 52
9	1	I	43	B	8, 12, 14, 16, 18, 20, 36, 44, 50
7	1	a	49	B	8, 16, 18, 32, 40, 54, 56
7	1	in	31	B	8, 14, 18, 22, 32, 36, 38
7	1	to	47	B	0, 8, 18, 20, 26, 32, 46
6	1	you	25	B	16, 20, 28, 32, 38, 40
5	1	and	37	B	20, 24, 32, 36, 56
5	1	do	43	B	8, 12, 14, 22, 50
5	1	for	29	B	8, 18, 20, 32, 36
5	1	that	61	B	0, 18, 36, 44, 60
5	1	the	45	B	16, 18, 20, 36, 60
4	1	I've	29	B	32, 36, 46, 60
4	1	been	29	B	32, 36, 46, 60
4	1	from	37	B	18, 20, 28, 54
4	1	have	39	B	18, 24, 36, 56
4	1	they	11	B	14, 20, 22, 24
3	1	about	27	B	28, 44, 54
3	1	but	41	B	20, 28, 60
3	1	even	39	B	8, 44, 46
3	1	get	11	B	16, 18, 26
3	1	it	29	B	4, 26, 32
3	1	it's	25	B	8, 18, 32
3	1	just	9	B	18, 20, 26
3	1	of	17	B	16, 20, 32
3	1	people	29	B	8, 20, 36
3	1	probably	25	B	14, 28, 38
3	1	put	9	B	14, 20, 22
3	1	real	33	B	0, 8, 32
3	1	three	19	B	18, 28, 36
3	1	we	13	B	16, 20, 28
2	1	But	11	B	28, 38
2	1	It's	41	B	0, 40
2	1	You	7	B	26, 32
2	1	at	5	B	20, 24
2	1	be	27	B	18, 44
2	1	because	3	B	16, 18
2	1	four	29	B	28, 56
2	1	going	3	B	18, 20
2	1	is	17	B	20, 36
2	1	job	23	B	18, 40
2	1	large	5	B	28, 32
2	1	like	33	B	0, 32
2	1	many	17	B	20, 36
2	1	never	11	B	36, 46
2	1	not	9	B	20, 28
2	1	other	19	B	20, 38
2	1	plus	5	B	32, 36
2	1	sometimes	7	B	16, 22
2	1	ten	5	B	24, 28
2	1	them	3	B	20, 22
2	1	think	25	B	20, 44
2	1	thousand	5	B	32, 36
2	1	up	5	B	32, 36
2	1	work	5	B	32, 36
2	1	would	27	B	18, 44

