Freq.	Size	Surface Form	Spanning	First Speaker	Turns
3	3	the diamond mine	13	f	5, 9, 17
2	3	under the fort	3	f	91, 93
3	2	so i'm	51	f	17, 39, 67
3	2	the top	27	f	29, 49, 55
2	2	above it	13	f	57, 69
2	2	don't have	5	f	41, 45
2	2	ehm no	21	f	25, 45
2	2	from the	3	f	55, 57
2	2	right okay	21	f	23, 43
2	2	right right	5	f	73, 77
2	2	yeah right	59	f	23, 81
12	1	right	89	f	3, 7, 11, 15, 23, 31, 43, 59, 73, 77, 81, 91
11	1	the	89	f	5, 9, 17, 29, 33, 43, 49, 55, 57, 91, 93
11	1	yeah	73	f	17, 21, 23, 35, 37, 39, 47, 61, 71, 81, 89
6	1	mmhmm	45	f	51, 75, 79, 85, 87, 95
6	1	no	51	f	19, 25, 45, 63, 65, 69
5	1	i'm	77	f	17, 39, 57, 67, 93
5	1	okay	59	f	13, 23, 43, 49, 71
4	1	and	91	f	1, 27, 57, 91
4	1	it	49	f	21, 29, 57, 69
3	1	a	53	f	17, 27, 69
3	1	above	65	f	5, 57, 69
3	1	got	69	f	1, 27, 69
3	1	have	29	f	41, 45, 69
3	1	well	29	f	41, 57, 69
2	1	canoes	13	f	27, 39
2	1	creek	41	f	27, 67
2	1	down	43	f	9, 51
2	1	go	35	f	57, 91
2	1	i	19	f	51, 69
2	1	it's	53	f	5, 57
2	1	of	15	f	29, 43
2	1	on	13	f	57, 69
2	1	over	19	f	49, 67
2	1	round	13	f	17, 29
2	1	side	11	f	33, 43
2	1	to	57	f	1, 57
2	1	where	43	f	9, 51
2	1	you	41	f	1, 41

