Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	like , uh ,	13	A	25, 37
4	3	, uh ,	33	A	5, 11, 25, 37
5	2	Um .	35	A	1, 13, 17, 21, 35
4	2	Uh-huh .	19	A	15, 23, 31, 33
2	2	, I	3	A	25, 27
2	2	, is	3	A	25, 27
2	2	, you	29	A	5, 33
2	2	I suppose	21	A	5, 25
2	2	Oh ,	13	A	27, 39
2	2	Right .	23	A	7, 29
2	2	So ,	25	A	9, 33
2	2	that .	3	A	25, 27
2	2	the jury	21	A	5, 25
2	2	to ,	7	A	5, 11
5	1	Uh-huh	19	A	15, 19, 23, 31, 33
4	1	I	27	A	1, 5, 25, 27
4	1	is	29	A	5, 25, 27, 33
3	1	So	25	A	9, 11, 33
3	1	the	29	A	5, 25, 33
3	1	to	11	A	1, 5, 11
3	1	you	29	A	5, 25, 33
2	1	a	11	A	1, 11
2	1	be	21	A	5, 25
2	1	from	21	A	5, 25
2	1	have	11	A	1, 11
2	1	if	23	A	11, 33
2	1	it	27	A	1, 27
2	1	of	13	A	25, 37
2	1	on	15	A	11, 25
2	1	or	25	A	1, 25
2	1	really	35	A	5, 39
2	1	that	3	A	25, 27
2	1	things	25	A	1, 25
2	1	this	9	A	25, 33
2	1	what	9	A	33, 41
2	1	you're	23	A	11, 33

