M:	i'm sorry, i don't speak spanish.
g:	mmhmm until you're like at the bottom of the kind of level with the bottom of the desert
M:	i guess we'll have to agree to disagree then.
g:	right then travel west again
M:	you're going to be stuck in the desert for a while
g:	right to the very end of paper
M:	right where the bridge ends
g:	map right
M:	i know but you know what the map is
g:	and then up north
M:	and the end of it
g:	now have you got anything down that side
M:	now do it again and again and so forth and so again
g:	no well have you got a collapsed shelter
M:	now do the opposite
g:	right go straight up north
M:	not if i have anything to say about it
g:	until you get to a kind of level above the shelter
M:	what do you mean?
g:	and turn east to and travel right along
M:	turn left
g:	past the the shelter that's over the top
M:	turn right
g:	right then south
M:	i'll be there
g:	just to below the shelter below the level of the shelter
M:	in the shelter, above the shelter...
g:	in a kind of east and have you got a savannah
M:	north and east
g:	there's a savannah right you want to travel east until you get to before the savannah
M:	what are you talking about
g:	then turn north up
M:	i'm in the east
g:	don't go round about it just go up before it
M:	turn around
g:	right on my map there's a slate mountain you're traveling north
M:	the map says that the town is on the north side of the map, but i'm still on the west side of town
g:	right now have you got the hot wells
M:	where are you heading?
g:	or hot springs
M:	and the same goes for the hot springs.
g:	right travel straight up north 'til you get just above the hot wells make sure you've cleared the the height of it
M:	i love how they've just left the hot wells.
g:	and turn to your the west
M:	the north
g:	until you get to the hot wells
M:	right till you get a little bit of elevation
g:	no don't go over the top of them
M:	they are too hot
g:	alright now and come down below them
M:	the only way to do it
g:	mmhmm until you just get past them then come down to them south
M:	go north
g:	just a a couple of inches and then west
M:	just south
g:	mmhmm and then north now have you got big white mountain
M:	mmhhmm south
g:	right you want to go right up north
M:	i dont think so
g:	past it
M:	mmhhmm it has a good reputation
g:	right up above it
M:	mmmhmmm
g:	right have you got the lake
M:	right where you want them
g:	mm-mm
M:	mm have you seen the lake?
g:	the roman baths
M:	what do you mean
g:	hmm antelopes
M:	m'lady '
g:	right you want to go sure you don't have a lake
M:	i don't know what you're talking about.
g:	no but right the way over
M:	right where
g:	aye right go up to about the the level with the bottom of the lake
M:	yea right go right over
g:	straight north to up to the level with the bottom of the lake
M:	on the top of the mountain
g:	and then east 'til you get to the front of the lake
M:	yeah, just keep walking north till you get south
g:	no
M:	is it possible to go east of the ice?
g:	and you want to go right round about the lake
M:	yes and no
g:	mmhmm and come back round on yourself 'til you get to
M:	i'll come back
g:	mmhmm right got your antelopes
M:	yeah right
g:	right just go round enough so you're like in a above them
M:	mfw i don't have antelope
g:	no the height above them but just below the lake but above the antelope
M:	right so i am standing on a lake?
g:	right should be a roman baths below the lake
M:	right i'll try that
g:	well on mines there is and you come between the lake and the roman baths so you'll have to avoid them
M:	ok so i'll just leave the antelopes and the antels to the left of the lake?
g:	and you want to come south and round the antelopes
M:	i'll let you know when i'm ready
g:	to the west of the antelopes
M:	that's where i am
g:	ehm and go right underneath them
M:	you want to go west?
g:	then travel to the east just past the antelopes
M:	i dont know what that means
g:	that's it finished
M:	but... what about the antelope?
g:	mmhmm
M:	just finished the antelope
g:	that's it
