Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	that's really nice to	5	A	7, 11
2	4	yeah . yeah .	19	A	15, 33
3	3	. yeah .	29	A	15, 33, 43
3	3	you know .	21	A	25, 29, 45
2	3	. you know	7	A	23, 29
2	3	i know .	3	A	21, 23
2	3	milk cartons and	19	A	11, 29
2	3	oh really .	13	A	19, 31
2	3	out of it	9	A	37, 45
2	3	plastic milk cartons	3	A	11, 13
2	3	talk to you	5	A	51, 55
9	2	you know	39	A	7, 9, 17, 23, 25, 29, 41, 43, 45
6	2	know .	37	A	9, 21, 23, 25, 29, 45
5	2	yeah .	35	A	15, 33, 43, 45, 49
4	2	. i	35	A	11, 23, 29, 45
4	2	kind of	23	A	23, 25, 41, 45
3	2	. and	35	A	9, 29, 43
3	2	out of	9	A	37, 43, 45
3	2	really .	35	A	19, 31, 53
3	2	that's really	11	A	7, 11, 17
2	2	a little	25	A	23, 47
2	2	a real	17	A	7, 23
2	2	all of	13	A	43, 55
2	2	and i'm	23	A	23, 45
2	2	do that	11	A	45, 55
2	2	going to	23	A	23, 45
2	2	have a	23	A	25, 47
2	2	i guess	11	A	13, 23
2	2	if you	5	A	25, 29
2	2	it .	21	A	17, 37
2	2	it was	29	A	23, 51
2	2	of the	21	A	23, 43
2	2	so .	3	A	27, 29
2	2	t i	3	A	41, 43
2	2	the money	3	A	43, 45
2	2	the same	17	A	7, 23
2	2	they do	27	A	29, 55
2	2	they would	45	A	1, 45
2	2	things in	3	A	23, 25
2	2	was a	21	A	23, 43
2	2	what you	33	A	11, 43
2	2	which is	37	A	7, 43
2	2	you have	41	A	7, 47
13	1	you	49	A	7, 9, 11, 17, 23, 25, 29, 41, 43, 45, 47, 51, 55
12	1	i	47	A	9, 11, 13, 21, 23, 25, 29, 41, 43, 45, 47, 55
10	1	know	39	A	7, 9, 17, 21, 23, 25, 29, 41, 43, 45
9	1	and	37	A	9, 11, 13, 17, 23, 25, 29, 43, 45
9	1	do	45	A	11, 13, 23, 29, 41, 45, 47, 53, 55
9	1	of	45	A	11, 17, 23, 25, 37, 41, 43, 45, 55
9	1	really	49	A	7, 11, 13, 17, 19, 23, 31, 53, 55
9	1	that	47	A	9, 11, 13, 17, 29, 35, 43, 45, 55
8	1	it	49	A	7, 9, 17, 23, 37, 45, 51, 55
8	1	oh	49	A	5, 7, 9, 19, 29, 31, 35, 53
8	1	to	49	A	7, 11, 23, 29, 43, 45, 51, 55
7	1	the	39	A	7, 9, 13, 23, 29, 43, 45
7	1	they	55	A	1, 3, 29, 43, 45, 53, 55
6	1	a	49	A	7, 23, 25, 43, 47, 55
6	1	in	47	A	9, 23, 25, 43, 49, 55
6	1	is	37	A	7, 9, 13, 17, 23, 43
6	1	so	45	A	1, 9, 25, 27, 29, 45
6	1	was	29	A	23, 41, 43, 45, 49, 51
6	1	we	19	A	7, 9, 11, 13, 23, 25
6	1	yeah	35	A	15, 33, 39, 43, 45, 49
5	1	them	41	A	3, 9, 11, 25, 43
5	1	there	35	A	9, 11, 17, 25, 43
5	1	up	53	A	1, 9, 29, 43, 53
4	1	get	15	A	23, 25, 29, 37
4	1	good	27	A	25, 35, 45, 51
4	1	have	45	A	3, 7, 25, 47
4	1	out	35	A	11, 37, 43, 45
4	1	that's	37	A	7, 11, 17, 43
4	1	well	49	A	3, 11, 41, 51
4	1	would	55	A	1, 43, 45, 55
3	1	all	47	A	9, 43, 55
3	1	any	27	A	17, 29, 43
3	1	cans	31	A	13, 25, 43
3	1	going	37	A	9, 23, 45
3	1	if	29	A	1, 25, 29
3	1	just	23	A	25, 43, 47
3	1	like	5	A	43, 45, 47
3	1	one	23	A	25, 43, 47
3	1	pretty	19	A	11, 25, 29
3	1	recycling	43	A	1, 9, 43
3	1	thing	37	A	7, 9, 43
3	1	things	13	A	13, 23, 25
3	1	this	35	A	9, 23, 43
3	1	we're	35	A	9, 23, 43
2	1	about	27	A	17, 43
2	1	at	23	A	23, 45
2	1	because	39	A	7, 45
2	1	behind	9	A	3, 11
2	1	come	43	A	1, 43
2	1	curbside	53	A	1, 53
2	1	for	5	A	41, 45
2	1	four	17	A	13, 29
2	1	got	19	A	25, 43
2	1	it's	33	A	11, 43
2	1	lot	47	A	9, 55
2	1	money	3	A	43, 45
2	1	newspapers	3	A	11, 13
2	1	no	35	A	9, 43
2	1	now	21	A	3, 23
2	1	our	17	A	9, 25
2	1	place	9	A	9, 17
2	1	size	5	A	25, 29
2	1	somebody	9	A	37, 45
2	1	t	3	A	41, 43
2	1	they're	23	A	7, 29
2	1	trash	5	A	25, 29
2	1	use	3	A	43, 45
2	1	wal-mart	7	A	3, 9
2	1	when	3	A	7, 9

