Freq.	Size	Surface Form	Spanning	First Speaker	Turns
3	3	the diamond mine	13	f	0, 4, 12
2	3	under the fort	3	f	86, 88
3	2	so i'm	51	f	12, 34, 62
3	2	the top	27	f	24, 44, 50
2	2	above it	13	f	52, 64
2	2	don't have	5	f	36, 40
2	2	ehm no	21	f	20, 40
2	2	from the	3	f	50, 52
2	2	right okay	21	f	18, 38
2	2	right right	5	f	68, 72
2	2	yeah right	59	f	18, 76
11	1	right	85	f	2, 6, 10, 18, 26, 38, 54, 68, 72, 76, 86
11	1	the	89	f	0, 4, 12, 24, 28, 38, 44, 50, 52, 86, 88
11	1	yeah	73	f	12, 16, 18, 30, 32, 34, 42, 56, 66, 76, 84
6	1	mmhmm	45	f	46, 70, 74, 80, 82, 90
6	1	no	51	f	14, 20, 40, 58, 60, 64
5	1	i'm	77	f	12, 34, 52, 62, 88
5	1	okay	59	f	8, 18, 38, 44, 66
4	1	it	49	f	16, 24, 52, 64
3	1	a	53	f	12, 22, 64
3	1	above	65	f	0, 52, 64
3	1	and	65	f	22, 52, 86
3	1	have	29	f	36, 40, 64
3	1	well	29	f	36, 52, 64
2	1	canoes	13	f	22, 34
2	1	creek	41	f	22, 62
2	1	down	43	f	4, 46
2	1	go	35	f	52, 86
2	1	got	43	f	22, 64
2	1	i	19	f	46, 64
2	1	it's	53	f	0, 52
2	1	of	15	f	24, 38
2	1	on	13	f	52, 64
2	1	over	19	f	44, 62
2	1	round	13	f	12, 24
2	1	side	11	f	28, 38
2	1	where	43	f	4, 46

