Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	got a gold mine	57	f	15, 71
2	4	underneath the diamond mine	3	f	23, 25
4	3	i've got a	103	f	11, 33, 71, 113
2	3	a totem pole	17	f	71, 87
2	3	a wee bit	67	f	51, 117
2	3	above or below	15	f	91, 105
2	3	i haven't got	67	f	19, 85
2	3	in the middle	83	f	33, 115
2	3	oh no i	3	f	15, 17
2	3	right how far	17	f	25, 41
2	3	the carved stones	3	f	37, 39
2	3	the right-hand side	73	f	5, 77
2	3	the trout farm	5	f	87, 91
10	2	right okay	99	f	9, 13, 27, 55, 63, 67, 81, 89, 93, 107
6	2	got a	103	f	11, 15, 33, 71, 85, 113
6	2	i've got	103	f	11, 29, 31, 33, 71, 113
4	2	to the	77	f	11, 59, 77, 87
3	2	and then	43	f	31, 71, 73
3	2	but it's	101	f	15, 77, 115
3	2	carved stones	9	f	31, 37, 39
3	2	no i	5	f	15, 17, 19
3	2	underneath the	39	f	23, 25, 61
2	2	a ravine	7	f	27, 33
2	2	below the	81	f	11, 91
2	2	do you	17	f	41, 57
2	2	good bit	57	f	15, 71
2	2	got that	49	f	19, 67
2	2	in a	53	f	35, 87
2	2	indian country	29	f	31, 59
2	2	it's it's	35	f	15, 49
2	2	right in	3	f	33, 35
2	2	right uh-huh	17	f	111, 127
2	2	the bottom	37	f	73, 109
28	1	right	123	f	5, 7, 9, 13, 25, 27, 33, 35, 39, 41, 49, 55, 61, 63, 67, 69, 73, 81, 87, 89, 93, 101, 103, 107, 111, 121, 125, 127
18	1	the	121	f	5, 11, 23, 25, 33, 37, 39, 49, 59, 61, 73, 77, 87, 91, 101, 109, 115, 125
15	1	uh-huh	129	f	1, 3, 45, 53, 65, 75, 79, 95, 97, 99, 111, 119, 121, 127, 129
11	1	a	107	f	11, 15, 27, 33, 35, 51, 71, 85, 87, 113, 117
11	1	okay	99	f	9, 13, 21, 27, 55, 63, 67, 81, 89, 93, 107
6	1	and	79	f	31, 33, 51, 71, 73, 109
6	1	i	71	f	15, 17, 19, 59, 61, 85
6	1	i've	103	f	11, 29, 31, 33, 71, 113
6	1	no	73	f	11, 15, 17, 19, 47, 83
6	1	that	123	f	9, 15, 19, 67, 121, 131
6	1	to	77	f	11, 27, 41, 59, 77, 87
5	1	bit	103	f	15, 33, 51, 71, 117
5	1	down	65	f	7, 41, 51, 57, 71
5	1	it's	101	f	15, 49, 51, 77, 115
4	1	below	95	f	11, 15, 91, 105
4	1	like	95	f	11, 49, 87, 105
4	1	oh	117	f	15, 17, 125, 131
4	1	side	73	f	5, 49, 59, 77
4	1	underneath	39	f	23, 25, 33, 61
3	1	above	69	f	37, 91, 105
3	1	but	101	f	15, 77, 115
3	1	do	19	f	41, 57, 59
3	1	go	19	f	41, 57, 59
3	1	gold	57	f	15, 61, 71
3	1	how	33	f	25, 41, 57
3	1	it	73	f	33, 61, 105
3	1	of	77	f	39, 59, 115
3	1	or	71	f	35, 91, 105
3	1	thing	97	f	27, 39, 123
2	1	along	83	f	27, 109
2	1	at	15	f	73, 87
2	1	aye	41	f	77, 117
2	1	i'm	3	f	85, 87
2	1	just	113	f	5, 117
2	1	left	99	f	11, 109
2	1	near	75	f	27, 101
2	1	okey-dokey	89	f	43, 131
2	1	on	45	f	5, 49
2	1	rock	11	f	61, 71
2	1	roughly	111	f	5, 115
2	1	there	55	f	7, 61
2	1	up	59	f	27, 85
2	1	was	53	f	9, 61
2	1	yeah	45	f	5, 49

