Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
7	7	4	the top of the	21	106	1	f	16, 21, 47, 63, 107, 117, 121
3	3	4	and to the right	86	100	1	g	31, 86, 130
3	3	4	to the left of	134	112	2	g	23, 117, 134
2	2	4	the left of it	134	62	1	g	73, 134
8	1	3	the top of	129	114	1	f	16, 21, 47, 63, 107, 117, 121, 129
7	4	3	to the right	36	109	1	g	31, 36, 75, 86, 117, 130, 139
5	5	3	have you got	31	129	1	f	14, 31, 85, 127, 142
5	1	3	the left of	96	112	2	g	23, 73, 96, 117, 134
2	2	3	almost at the	104	56	1	g	49, 104
2	2	3	at the top	119	16	1	f	104, 119
2	2	3	find a lake	30	14	1	g	17, 30
2	2	3	go over the	124	62	1	g	63, 124
2	2	3	side of the	92	26	1	g	67, 92
2	2	3	the other side	70	56	1	g	15, 70
2	2	3	the rift valley	142	94	1	g	49, 142
22	15	2	of the	9	123	1	f	8, 9, 16, 21, 23, 33, 46, 47, 49, 63, 67, 77, 83, 86, 92, 107, 113, 116, 117, 121, 125, 130
15	6	2	to the	46	117	2	g	23, 31, 36, 46, 47, 75, 83, 86, 89, 117, 123, 125, 130, 134, 139
8	5	2	at the	92	105	4	g	15, 49, 55, 77, 92, 101, 104, 119
5	5	2	have a	8	109	1	g	7, 8, 11, 59, 115
5	5	2	i've got	112	138	1	g	5, 112, 118, 137, 142
4	4	2	go up	108	127	1	g	3, 108, 121, 129
4	4	2	keep going	30	127	1	g	17, 30, 109, 143
4	2	2	over the	124	127	2	g	3, 63, 124, 129
4	4	2	washed stones	131	127	2	f	14, 118, 131, 140
3	3	2	down the	63	42	1	f	26, 63, 67
3	3	2	got a	137	48	2	f	90, 112, 137
3	3	2	past the	91	32	1	f	90, 91, 121
3	3	2	the fort	106	92	2	g	15, 23, 106
3	3	2	the way	81	123	1	f	8, 81, 130
3	3	2	up and	130	128	2	g	3, 129, 130
3	3	2	up to	108	35	1	g	83, 108, 117
2	2	2	about halfway	15	8	1	f	8, 15
2	2	2	above the	117	34	1	f	84, 117
2	2	2	at all	105	92	1	f	14, 105
2	2	2	boat house	137	52	1	f	86, 137
2	2	2	flat rocks	120	80	1	g	41, 120
2	2	2	in the	132	52	1	g	81, 132
2	2	2	like the	73	4	1	f	70, 73
2	2	2	right eh	117	96	1	f	22, 117
2	2	2	right have	87	74	1	f	14, 87
2	2	2	right so	26	6	1	g	21, 26
2	2	2	slightly more	130	42	1	g	89, 130
2	2	2	so that	125	30	1	f	96, 125
2	2	2	stone creek	120	112	1	g	9, 120
2	2	2	that's right	26	26	1	g	1, 26
2	2	2	the abandoned	125	88	1	f	38, 125
2	2	2	the cattle	132	130	1	g	3, 132
2	2	2	the left-hand	92	30	1	g	63, 92
2	2	2	the middle	132	20	1	g	113, 132
2	2	2	the page	113	106	1	f	8, 113
2	2	2	towards the	116	4	1	g	113, 116
2	2	2	turn left	113	76	1	f	38, 113
61	20	1	the	9	140	1	g	3, 8, 9, 15, 16, 21, 23, 26, 31, 33, 34, 35, 36, 38, 46, 47, 49, 51, 55, 57, 63, 64, 67, 70, 71, 73, 75, 77, 78, 81, 83, 84, 86, 89, 90, 91, 92, 95, 96, 99, 101, 104, 105, 106, 107, 113, 115, 116, 117, 119, 121, 123, 124, 125, 129, 130, 132, 133, 134, 139, 142
42	31	1	right	4	142	1	g	1, 4, 10, 11, 12, 13, 14, 15, 17, 21, 22, 26, 28, 30, 31, 36, 37, 40, 49, 52, 57, 60, 63, 65, 70, 75, 76, 78, 86, 87, 89, 94, 97, 102, 108, 117, 123, 126, 128, 130, 139, 142
30	5	1	of	33	127	1	f	8, 9, 16, 21, 23, 33, 46, 47, 49, 63, 67, 73, 77, 83, 86, 89, 92, 96, 101, 107, 113, 116, 117, 121, 123, 125, 129, 130, 132, 134
27	22	1	you	14	138	3	g	5, 7, 11, 14, 17, 21, 31, 33, 39, 41, 47, 53, 55, 57, 59, 63, 85, 87, 95, 105, 113, 115, 121, 125, 127, 135, 142
24	12	1	to	22	135	2	g	5, 15, 22, 23, 31, 33, 36, 46, 47, 49, 73, 75, 83, 86, 89, 101, 105, 108, 117, 123, 125, 130, 134, 139
20	17	1	and	8	129	2	g	3, 5, 8, 15, 17, 31, 33, 38, 47, 49, 59, 63, 71, 77, 86, 91, 125, 129, 130, 131
18	18	1	uh-huh	9	131	1	f	6, 9, 24, 25, 32, 42, 44, 64, 69, 71, 76, 81, 82, 87, 88, 117, 131, 136
16	6	1	a	15	131	1	g	7, 8, 11, 15, 17, 30, 33, 59, 84, 90, 91, 96, 101, 112, 115, 137
16	5	1	have	34	136	1	g	7, 8, 11, 14, 31, 34, 39, 41, 59, 85, 87, 96, 115, 127, 135, 142
14	8	1	go	108	129	7	g	3, 9, 15, 49, 63, 89, 105, 108, 117, 121, 124, 125, 129, 131
14	14	1	okay	29	138	2	f	4, 10, 29, 41, 57, 64, 79, 80, 92, 94, 98, 100, 110, 141
13	9	1	so	21	128	1	f	12, 21, 22, 26, 47, 53, 67, 96, 115, 124, 125, 130, 139
13	11	1	that	76	138	5	g	5, 15, 21, 31, 53, 76, 78, 85, 96, 101, 121, 125, 142
13	7	1	up	8	140	1	g	3, 8, 17, 21, 77, 83, 108, 111, 117, 121, 129, 130, 142
11	1	1	at	89	106	1	f	14, 15, 49, 55, 77, 89, 92, 101, 104, 105, 119
11	8	1	down	33	126	2	f	18, 26, 33, 63, 67, 75, 85, 90, 93, 115, 143
11	1	1	got	73	138	1	g	5, 14, 31, 73, 85, 90, 112, 118, 127, 137, 142
11	1	1	top	142	127	1	f	16, 21, 47, 63, 104, 107, 117, 119, 121, 129, 142
10	9	1	about	15	132	1	f	8, 15, 21, 33, 35, 92, 99, 115, 121, 139
9	9	1	but	22	124	2	g	9, 15, 22, 23, 75, 87, 116, 118, 132
9	9	1	i	8	127	1	g	5, 8, 22, 30, 90, 96, 105, 130, 131
9	2	1	left	67	112	1	g	23, 38, 67, 73, 96, 113, 117, 125, 134
