Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	6	to the end of the page	63	f	74, 136
2	4	to the boat house	5	f	82, 86
2	4	underneath the concealed hideout	5	f	90, 94
5	3	the concealed hideout	29	f	66, 80, 82, 90, 94
3	3	of the page	63	f	74, 92, 136
3	3	right of the	69	f	12, 40, 80
2	3	down to the	61	f	66, 126
2	3	the right of	115	f	12, 126
2	3	to the left	3	f	144, 146
2	3	to the right	71	f	56, 126
10	2	to the	141	f	6, 56, 66, 74, 82, 86, 126, 136, 144, 146
7	2	of the	133	f	4, 12, 40, 74, 80, 92, 136
5	2	underneath the	85	f	58, 60, 90, 94, 142
4	2	pebbled shore	21	f	124, 126, 142, 144
4	2	the right	119	f	12, 56, 126, 130
3	2	and then	117	f	32, 138, 148
3	2	the left	143	f	4, 144, 146
2	2	and down	115	f	14, 128
2	2	burnt forest	19	f	22, 40
2	2	it to	31	f	56, 86
2	2	next to	3	f	6, 8
2	2	on my	87	f	2, 88
2	2	past the	39	f	30, 68
2	2	pine grove	15	f	46, 60
2	2	so i	17	f	126, 142
2	2	the avalanche	11	f	58, 68
2	2	the cottage	13	f	12, 24
2	2	the ravine	3	f	4, 6
2	2	washed stones	27	f	114, 140
28	1	the	147	f	4, 6, 12, 24, 30, 40, 56, 58, 60, 66, 68, 74, 78, 80, 82, 84, 86, 90, 92, 94, 126, 130, 136, 142, 144, 146, 148, 150
16	1	mmhmm	149	f	8, 10, 16, 26, 28, 76, 98, 102, 104, 106, 110, 112, 118, 120, 122, 156
15	1	right	145	f	8, 12, 20, 30, 32, 40, 44, 56, 70, 74, 78, 80, 126, 130, 152
11	1	to	141	f	6, 8, 56, 66, 74, 82, 86, 126, 136, 144, 146
9	1	down	125	f	14, 18, 30, 52, 62, 66, 126, 128, 138
9	1	uh-huh	109	f	34, 36, 42, 48, 64, 80, 128, 134, 142
7	1	underneath	121	f	22, 56, 58, 60, 90, 94, 142
6	1	and	135	f	14, 32, 116, 128, 138, 148
6	1	i	137	f	22, 86, 88, 126, 142, 158
6	1	yeah	147	f	0, 58, 80, 100, 122, 146
5	1	it's	139	f	6, 52, 56, 58, 144
5	1	no	97	f	12, 38, 94, 96, 108
5	1	so	91	f	52, 74, 84, 126, 142
5	1	then	117	f	32, 132, 138, 140, 148
4	1	cottage	29	f	2, 12, 24, 30
4	1	go	111	f	32, 86, 126, 142
4	1	it	79	f	8, 56, 84, 86
4	1	left	143	f	4, 88, 144, 146
4	1	what	61	f	72, 82, 92, 132
3	1	a	49	f	2, 46, 50
3	1	avalanche	15	f	54, 58, 68
3	1	on	87	f	2, 12, 88
3	1	there	135	f	18, 140, 152
3	1	you	107	f	24, 72, 130
2	1	but	55	f	86, 140
2	1	got	51	f	90, 140
2	1	have	3	f	86, 88
2	1	i've	123	f	18, 140
2	1	just	109	f	18, 126
2	1	like	77	f	52, 128
2	1	map	129	f	2, 130
2	1	near	65	f	86, 150
2	1	oh	65	f	30, 94
2	1	one	3	f	88, 90
2	1	round	49	f	24, 72
2	1	side	41	f	92, 132
2	1	that's	91	f	58, 148
2	1	well	109	f	24, 132

