Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	the start of the	3	M	0, 2
3	3	the foot bridge	7	M	20, 24, 26
2	3	I have a	21	M	16, 36
2	3	the pyramid is	3	M	94, 96
2	3	what is the	57	M	44, 100
2	3	what you mean	17	M	92, 108
2	3	you should have	29	M	84, 112
7	2	to the	75	M	30, 52, 54, 76, 84, 100, 104
5	2	the pyramid	17	M	84, 94, 96, 98, 100
4	2	of the	89	M	0, 2, 54, 88
3	2	is the	61	M	40, 44, 100
3	2	it's a	73	M	42, 56, 114
3	2	then go	41	M	14, 32, 54
2	2	and then	33	M	54, 86
2	2	at the	19	M	2, 20
2	2	for a	45	M	32, 76
2	2	get the	13	M	100, 112
2	2	go north	67	M	10, 76
2	2	in the	63	M	26, 88
2	2	on the	55	M	26, 80
2	2	right and	25	M	54, 78
2	2	right then	41	M	32, 72
2	2	the hill	53	M	0, 52
2	2	the top	95	M	6, 100
2	2	the truck	3	M	52, 54
2	2	think it's	19	M	24, 42
2	2	to go	47	M	30, 76
2	2	up the	5	M	14, 18
27	1	the	113	M	0, 2, 4, 6, 14, 18, 20, 24, 26, 30, 40, 44, 52, 54, 76, 78, 80, 84, 88, 90, 94, 96, 98, 100, 104, 106, 112
14	1	and	103	M	12, 14, 28, 30, 46, 48, 54, 78, 80, 82, 84, 86, 108, 114
13	1	a	103	M	12, 16, 26, 32, 36, 42, 48, 56, 58, 76, 88, 108, 114
8	1	is	103	M	4, 6, 40, 44, 94, 96, 100, 106
8	1	to	79	M	26, 30, 52, 54, 76, 84, 100, 104
8	1	you	85	M	30, 38, 76, 84, 92, 108, 112, 114
7	1	go	67	M	10, 14, 30, 32, 48, 54, 76
7	1	just	87	M	18, 24, 26, 28, 64, 98, 104
7	1	then	97	M	14, 32, 52, 54, 72, 86, 110
6	1	I	93	M	16, 34, 36, 42, 92, 108
6	1	have	97	M	16, 36, 48, 76, 84, 112
6	1	it's	91	M	24, 26, 42, 56, 90, 114
6	1	of	89	M	0, 2, 12, 26, 54, 88
6	1	pyramid	17	M	84, 88, 94, 96, 98, 100
6	1	right	83	M	18, 32, 54, 72, 78, 100
6	1	what	109	M	0, 44, 50, 92, 100, 108
6	1	you're	81	M	28, 64, 70, 80, 84, 108
5	1	north	71	M	6, 10, 18, 74, 76
5	1	up	73	M	12, 14, 18, 52, 84
4	1	bridge	11	M	16, 20, 24, 26
4	1	i	19	M	8, 18, 24, 26
4	1	not	67	M	42, 90, 96, 108
4	1	on	89	M	26, 80, 102, 114
4	1	start	47	M	0, 2, 20, 46
3	1	I'm	67	M	42, 58, 108
3	1	about	67	M	0, 62, 66
3	1	are	53	M	38, 78, 90
3	1	back	31	M	52, 54, 82
3	1	do	85	M	30, 34, 114
3	1	down	71	M	12, 52, 82
3	1	east	91	M	14, 78, 104
3	1	in	63	M	26, 28, 88
3	1	it	67	M	48, 106, 114
3	1	that's	97	M	12, 94, 108
3	1	tree	59	M	4, 18, 62
3	1	truck	5	M	52, 54, 56
2	1	be	77	M	26, 102
2	1	but	49	M	42, 90
2	1	far	3	M	104, 106
2	1	huh	19	M	50, 68
2	1	i'm	25	M	2, 26
2	1	inches	35	M	32, 66
2	1	like	3	M	26, 28
2	1	mountain	41	M	2, 42
2	1	now	21	M	60, 80
2	1	okay	27	M	38, 64
2	1	one	9	M	40, 48
2	1	so	49	M	52, 100
2	1	that	69	M	28, 96
2	1	very	25	M	90, 114
2	1	way	3	M	100, 102
2	1	when	39	M	26, 64
2	1	where	57	M	38, 94
2	1	yes	13	M	22, 34
2	1	you'll	65	M	48, 112

