Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	6	two different parts of the country	3	4	1	A	0, 3
3	3	4	, uh , I	13	14	2	A	0, 4, 13
2	2	4	Yeah . Uh-huh .	65	8	1	A	58, 65
5	4	3	, uh ,	11	14	3	A	0, 2, 4, 11, 13
4	4	3	freedom of speech	47	14	1	A	44, 47, 48, 57
3	3	3	Uh huh .	74	50	1	B	27, 74, 76
2	2	3	, but they	84	70	1	B	15, 84
2	2	3	, well ,	10	4	1	B	7, 10
2	2	3	I I still	49	2	1	A	48, 49
2	2	3	I think in	96	74	1	B	23, 96
2	2	3	I think uh	48	32	1	B	17, 48
2	2	3	is the right	73	20	1	A	54, 73
2	2	3	long as it's	75	10	1	A	66, 75
2	2	3	public property and	53	2	1	A	52, 53
2	2	3	thing you know	86	54	1	B	33, 86
2	2	3	to burn the	73	30	1	A	44, 73
19	18	2	you know	33	95	4	A	2, 4, 8, 10, 33, 34, 36, 42, 48, 50, 52, 60, 70, 80, 84, 86, 88, 92, 96
15	13	2	I think	17	97	1	A	0, 17, 23, 42, 48, 50, 52, 54, 56, 60, 66, 87, 88, 90, 96
14	12	2	Uh-huh .	12	95	3	B	1, 5, 9, 12, 14, 20, 58, 61, 65, 69, 81, 85, 89, 95
12	11	2	Yeah .	35	73	3	A	16, 22, 32, 35, 46, 48, 58, 65, 72, 74, 78, 88
10	9	2	I I	49	55	3	A	42, 44, 48, 49, 50, 60, 66, 68, 80, 96
8	6	2	, I	13	89	5	A	0, 2, 4, 8, 10, 13, 66, 88
8	3	2	uh ,	17	76	3	A	0, 2, 4, 11, 13, 17, 33, 75
7	7	2	, and	77	87	4	A	2, 8, 10, 68, 77, 84, 88
7	2	2	, uh	33	85	3	A	0, 2, 4, 11, 13, 33, 84
7	7	2	, you	3	85	1	A	2, 3, 4, 7, 8, 10, 86
7	7	2	I don't	54	64	1	B	29, 54, 80, 82, 84, 88, 92
7	7	2	Uh ,	24	69	1	B	7, 24, 48, 52, 53, 66, 75
7	7	2	is a	89	91	5	A	0, 4, 6, 48, 84, 89, 90
7	5	2	of the	3	61	2	A	0, 2, 3, 4, 34, 51, 60
6	6	2	uh uh	48	57	2	B	23, 41, 48, 53, 75, 79
5	5	2	, um	75	76	4	A	0, 4, 6, 10, 75
5	5	2	But I	44	66	1	B	15, 44, 60, 70, 80
5	1	2	freedom of	66	23	1	A	44, 47, 48, 57, 66
5	5	2	gun control	15	23	3	A	2, 4, 8, 15, 24
5	5	2	in the	23	74	1	A	4, 23, 44, 60, 77
5	5	2	it .	44	57	1	B	21, 44, 47, 68, 77
5	5	2	the flag	77	36	4	A	42, 44, 48, 62, 77
5	5	2	uh you	48	64	1	B	33, 48, 84, 92, 96
4	2	2	, well	7	14	1	A	4, 7, 10, 17
4	4	2	and I	15	70	1	A	8, 15, 48, 77
4	4	2	but I	48	40	1	B	13, 48, 50, 52
4	4	2	country ,	75	78	2	A	0, 4, 75, 77
4	1	2	huh .	74	50	2	B	27, 63, 74, 76
4	4	2	that's uh	79	59	2	A	30, 52, 79, 88
4	2	2	the country	4	49	1	A	0, 3, 4, 48
4	4	2	this country	75	14	2	A	64, 68, 75, 77
4	4	2	to do	48	37	1	B	47, 48, 57, 83
3	1	2	, but	88	74	1	B	15, 84, 88
3	3	2	, it	93	88	2	A	6, 42, 93
3	3	2	. It's	47	83	1	A	10, 47, 92
3	3	2	. Well	89	42	2	A	48, 58, 89
3	3	2	I believe	44	44	1	B	19, 44, 62
3	3	2	I mean	42	70	1	B	19, 42, 88
3	3	2	as a	77	74	2	A	4, 66, 77
3	3	2	back to	49	10	1	A	48, 49, 57
3	1	2	burn the	73	32	2	A	42, 44, 73
3	3	2	do it	71	24	2	A	48, 68, 71
3	3	2	that uh	80	22	1	B	75, 80, 96
3	3	2	to be	24	48	1	B	7, 24, 54
3	3	2	to me	79	32	2	A	48, 68, 79
3	3	2	we have	33	77	1	A	4, 33, 80
3	3	2	with the	31	53	1	A	2, 31, 54
3	3	2	you you	66	39	1	B	33, 66, 71
2	2	2	, it's	11	2	1	A	10, 11
2	2	2	, of	7	6	1	A	2, 7
2	2	2	It's very	92	10	1	B	83, 92
2	2	2	No .	72	6	1	B	67, 72
2	2	2	a ,	92	82	1	B	11, 92
2	2	2	a gun	15	8	1	A	8, 15
2	2	2	agree with	80	10	1	B	71, 80
2	2	2	burning the	62	22	1	B	41, 62
2	2	2	can disagree	64	8	1	B	57, 64
2	2	2	can vary	93	2	1	A	92, 93
2	2	2	do .	83	74	1	A	10, 83
2	2	2	do you	42	6	1	B	37, 42
2	2	2	have to	47	24	1	A	24, 47
2	2	2	now ,	13	4	1	A	10, 13
2	2	2	seven day	26	2	1	B	25, 26
2	2	2	should be	87	40	1	A	48, 87
2	2	2	that .	64	6	1	B	59, 64
2	2	2	that it's	86	14	1	B	73, 86
2	2	2	that's fine	75	24	1	A	52, 75
2	2	2	then .	92	54	1	B	39, 92
2	2	2	they I	48	30	1	B	19, 48
2	2	2	to the	57	54	1	A	4, 57
2	2	2	to yourself	84	82	1	B	3, 84
2	2	2	too much	68	40	1	B	29, 68
2	2	2	very true	34	24	1	B	11, 34
2	2	2	you don't	66	14	1	B	53, 66
2	2	2	you this	64	26	1	B	39, 64
37	18	1	I	13	97	5	A	0, 2, 4, 8, 10, 13, 15, 17, 19, 23, 29, 34, 38, 42, 44, 48, 49, 50, 52, 54, 56, 57, 59, 60, 62, 66, 68, 70, 77, 80, 82, 84, 87, 88, 90, 92, 96
